osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry
962609152,False,2,N 7,trunk,90,False,145.458,"LINESTRING (-4.4734683 10.9484523, -4.4734493 10.9484638, -4.4723342 10.9491389)"
"[962609152, 314300905]",False,2,N 7,trunk,90,True,257.669,"LINESTRING (-4.4734683 10.9484523, -4.4737253 10.9483023, -4.4743685 10.9479268, -4.4752952 10.9473408, -4.4754698 10.9472251)"
628598819,False,,,residential,,False,499.60499999999996,"LINESTRING (-4.4723342 10.9491389, -4.4718862 10.9484232, -4.471339 10.9475252, -4.4709849 10.9467194, -4.4705504 10.9458925, -4.470191 10.9451762)"
962609152,False,2,N 7,trunk,90,False,166.764,"LINESTRING (-4.4723342 10.9491389, -4.471164 10.9497828, -4.4710009 10.9498708)"
962609152,False,2,N 7,trunk,90,True,145.458,"LINESTRING (-4.4723342 10.9491389, -4.4734493 10.9484638, -4.4734683 10.9484523)"
628598819,False,,,residential,,True,499.605,"LINESTRING (-4.470191 10.9451762, -4.4705504 10.9458925, -4.4709849 10.9467194, -4.471339 10.9475252, -4.4718862 10.9484232, -4.4723342 10.9491389)"
962609152,False,2,N 7,trunk,90,True,166.764,"LINESTRING (-4.4710009 10.9498708, -4.471164 10.9497828, -4.4723342 10.9491389)"
"[962609152, 314300905]",False,2,N 7,trunk,90,False,257.669,"LINESTRING (-4.4754698 10.9472251, -4.4752952 10.9473408, -4.4743685 10.9479268, -4.4737253 10.9483023, -4.4734683 10.9484523)"
