osmid,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
647843937,tertiary,False,True,74.008,"LINESTRING (-1.3987784 12.1845679, -1.3992941 12.1841333)",,,
1191676201,residential,False,False,68.163,"LINESTRING (-1.3987784 12.1845679, -1.3989703 12.1851515)",,,
1191676201,residential,False,True,73.99,"LINESTRING (-1.3987784 12.1845679, -1.398574 12.1839332)",,,
647843937,tertiary,False,False,131.531,"LINESTRING (-1.3987784 12.1845679, -1.3976757 12.1849717, -1.3976496 12.1849908)",,,
312738999,trunk,False,False,226.539,"LINESTRING (-1.3992941 12.1841333, -1.4002744 12.1859312)",2,N 5,50
312738999,trunk,False,True,129.262,"LINESTRING (-1.3992941 12.1841333, -1.3987348 12.1831074)",2,N 5,50
647843937,tertiary,False,False,74.008,"LINESTRING (-1.3992941 12.1841333, -1.3987784 12.1845679)",,,
286746294,residential,False,True,98.363,"LINESTRING (-1.3991637 12.18571, -1.3983718 12.1861382)",,,
1191676201,residential,False,False,65.53,"LINESTRING (-1.3991637 12.18571, -1.3994392 12.1862342)",,,
1191676201,residential,False,True,65.564,"LINESTRING (-1.3991637 12.18571, -1.3989703 12.1851515)",,,
312738999,trunk,False,True,226.539,"LINESTRING (-1.4002744 12.1859312, -1.3992941 12.1841333)",2,N 5,50
286746296,residential,False,True,96.963,"LINESTRING (-1.4002744 12.1859312, -1.4001699 12.1859625, -1.3998879 12.186047, -1.3994392 12.1862342)",,,
"[754598513, 312738999]",trunk,False,False,94.376,"LINESTRING (-1.4002744 12.1859312, -1.4004799 12.1863081, -1.4006828 12.1866802)",2,N 5,50
286746292,residential,False,False,66.258,"LINESTRING (-1.3983718 12.1861382, -1.3986962 12.1866427)",,,
286746292,residential,False,True,60.578,"LINESTRING (-1.3983718 12.1861382, -1.3980703 12.18568)",,,
286746294,residential,False,False,98.363,"LINESTRING (-1.3983718 12.1861382, -1.3991637 12.18571)",,,
286746294,residential,False,True,160.236,"LINESTRING (-1.3983718 12.1861382, -1.3971835 12.1869911)",,,
286746296,residential,False,True,92.654,"LINESTRING (-1.3994392 12.1862342, -1.3986962 12.1866427)",,,
1191676201,residential,False,True,65.53,"LINESTRING (-1.3994392 12.1862342, -1.3991637 12.18571)",,,
286746296,residential,False,False,96.96300000000001,"LINESTRING (-1.3994392 12.1862342, -1.3998879 12.186047, -1.4001699 12.1859625, -1.4002744 12.1859312)",,,
286746292,residential,False,False,119.725,"LINESTRING (-1.3986962 12.1866427, -1.399195 12.1876027)",,,
286746292,residential,False,True,66.258,"LINESTRING (-1.3986962 12.1866427, -1.3983718 12.1861382)",,,
