osmid,oneway,lanes,ref,highway,reversed,length,maxspeed,geometry
314243890,False,2,N 16,trunk,False,16.806,,"LINESTRING (-0.3668189 11.780615, -0.3668256 11.780766)"
223152069,False,2,,residential,True,61.168,30,"LINESTRING (-0.3668189 11.780615, -0.3665279 11.7806177, -0.366257 11.7806203)"
314243890,False,2,N 16,trunk,True,96.979,,"LINESTRING (-0.3668189 11.780615, -0.366776 11.7804339, -0.3667519 11.7802986, -0.3667438 11.7801253, -0.3667478 11.7798221, -0.3667478 11.7797499)"
679789188,False,2,N 17,secondary,True,165.518,30,"LINESTRING (-0.3668189 11.780615, -0.3669154 11.780617, -0.3669745 11.7806275, -0.3670335 11.7806452, -0.3682556 11.7810856)"
223152066,False,2,,residential,True,38.857,30,"LINESTRING (-0.3637791 11.778337, -0.3637853 11.7786864)"
223152073,False,2,,residential,True,102.988,30,"LINESTRING (-0.3637791 11.778337, -0.3647244 11.7783753)"
223152073,False,2,,residential,False,102.988,30,"LINESTRING (-0.3647244 11.7783753, -0.3637791 11.778337)"
223152073,False,2,,residential,True,96.167,30,"LINESTRING (-0.3647244 11.7783753, -0.3656071 11.778411)"
223152062,False,2,,residential,False,289.526,30,"LINESTRING (-0.3683384 11.7784831, -0.3682942 11.779937, -0.3682556 11.7810856)"
223152073,False,2,,residential,False,169.46699999999998,30,"LINESTRING (-0.3683384 11.7784831, -0.367812 11.7784596, -0.3667822 11.7784466)"
665756840,False,2,,unclassified,True,24.533,30,"LINESTRING (-0.3616607 11.7786, -0.3616569 11.7783794)"
223152065,False,2,,residential,True,114.757,30,"LINESTRING (-0.3616607 11.7786, -0.3621696 11.7786435, -0.3627128 11.7786579)"
665756840,False,2,,unclassified,False,79.512,30,"LINESTRING (-0.3616607 11.7786, -0.3616334 11.7790975, -0.3616208 11.779314)"
223152065,False,2,,residential,False,116.789,30,"LINESTRING (-0.3637853 11.7786864, -0.3627128 11.7786579)"
223152065,False,2,,residential,True,121.935,30,"LINESTRING (-0.3637853 11.7786864, -0.3644053 11.7795997)"
223152066,False,2,,residential,False,38.857,30,"LINESTRING (-0.3637853 11.7786864, -0.3637791 11.778337)"
223152066,False,2,,residential,True,94.344,30,"LINESTRING (-0.3637853 11.7786864, -0.3637639 11.7795346)"
