osmid,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref
23768181,unclassified,50,False,True,63.406,,"LINESTRING (-3.5207529 11.4913851, -3.5213345 11.4913672)",
382788637,tertiary,70,False,True,178.849,2,"LINESTRING (-3.5207529 11.4913851, -3.5211477 11.4929463)",
230003447,tertiary,50,False,False,43.348,2,"LINESTRING (-3.5207529 11.4913851, -3.520693 11.4913246, -3.5205546 11.4912136, -3.5204436 11.4911419)",
345216097,trunk,,False,False,221.921,2,"LINESTRING (-3.5186424 11.4939648, -3.5182992 11.4943131, -3.517929 11.4946075, -3.5173052 11.4949619, -3.5169906 11.4951)",N 1
345216097,trunk,,False,True,126.551,2,"LINESTRING (-3.5186424 11.4939648, -3.5188946 11.4936218, -3.5192857 11.4930178)",N 1
1186649297,residential,,False,True,153.705,,"LINESTRING (-3.5186424 11.4939648, -3.51936 11.4943591, -3.5194123 11.4944248, -3.5194404 11.4945247, -3.5193647 11.4949067)",
345216097,trunk,,False,False,26.089,2,"LINESTRING (-3.519643 11.4924333, -3.51952 11.4926346)",N 1
230003462,residential,30,False,False,173.81900000000002,2,"LINESTRING (-3.519643 11.4924333, -3.5198979 11.4925344, -3.5203899 11.4927295, -3.5211477 11.4929463)",
345216097,trunk,,False,True,30.729999999999997,2,"LINESTRING (-3.519643 11.4924333, -3.5196872 11.492349, -3.5197719 11.4921875)",N 1
230003448,residential,30,False,True,140.931,2,"LINESTRING (-3.521166 11.4879782, -3.5213592 11.4892314)",
230003455,residential,30,False,False,105.196,2,"LINESTRING (-3.521166 11.4879782, -3.5221 11.4882175)",
230003455,residential,30,False,True,76.667,2,"LINESTRING (-3.521166 11.4879782, -3.5204843 11.4878076)",
230003455,residential,30,False,False,121.718,2,"LINESTRING (-3.5222384 11.4882603, -3.523333 11.4884785)",
230003455,residential,30,False,True,15.814,2,"LINESTRING (-3.5222384 11.4882603, -3.5221 11.4882175)",
345216097,trunk,,False,False,97.688,2,"LINESTRING (-3.5222384 11.4882603, -3.5217707 11.4890098)",N 1
230003448,residential,30,False,False,140.931,2,"LINESTRING (-3.5213592 11.4892314, -3.521166 11.4879782)",
230003458,residential,30,False,False,25.962,2,"LINESTRING (-3.5213592 11.4892314, -3.5215838 11.4893093)",
