osmid,ref,highway,oneway,reversed,length,lanes,geometry,maxspeed
377384483,N 10,secondary,False,False,167.87,,"LINESTRING (-3.0729043 13.0685012, -3.0740242 13.0674576)",
377386365,,tertiary,False,True,89.016,,"LINESTRING (-3.0729043 13.0685012, -3.0736763 13.0687757)",
377679722,N 10,secondary,False,True,49.925,2,"LINESTRING (-3.0729043 13.0685012, -3.0725912 13.0688307)",
303497749,,residential,False,False,80.569,,"LINESTRING (-3.0729043 13.0685012, -3.0727164 13.0683657, -3.0725447 13.0682313, -3.0723188 13.0680545)",
108533784,N 21,secondary,False,False,104.396,,"LINESTRING (-3.068798 13.0715703, -3.0681656 13.0708618)",
377660123,N 21,tertiary,False,True,100.976,,"LINESTRING (-3.068798 13.0715703, -3.0693739 13.0722844)",
447045815,N 10,secondary,False,False,161.278,2,"LINESTRING (-3.068798 13.0715703, -3.0701775 13.0710244)",
532955296,,residential,False,False,193.694,,"LINESTRING (-3.068798 13.0715703, -3.0694036 13.0699313)",
377164991,N 10,secondary,False,True,118.77199999999999,2,"LINESTRING (-3.068798 13.0715703, -3.0684245 13.0717271, -3.0677914 13.071994)",
186895114,,residential,False,False,82.29,,"LINESTRING (-3.0703798 13.0708936, -3.0709312 13.0714027)",
377679722,N 10,secondary,False,False,105.847,2,"LINESTRING (-3.0703798 13.0708936, -3.071083 13.0702326)",
447045815,N 10,secondary,False,True,26.3,2,"LINESTRING (-3.0703798 13.0708936, -3.0701775 13.0710244)",
377681442,N 21,secondary,False,True,44.914,,"LINESTRING (-3.0654901 13.0649506, -3.0656519 13.0653225)",
108533784,N 21,secondary,False,True,188.827,,"LINESTRING (-3.0656519 13.0653225, -3.0663291 13.0668873)",
377681442,N 21,secondary,False,False,44.914,,"LINESTRING (-3.0656519 13.0653225, -3.0654901 13.0649506)",
377681444,,residential,False,True,69.665,2,"LINESTRING (-3.0656519 13.0653225, -3.0650607 13.0655692)",30
108533784,N 21,secondary,False,False,11.454,,"LINESTRING (-3.0663707 13.066982, -3.0663291 13.0668873)",
108533784,N 21,secondary,False,True,160.852,,"LINESTRING (-3.0663707 13.066982, -3.0669791 13.0683016)",
186895158,,residential,False,False,67.577,2,"LINESTRING (-3.0663707 13.066982, -3.0658064 13.0672412)",30
186895158,,residential,False,True,157.237,2,"LINESTRING (-3.0663707 13.066982, -3.0675582 13.0676256, -3.0676473 13.0676506)",30
186895133,,residential,False,True,67.39,,"LINESTRING (-3.0651532 13.0675078, -3.0654245 13.0680532)",
186895158,,residential,False,True,76.711,2,"LINESTRING (-3.0651532 13.0675078, -3.0658064 13.0672412)",30
186895133,,residential,False,False,67.39,,"LINESTRING (-3.0654245 13.0680532, -3.0651532 13.0675078)",
186895133,,residential,False,True,65.301,,"LINESTRING (-3.0654245 13.0680532, -3.0656605 13.0685936)",
186895158,,residential,False,False,173.965,2,"LINESTRING (-3.0691906 13.0680838, -3.0676473 13.0676506)",30
186895160,,unclassified,False,False,104.061,,"LINESTRING (-3.0691906 13.0680838, -3.0688657 13.0689645)",
186895158,,residential,False,True,86.703,2,"LINESTRING (-3.0691906 13.0680838, -3.0695437 13.0682025, -3.0699473 13.0683381)",30
186895160,,unclassified,False,True,169.505,,"LINESTRING (-3.0691906 13.0680838, -3.0694883 13.0672381, -3.0696981 13.0666418)",
186895133,,residential,False,False,65.301,,"LINESTRING (-3.0656605 13.0685936, -3.0654245 13.0680532)",
186895162,,residential,False,False,111.28200000000001,,"LINESTRING (-3.0656605 13.0685936, -3.0661439 13.0684048, -3.06655 13.0686998)",
108533784,N 21,secondary,False,False,37.191,,"LINESTRING (-3.0671234 13.0686051, -3.0669791 13.0683016)",
108533784,N 21,secondary,False,True,67.87,,"LINESTRING (-3.0671234 13.0686051, -3.0673587 13.0691708)",
186895162,,residential,False,True,51.715,,"LINESTRING (-3.0671234 13.0686051, -3.0666909 13.0688021)",
186895152,,residential,False,True,88.102,,"LINESTRING (-3.0736763 13.0687757, -3.0730945 13.0693294)",
377386365,,tertiary,False,False,89.016,,"LINESTRING (-3.0736763 13.0687757, -3.0729043 13.0685012)",
186895131,,residential,False,False,197.038,,"LINESTRING (-3.0666909 13.0688021, -3.0650091 13.0694775)",
186895162,,residential,False,False,51.715,,"LINESTRING (-3.0666909 13.0688021, -3.0671234 13.0686051)",
186895162,,residential,False,True,19.035,,"LINESTRING (-3.0666909 13.0688021, -3.06655 13.0686998)",
223729724,,residential,False,True,66.029,2,"LINESTRING (-3.0666909 13.0688021, -3.0668546 13.0693741)",30
186895120,,residential,False,False,77.762,,"LINESTRING (-3.0725912 13.0688307, -3.0730945 13.0693294)",
377679722,N 10,secondary,False,False,49.925,2,"LINESTRING (-3.0725912 13.0688307, -3.0729043 13.0685012)",
377679722,N 10,secondary,False,True,44.908,2,"LINESTRING (-3.0725912 13.0688307, -3.072295 13.0691133)",
186895158,,residential,False,False,103.423,2,"LINESTRING (-3.072295 13.0691133, -3.0713881 13.0688223)",30
377679722,N 10,secondary,False,False,44.908,2,"LINESTRING (-3.072295 13.0691133, -3.0725912 13.0688307)",
377679722,N 10,secondary,False,True,68.442,2,"LINESTRING (-3.072295 13.0691133, -3.0718307 13.0695308)",
108533784,N 21,secondary,False,False,67.87,,"LINESTRING (-3.0673587 13.0691708, -3.0671234 13.0686051)",
108533784,N 21,secondary,False,True,60.236,,"LINESTRING (-3.0673587 13.0691708, -3.0675618 13.0696751)",
