osmid,lanes,ref,highway,oneway,reversed,length,name,geometry
238788709,,,residential,False,True,94.455,,"LINESTRING (-79.0126205 -8.1690472, -79.0128766 -8.1689689, -79.0134157 -8.1687313)"
567956743,,,residential,False,False,79.785,Calle 3,"LINESTRING (-79.0124595 -8.1683476, -79.0126205 -8.1690472)"
567956743,,,residential,False,True,52.569,Calle 3,"LINESTRING (-79.0124595 -8.1683476, -79.012351 -8.1678872)"
869135872,,,residential,False,True,85.128,,"LINESTRING (-79.0124595 -8.1683476, -79.0132076 -8.1681533)"
238788708,,,residential,False,False,52.163,,"LINESTRING (-79.0132076 -8.1681533, -79.013068 -8.167705)"
238788708,,,residential,False,True,68.23,,"LINESTRING (-79.0132076 -8.1681533, -79.0134157 -8.1687313)"
869135872,,,residential,False,False,85.128,,"LINESTRING (-79.0132076 -8.1681533, -79.0124595 -8.1683476)"
894457050,,,residential,False,True,46.076,,"LINESTRING (-79.010012 -8.1749148, -79.0100804 -8.1753236)"
894457057,,,residential,False,False,30.375,,"LINESTRING (-79.010012 -8.1749148, -79.0097398 -8.1749598)"
894457057,,,residential,False,True,30.087,,"LINESTRING (-79.010012 -8.1749148, -79.0102816 -8.1748701)"
894457050,,,residential,False,False,46.076,,"LINESTRING (-79.0100804 -8.1753236, -79.010012 -8.1749148)"
94616394,,,residential,False,False,60.75,Jirón José Inclan,"LINESTRING (-79.0103889 -8.1740279, -79.0102607 -8.1734965)"
894457051,,,residential,False,False,30.636,,"LINESTRING (-79.0103889 -8.1740279, -79.0102755 -8.1740471, -79.0101153 -8.1740784)"
894457052,,,residential,False,False,37.472,,"LINESTRING (-79.0091899 -8.1739191, -79.0095252 -8.1738607)"
894457053,,,residential,False,True,45.851,,"LINESTRING (-79.0091684 -8.1742244, -79.0095773 -8.1741456)"
894457053,,,residential,False,False,45.851,,"LINESTRING (-79.0095773 -8.1741456, -79.0091684 -8.1742244)"
894457058,,,residential,False,False,32.194,,"LINESTRING (-79.0095773 -8.1741456, -79.0095252 -8.1738607)"
894457058,,,residential,False,True,29.526,,"LINESTRING (-79.0095773 -8.1741456, -79.0096293 -8.1744061)"
894457054,,,residential,False,True,53.193,,"LINESTRING (-79.009155 -8.1744979, -79.0096293 -8.1744061)"
894457054,,,residential,False,False,53.193,,"LINESTRING (-79.0096293 -8.1744061, -79.009155 -8.1744979)"
894457058,,,residential,False,False,29.526,,"LINESTRING (-79.0096293 -8.1744061, -79.0095773 -8.1741456)"
894457058,,,residential,False,True,32.598,,"LINESTRING (-79.0096293 -8.1744061, -79.0096867 -8.1746937)"
894457055,,,residential,False,True,57.751,,"LINESTRING (-79.0091738 -8.1748032, -79.0096867 -8.1746937)"
894457055,,,residential,False,False,57.751,,"LINESTRING (-79.0096867 -8.1746937, -79.0091738 -8.1748032)"
894457058,,,residential,False,False,32.598,,"LINESTRING (-79.0096867 -8.1746937, -79.0096293 -8.1744061)"
894457058,,,residential,False,True,30.161,,"LINESTRING (-79.0096867 -8.1746937, -79.0097398 -8.1749598)"
894457056,,,residential,False,True,53.947,,"LINESTRING (-79.009417 -8.1750244, -79.0094903 -8.1755041)"
894457057,,,residential,False,False,21.886,,"LINESTRING (-79.009417 -8.1750244, -79.0092221 -8.1750634)"
894457057,,,residential,False,True,36.248,,"LINESTRING (-79.009417 -8.1750244, -79.0097398 -8.1749598)"
894457056,,,residential,False,False,53.947,,"LINESTRING (-79.0094903 -8.1755041, -79.009417 -8.1750244)"
894457058,,,residential,False,False,49.102000000000004,,"LINESTRING (-79.0097988 -8.1753926, -79.0097263 -8.174997, -79.0097398 -8.1749598)"
894457057,,,residential,False,True,21.886,,"LINESTRING (-79.0092221 -8.1750634, -79.009417 -8.1750244)"
894457057,,,residential,False,False,30.087,,"LINESTRING (-79.0102816 -8.1748701, -79.010012 -8.1749148)"
894457059,,,residential,False,False,89.916,,"LINESTRING (-79.0102816 -8.1748701, -79.0101153 -8.1740784)"
894457059,,,residential,False,True,39.138,,"LINESTRING (-79.0102816 -8.1748701, -79.010354 -8.1752147)"
894457057,,,residential,False,False,36.248,,"LINESTRING (-79.0097398 -8.1749598, -79.009417 -8.1750244)"
894457057,,,residential,False,True,30.375,,"LINESTRING (-79.0097398 -8.1749598, -79.010012 -8.1749148)"
894457058,,,residential,False,False,30.161,,"LINESTRING (-79.0097398 -8.1749598, -79.0096867 -8.1746937)"
894457058,,,residential,False,True,49.102000000000004,,"LINESTRING (-79.0097398 -8.1749598, -79.0097263 -8.174997, -79.0097988 -8.1753926)"
894457052,,,residential,False,False,56.343,,"LINESTRING (-79.0095252 -8.1738607, -79.0100294 -8.1737731)"
894457052,,,residential,False,True,37.472,,"LINESTRING (-79.0095252 -8.1738607, -79.0091899 -8.1739191)"
894457058,,,residential,False,True,32.194,,"LINESTRING (-79.0095252 -8.1738607, -79.0095773 -8.1741456)"
894457059,,,residential,False,True,139.681,,"LINESTRING (-79.0097153 -8.172556, -79.0100294 -8.1737731)"
933911468,,,residential,False,False,33.874,Calle Sepulveda,"LINESTRING (-79.0097153 -8.172556, -79.0100133 -8.1724799)"
933911468,,,residential,False,True,31.202,Calle Sepulveda,"LINESTRING (-79.0097153 -8.172556, -79.0094408 -8.1726261)"
894457052,,,residential,False,True,56.343,,"LINESTRING (-79.0100294 -8.1737731, -79.0095252 -8.1738607)"
894457059,,,residential,False,False,139.681,,"LINESTRING (-79.0100294 -8.1737731, -79.0097153 -8.172556)"
894457059,,,residential,False,True,35.24,,"LINESTRING (-79.0100294 -8.1737731, -79.0101153 -8.1740784)"
894457059,,,residential,False,False,35.24,,"LINESTRING (-79.0101153 -8.1740784, -79.0100294 -8.1737731)"
894457059,,,residential,False,True,89.916,,"LINESTRING (-79.0101153 -8.1740784, -79.0102816 -8.1748701)"
894457051,,,residential,False,True,30.636,,"LINESTRING (-79.0101153 -8.1740784, -79.0102755 -8.1740471, -79.0103889 -8.1740279)"
894457059,,,residential,False,False,39.138,,"LINESTRING (-79.010354 -8.1752147, -79.0102816 -8.1748701)"
894460961,,,residential,False,True,19.623,,"LINESTRING (-79.0076637 -8.1680675, -79.0078398 -8.16804)"
894460961,,,residential,False,False,69.905,,"LINESTRING (-79.008463 -8.1679188, -79.0078398 -8.16804)"
94616394,,,residential,False,True,60.75,Jirón José Inclan,"LINESTRING (-79.0102607 -8.1734965, -79.0103889 -8.1740279)"
94616394,,,residential,False,False,116.275,Jirón José Inclan,"LINESTRING (-79.0102607 -8.1734965, -79.010206 -8.1732698, -79.0100133 -8.1724799)"
944429480,,,residential,False,True,221.88500000000002,,"LINESTRING (-79.0102607 -8.1734965, -79.0104465 -8.1735965, -79.0106249 -8.1736881, -79.0108019 -8.1738302, -79.0110835 -8.1740518, -79.0113035 -8.1742642, -79.0114041 -8.1743293, -79.0114912 -8.1743439, -79.011628 -8.174324, -79.0119697 -8.1742066)"
1270220311,2,LI-1102,secondary,False,False,91.227,Avenida La Marina,"LINESTRING (-79.0119697 -8.1742066, -79.0121583 -8.1750055)"
1270220311,2,LI-1102,secondary,False,True,235.52,Avenida La Marina,"LINESTRING (-79.0119697 -8.1742066, -79.0114579 -8.17215)"
944429480,,,residential,False,False,221.885,,"LINESTRING (-79.0119697 -8.1742066, -79.011628 -8.174324, -79.0114912 -8.1743439, -79.0114041 -8.1743293, -79.0113035 -8.1742642, -79.0110835 -8.1740518, -79.0108019 -8.1738302, -79.0106249 -8.1736881, -79.0104465 -8.1735965, -79.0102607 -8.1734965)"
933911470,,,residential,False,False,57.13,Calle Sepulveda,"LINESTRING (-79.0084416 -8.1728553, -79.0089461 -8.1727345)"
933911470,,,residential,False,True,7.204,Calle Sepulveda,"LINESTRING (-79.0084416 -8.1728553, -79.0083779 -8.1728702)"
94610894,,,tertiary,True,False,71.652,Jirón Leoncio Prado,"LINESTRING (-79.0079693 -8.1713655, -79.008609 -8.171246)"
1030406713,,,residential,True,False,62.158,Pasaje Odonovan,"LINESTRING (-79.0079693 -8.1713655, -79.0079502 -8.1716889, -79.0079561 -8.1717624, -79.0080178 -8.1719117)"
94627338,,,tertiary,True,False,7.538,Jirón Diego Ferré,"LINESTRING (-79.0080178 -8.1719117, -79.0079512 -8.1719275)"
1030406713,,,residential,True,False,114.838,Pasaje Odonovan,"LINESTRING (-79.0080178 -8.1719117, -79.0080923 -8.1720924, -79.0084416 -8.1728553)"
933911469,,,residential,False,False,12.125,Jirón Ricardo Odonovan,"LINESTRING (-79.0084945 -8.1734582, -79.0084733 -8.1733512)"
567956731,,,residential,False,True,78.36600000000001,,"LINESTRING (-79.0084945 -8.1734582, -79.0082712 -8.1735421, -79.0079209 -8.173689, -79.007839 -8.173732)"
1152339561,,,residential,False,True,56.765,,"LINESTRING (-79.0089834 -8.1732759, -79.0084733 -8.1733512)"
933911469,,,residential,False,False,54.506,Jirón Ricardo Odonovan,"LINESTRING (-79.0084733 -8.1733512, -79.0083779 -8.1728702)"
933911469,,,residential,False,True,12.125,Jirón Ricardo Odonovan,"LINESTRING (-79.0084733 -8.1733512, -79.0084945 -8.1734582)"
1152339561,,,residential,False,False,56.765,,"LINESTRING (-79.0084733 -8.1733512, -79.0089834 -8.1732759)"
567956091,,,residential,False,False,44.642,Calle Sepulveda,"LINESTRING (-79.0064183 -8.1732527, -79.006817 -8.173179)"
567956091,,,residential,False,True,4.647,Calle Sepulveda,"LINESTRING (-79.0064183 -8.1732527, -79.0063768 -8.1732604)"
1153083631,,,residential,False,True,65.551,,"LINESTRING (-79.0064183 -8.1732527, -79.0064662 -8.1738403)"
1153083631,,,residential,False,False,65.551,,"LINESTRING (-79.0064662 -8.1738403, -79.0064183 -8.1732527)"
94627431,,,residential,False,False,45.335,Avenida Elio Jacobo Caffo,"LINESTRING (-79.0134622 -8.1675868, -79.013068 -8.167705)"
1270220311,2,LI-1102,secondary,False,True,76.105,Avenida La Marina,"LINESTRING (-79.0123151 -8.1756721, -79.0121583 -8.1750055)"
