osmid,highway,oneway,reversed,length,name,lanes,maxspeed,geometry,ref,width
276539704,secondary,False,True,28.43,,,,"LINESTRING (-74.5385468 -8.3820468, -74.5387639 -8.3819081)",,
276539707,secondary,True,False,73.947,7 de Junio,,,"LINESTRING (-74.5385468 -8.3820468, -74.5379871 -8.3824151)",,
125430443,primary,True,False,135.796,Sáenz Peña,2,30,"LINESTRING (-74.5385468 -8.3820468, -74.5384049 -8.3818669, -74.5378191 -8.3810605)",,
55510554,trunk_link,True,False,74.911,7 de Junio,2,30,"LINESTRING (-74.5390442 -8.3822718, -74.5388712 -8.3822834, -74.5386084 -8.3822876, -74.5383659 -8.3823202)",,
55556910,trunk,True,False,60.797,Sáenz Peña,1,30,"LINESTRING (-74.5390442 -8.3822718, -74.5387542 -8.3821836, -74.5385468 -8.3820468)",PE-18C,
64238148,secondary,True,False,44.81,7 de Junio,2,30,"LINESTRING (-74.5379871 -8.3824151, -74.5376601 -8.3826554)",,
279878842,tertiary,True,False,116.54,Libertad,,40,"LINESTRING (-74.5350749 -8.384404, -74.5344665 -8.383546)",,
639129688,secondary,True,False,109.497,Sáenz Peña,2,30,"LINESTRING (-74.5366435 -8.379425, -74.5360782 -8.3786145)",,
55510655,tertiary,False,True,114.388,Jirón Tarapacá,2,35,"LINESTRING (-74.5366435 -8.379425, -74.5365825 -8.3794704, -74.5365357 -8.3795052, -74.5363351 -8.3796471, -74.5358125 -8.3800432)",,
64506937,primary,False,False,26.79,Guillermo Sisley,2,40,"LINESTRING (-74.5366435 -8.379425, -74.5367498 -8.3793453, -74.5368343 -8.3792754)",,
372269646,primary,True,False,119.697,Sáenz Peña,2,30,"LINESTRING (-74.5368343 -8.3792754, -74.5374914 -8.3801334)",,
64506937,primary,False,False,90.954,Guillermo Sisley,2,40,"LINESTRING (-74.5368343 -8.3792754, -74.536955 -8.3791971, -74.5375217 -8.3788209)",,
64506937,primary,False,True,26.79,Guillermo Sisley,2,40,"LINESTRING (-74.5368343 -8.3792754, -74.5367498 -8.3793453, -74.5366435 -8.379425)",,
64233585,trunk,True,False,10.379,Sáenz Peña,1,30,"LINESTRING (-74.5387639 -8.3819081, -74.5388237 -8.3819803)",PE-18C,
