osmid,ref,highway,oneway,reversed,length,geometry,tunnel,name,lanes,bridge
320232448,РҶ033,secondary,False,True,21.88,"LINESTRING (70.0315637 38.1111307, 70.0315073 38.110939)",,,,
460021641,,tertiary,False,False,190.41799999999998,"LINESTRING (70.0315637 38.1111307, 70.0312998 38.1111706, 70.0310622 38.1112393, 70.0308315 38.1113466, 70.0305554 38.1114827, 70.0302374 38.1116972, 70.029977 38.1118897, 70.0298617 38.1120024, 70.0297957 38.1120623)",,,,
588578889,,tertiary,False,False,173.97500000000002,"LINESTRING (70.0315637 38.1111307, 70.0318699 38.1122215, 70.0319049 38.112557, 70.0318805 38.1126662)",,,,
455164787,,residential,False,True,256.829,"LINESTRING (70.0257349 38.1113924, 70.0257396 38.1115957, 70.0256752 38.1118659, 70.0256108 38.1120368, 70.0253373 38.1122584, 70.025112 38.1124673, 70.0248974 38.1127079, 70.0248786 38.112843, 70.0248759 38.1130814, 70.0248116 38.1134803)",,,,
460021641,,tertiary,False,False,201.40800000000002,"LINESTRING (70.0257349 38.1113924, 70.0252456 38.1113283, 70.0249318 38.1112797, 70.0244894 38.1112116, 70.0240174 38.1110891, 70.0234792 38.1111012)",,,,
460021641,,tertiary,False,True,211.578,"LINESTRING (70.0257349 38.1113924, 70.0261229 38.111371, 70.0263675 38.1113963, 70.0267778 38.1115752, 70.0271904 38.1118396, 70.0275092 38.112036, 70.0277509 38.1122632)",,,,
"[1001726088, 1001726089, 458764288]",,residential,False,False,204.262,"LINESTRING (70.0257349 38.1113924, 70.0257299 38.1113422, 70.0257175 38.111258, 70.0257203 38.1111749, 70.0259724 38.1103496, 70.0262326 38.1096074)",yes,,,
320232444,,residential,False,True,96.094,"LINESTRING (70.0277509 38.1122632, 70.0278176 38.1121627, 70.0282594 38.1114972)",,,,
460021641,,tertiary,False,False,211.578,"LINESTRING (70.0277509 38.1122632, 70.0275092 38.112036, 70.0271904 38.1118396, 70.0267778 38.1115752, 70.0263675 38.1113963, 70.0261229 38.111371, 70.0257349 38.1113924)",,,,
460021641,,tertiary,False,True,113.708,"LINESTRING (70.0277509 38.1122632, 70.0281221 38.1124813, 70.0284755 38.1124949, 70.0287241 38.1124932, 70.0289513 38.1124492)",,,,
460021641,,tertiary,False,False,113.708,"LINESTRING (70.0289513 38.1124492, 70.0287241 38.1124932, 70.0284755 38.1124949, 70.0281221 38.1124813, 70.0277509 38.1122632)",,,,
460021641,,tertiary,False,True,86.198,"LINESTRING (70.0289513 38.1124492, 70.0292588 38.1123379, 70.0294877 38.1122471, 70.0297254 38.1121261, 70.0297957 38.1120623)",,,,
