osmid,oneway,ref,highway,reversed,length,bridge,lanes,name,access,geometry
32621398,True,РБ04,primary,False,67.537,,,,,"LINESTRING (69.7730085 37.9062805, 69.772497 37.9058266)"
"[32621370, 23092715]",False,РБ04,primary,"[False, True]",42.995000000000005,yes,2,хиёбони Исмоили Сомонӣ,yes,"LINESTRING (69.7730085 37.9062805, 69.7732413 37.9065384, 69.7733016 37.9065898)"
275101906,False,,residential,True,257.286,,,,,"LINESTRING (69.7730085 37.9062805, 69.7732533 37.9062051, 69.7742023 37.9060343, 69.7752355 37.9058793, 69.7758453 37.9060443)"
32621398,True,РБ04,primary,False,100.474,,,,,"LINESTRING (69.7713603 37.9040129, 69.770988 37.9031584)"
275101908,False,,secondary,False,296.272,,,кӯчаи Куйбышев,,"LINESTRING (69.7755698 37.9024556, 69.7724274 37.9034309)"
275101908,False,,secondary,True,64.841,,,кӯчаи Куйбышев,,"LINESTRING (69.7755698 37.9024556, 69.7762054 37.9022539, 69.7762573 37.9022423)"
275102004,True,РБ04,primary,False,59.882,,,,,"LINESTRING (69.7710365 37.9026038, 69.7710367 37.9027977, 69.7711139 37.9031369)"
275102089,True,,secondary,False,65.196,,,,,"LINESTRING (69.7710365 37.9026038, 69.7711292 37.9027764, 69.7712261 37.902901, 69.7713611 37.9030107, 69.7714584 37.9030744)"
629618279,False,,primary_link,True,11.302,,,,,"LINESTRING (69.7711139 37.9031369, 69.770988 37.9031584)"
275102004,True,РБ04,primary,False,99.906,,,,,"LINESTRING (69.7711139 37.9031369, 69.7712255 37.9034052, 69.7714689 37.9039906)"
495465061,False,,primary_link,False,32.456,,,,,"LINESTRING (69.7711139 37.9031369, 69.7711727 37.9031012, 69.77125 37.9030711, 69.7713328 37.9030642, 69.7714584 37.9030744)"
275101946,True,,secondary,False,49.262,,,,,"LINESTRING (69.7718782 37.903349, 69.7720609 37.9033966, 69.7724274 37.9034309)"
666211452,False,,secondary_link,False,35.225,,,,,"LINESTRING (69.7718782 37.903349, 69.7719399 37.9034265, 69.7719544 37.9034904, 69.7719342 37.9035654, 69.7718826 37.9036385)"
275101908,False,,secondary,True,296.272,,,кӯчаи Куйбышев,,"LINESTRING (69.7724274 37.9034309, 69.7755698 37.9024556)"
666211450,True,,secondary,False,53.286,,,хиёбони Исмоили Сомонӣ,,"LINESTRING (69.7724274 37.9034309, 69.7720538 37.9035513, 69.7718826 37.9036385)"
666211451,True,,secondary,False,53.737,,,,,"LINESTRING (69.7718826 37.9036385, 69.7715319 37.9039628, 69.7714689 37.9039906)"
666211452,False,,secondary_link,True,35.224999999999994,,,,,"LINESTRING (69.7718826 37.9036385, 69.7719342 37.9035654, 69.7719544 37.9034904, 69.7719399 37.9034265, 69.7718782 37.903349)"
666211451,True,,secondary,False,9.846,,,,,"LINESTRING (69.7714689 37.9039906, 69.7713603 37.9040129)"
275102004,True,РБ04,primary,False,223.195,,,,,"LINESTRING (69.7714689 37.9039906, 69.7715899 37.9042909, 69.7720655 37.9051734, 69.7725779 37.905785)"
275102036,False,,residential,True,67.889,,,,,"LINESTRING (69.7801132 37.9041207, 69.7795498 37.9045392)"
275101964,False,,tertiary,False,149.07000000000002,,,,,"LINESTRING (69.7801132 37.9041207, 69.7807634 37.9044519, 69.7812384 37.9047183, 69.7812442 37.9049884)"
275102036,False,,residential,False,67.889,,,,,"LINESTRING (69.7795498 37.9045392, 69.7801132 37.9041207)"
275102036,False,,residential,True,130.187,,,,,"LINESTRING (69.7795498 37.9045392, 69.7790908 37.9047914, 69.77832 37.9051942)"
"[926911352, 926911363]",False,,residential,True,229.388,,,,,"LINESTRING (69.7795498 37.9045392, 69.7799207 37.9048588, 69.7799494 37.9049125, 69.7799441 37.9049453, 69.7798994 37.9050024, 69.7798951 37.9050847, 69.7799849 37.9052863, 69.7800453 37.9054418, 69.780044 37.9055021, 69.7800238 37.9055614, 69.7799219 37.9057603, 69.7798522 37.9058661, 69.7797529 37.9059709, 69.7796627 37.906391)"
275101964,False,,tertiary,False,190.952,,,,,"LINESTRING (69.7812442 37.9049884, 69.7812447 37.9051178, 69.7810197 37.9058378, 69.7807213 37.9066507)"
275101964,False,,tertiary,True,149.07,,,,,"LINESTRING (69.7812442 37.9049884, 69.7812384 37.9047183, 69.7807634 37.9044519, 69.7801132 37.9041207)"
275102036,False,,residential,True,112.519,,,,,"LINESTRING (69.77832 37.9051942, 69.7775456 37.9060008)"
275102036,False,,residential,False,130.187,,,,,"LINESTRING (69.77832 37.9051942, 69.7790908 37.9047914, 69.7795498 37.9045392)"
926911362,False,,residential,False,108.88099999999999,,,,,"LINESTRING (69.77832 37.9051942, 69.7782752 37.9050258, 69.7782194 37.9049018, 69.7782144 37.9047619, 69.7782414 37.9046365, 69.7782279 37.9044366, 69.7782228 37.9043312, 69.7781333 37.9042566)"
275101910,False,,tertiary,False,8.472,,,,,"LINESTRING (69.7725779 37.905785, 69.772497 37.9058266)"
275102004,True,РБ04,primary,False,66.805,,,,,"LINESTRING (69.7725779 37.905785, 69.7730085 37.9062805)"
275101910,False,,tertiary,True,8.472,,,,,"LINESTRING (69.772497 37.9058266, 69.7725779 37.905785)"
32621398,True,РБ04,primary,False,226.074,,,,,"LINESTRING (69.772497 37.9058266, 69.7719741 37.9052026, 69.7716913 37.9046801, 69.7714929 37.9043135, 69.7713603 37.9040129)"
275101910,False,,tertiary,False,112.19200000000001,,,,,"LINESTRING (69.772497 37.9058266, 69.7716563 37.9062249, 69.7714451 37.906325, 69.7714007 37.906346)"
275101906,False,,residential,False,257.286,,,,,"LINESTRING (69.7758453 37.9060443, 69.7752355 37.9058793, 69.7742023 37.9060343, 69.7732533 37.9062051, 69.7730085 37.9062805)"
275101906,False,,residential,True,173.65800000000002,,,,,"LINESTRING (69.7758453 37.9060443, 69.77664 37.9064223, 69.7775456 37.9060008)"
926911361,False,,residential,True,249.747,,,,,"LINESTRING (69.7758453 37.9060443, 69.7759316 37.9058791, 69.776207 37.9054245, 69.7763033 37.9053045, 69.7766345 37.9050405, 69.7768829 37.9047005, 69.7769876 37.9045979, 69.7773425 37.9044632, 69.7773949 37.9044059, 69.7775013 37.9043659, 69.7775528 37.9043344)"
275102036,False,,residential,False,112.519,,,,,"LINESTRING (69.7775456 37.9060008, 69.77832 37.9051942)"
275101906,False,,residential,False,173.65800000000002,,,,,"LINESTRING (69.7775456 37.9060008, 69.77664 37.9064223, 69.7758453 37.9060443)"
