osmid,highway,oneway,reversed,length,geometry,name,maxspeed,lanes,ref
31739792,residential,False,True,259.39599999999996,"LINESTRING (-82.4808253 8.4415214, -82.4807301 8.4414932, -82.4801562 8.4411547, -82.4798845 8.4409945, -82.4790614 8.4406378, -82.4786901 8.4405802)",,,,
89594989,residential,False,False,77.631,"LINESTRING (-82.4778345 8.4404924, -82.4781051 8.4398476)",,,,
31739792,residential,False,False,94.93299999999999,"LINESTRING (-82.4778345 8.4404924, -82.478091 8.4404866, -82.4785072 8.4405518, -82.4786901 8.4405802)",,,,
31739792,residential,False,True,136.374,"LINESTRING (-82.4778345 8.4404924, -82.4767666 8.4406396, -82.4766783 8.4406721, -82.4766224 8.4407094)",,,,
381124294,unclassified,False,False,80.388,"LINESTRING (-82.4753045 8.4409701, -82.4753818 8.4407681, -82.4754581 8.4405499, -82.4755302 8.4402832)",Vía Coquito,35,,
1215196456,trunk,True,False,76.428,"LINESTRING (-82.4766224 8.4407094, -82.4760005 8.4404028)",Carretera Interamericana,60,3,1
31739792,residential,False,False,136.374,"LINESTRING (-82.4766224 8.4407094, -82.4766783 8.4406721, -82.4767666 8.4406396, -82.4778345 8.4404924)",,,,
1016440626,trunk_link,True,False,20.461,"LINESTRING (-82.4764406 8.4407433, -82.4765459 8.4407334, -82.4766224 8.4407094)",,25,1,
"[1215196451, 1215661214]",trunk,True,False,295.742,"LINESTRING (-82.4764406 8.4407433, -82.4783644 8.4416739, -82.478858 8.4419077)",Carretera Interamericana,60,"['2', '3']",1
381124294,unclassified,False,True,80.38799999999999,"LINESTRING (-82.4755302 8.4402832, -82.4754581 8.4405499, -82.4753818 8.4407681, -82.4753045 8.4409701)",Vía Coquito,35,,
1000395117,trunk_link,False,False,11.75,"LINESTRING (-82.4755302 8.4402832, -82.4755465 8.4402367, -82.4755653 8.4401834)",Vía Coquito,25,1,
"[1215196457, 1215196452]",trunk,True,False,112.449,"LINESTRING (-82.4755302 8.4402832, -82.4757749 8.4404052, -82.47607 8.4405551, -82.4764406 8.4407433)",Carretera Interamericana,60,3,1
1000395117,trunk_link,False,True,11.75,"LINESTRING (-82.4755653 8.4401834, -82.4755465 8.4402367, -82.4755302 8.4402832)",Vía Coquito,25,1,
89595000,residential,False,True,96.507,"LINESTRING (-82.4791432 8.4395288, -82.4783159 8.4392397)",,,,
89594989,residential,False,False,71.461,"LINESTRING (-82.4781051 8.4398476, -82.4783159 8.4392397)",,,,
89594989,residential,False,True,77.631,"LINESTRING (-82.4781051 8.4398476, -82.4778345 8.4404924)",,,,
89595007,residential,False,False,71.704,"LINESTRING (-82.4781051 8.4398476, -82.4787242 8.4400496)",,,,
89595007,residential,False,True,71.704,"LINESTRING (-82.4787242 8.4400496, -82.4781051 8.4398476)",,,,
89594989,residential,False,True,71.461,"LINESTRING (-82.4783159 8.4392397, -82.4781051 8.4398476)",,,,
89595000,residential,False,False,96.507,"LINESTRING (-82.4783159 8.4392397, -82.4791432 8.4395288)",,,,
390862326,trunk_link,False,False,12.564,"LINESTRING (-82.4789084 8.4418063, -82.478858 8.4419077)",,25,,
1215196456,trunk,True,False,279.46,"LINESTRING (-82.4789084 8.4418063, -82.4766224 8.4407094)",Carretera Interamericana,60,3,1
390862326,trunk_link,False,True,12.564,"LINESTRING (-82.478858 8.4419077, -82.4789084 8.4418063)",,25,,
"[1215661212, 1215661213, 857022653]",trunk,True,False,200.56900000000002,"LINESTRING (-82.478858 8.4419077, -82.4791878 8.4420692, -82.4799684 8.4424539, -82.4804866 8.442719)",Carretera Interamericana,60,"['2', '3']",1
390862328,trunk_link,False,False,12.211,"LINESTRING (-82.4805373 8.4426213, -82.4804866 8.442719)",,,,
1215661215,trunk,True,False,200.779,"LINESTRING (-82.4805373 8.4426213, -82.4789084 8.4418063)",Carretera Interamericana,60,2,1
390862328,trunk_link,False,True,12.211,"LINESTRING (-82.4804866 8.442719, -82.4805373 8.4426213)",,,,
"[1215661210, 1215661211]",trunk,True,False,127.148,"LINESTRING (-82.4804866 8.442719, -82.4810976 8.4430244, -82.4815183 8.4432348)",Carretera Interamericana,60,"['2', '3']",1
591884272,residential,False,False,166.019,"LINESTRING (-82.4786901 8.4405802, -82.4796778 8.4394512)",,,,
31739792,residential,False,False,259.396,"LINESTRING (-82.4786901 8.4405802, -82.4790614 8.4406378, -82.4798845 8.4409945, -82.4801562 8.4411547, -82.4807301 8.4414932, -82.4808253 8.4415214)",,,,
31739792,residential,False,True,94.93299999999999,"LINESTRING (-82.4786901 8.4405802, -82.4785072 8.4405518, -82.478091 8.4404866, -82.4778345 8.4404924)",,,,
591884272,residential,False,True,166.019,"LINESTRING (-82.4796778 8.4394512, -82.4786901 8.4405802)",,,,
1215196455,trunk,True,False,53.729,"LINESTRING (-82.4760005 8.4404028, -82.475823 8.4403155, -82.4755653 8.4401834)",Carretera Interamericana,60,3,1
1215661201,unclassified,False,True,161.958,"LINESTRING (-82.4809581 8.4445818, -82.4815183 8.4432348)",,25,,
1215661201,unclassified,False,False,161.958,"LINESTRING (-82.4815183 8.4432348, -82.4809581 8.4445818)",,25,,
1215661211,trunk,True,False,39.181,"LINESTRING (-82.4815183 8.4432348, -82.4818362 8.4433938)",Carretera Interamericana,60,2,1
1215661202,unclassified,False,True,172.858,"LINESTRING (-82.4813148 8.4448603, -82.4818362 8.4433938)",,25,,
1215661202,unclassified,False,False,172.858,"LINESTRING (-82.4818362 8.4433938, -82.4813148 8.4448603)",,25,,
