osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width
133021424,False,2,улица Гагарина,residential,False,137.92000000000002,"LINESTRING (29.4867136 46.8252292, 29.4856096 46.8255942, 29.4851876 46.8257265, 29.4850918 46.8257787)",,
276790976,False,2,улица Гагарина,residential,True,134.738,"LINESTRING (29.4867136 46.8252292, 29.4868098 46.8251978, 29.4883122 46.8247078)",,
228367502,True,,Советская улица,residential,False,218.685,"LINESTRING (29.4833264 46.8262776, 29.4824906 46.8243959)",,
397623164,True,,улица Гагарина,residential,False,12.965,"LINESTRING (29.4833264 46.8262776, 29.4831612 46.8263062)",,
"[486331269, 132957190]",True,,улица Сергея Лазо,residential,False,139.102,"LINESTRING (29.4840972 46.8239122, 29.48423 46.823873, 29.4845809 46.8237665, 29.4849252 46.8236668, 29.4856103 46.823443, 29.4857646 46.8233998)",,
136077127,True,,улица Суворова,primary,False,154.565,"LINESTRING (29.4840972 46.8239122, 29.4840449 46.8238036, 29.4839675 46.8236498, 29.4835984 46.8229167, 29.4835408 46.8228022, 29.483438 46.8225974)",70,
91430810,False,,Комсомольская улица,residential,True,99.474,"LINESTRING (29.4880392 46.8182582, 29.4867429 46.8181425)",,
"[680056528, 326375586, 41749658]",False,,"['Московская улица', 'улица Маяковского']",residential,True,188.13500000000002,"LINESTRING (29.4880392 46.8182582, 29.487989 46.8188973, 29.4879398 46.818997, 29.4877837 46.8193131, 29.4877677 46.8193515, 29.4876018 46.8193666, 29.4873806 46.8196239, 29.4871593 46.8196757)",50,7
41851869,False,,улица Кирова,residential,False,6.25,"LINESTRING (29.4757945 46.8227036, 29.4757712 46.8226497)",,
41749657,False,,Московская улица,residential,False,139.506,"LINESTRING (29.4757945 46.8227036, 29.4762853 46.8225929, 29.4775291 46.8222972)",50,
41851869,False,,улица Кирова,residential,True,240.14600000000002,"LINESTRING (29.4757945 46.8227036, 29.4763751 46.8240098, 29.4766609 46.8246596, 29.4767097 46.8247705)",,
87497002,False,,улица Ленина,residential,False,141.899,"LINESTRING (29.4767097 46.8247705, 29.4784013 46.8242331)",,
41851869,False,,улица Кирова,residential,False,240.14600000000002,"LINESTRING (29.4767097 46.8247705, 29.4766609 46.8246596, 29.4763751 46.8240098, 29.4757945 46.8227036)",,
41851869,False,,улица Кирова,residential,True,144.334,"LINESTRING (29.4767097 46.8247705, 29.4767573 46.8248776, 29.4768328 46.8250474, 29.4768371 46.8250571, 29.4768946 46.8251869, 29.476991 46.8254042, 29.4772102 46.8258988, 29.477238 46.8259617, 29.4772606 46.8260126)",,
397628237,False,,Комсомольская улица,residential,True,141.06,"LINESTRING (29.4784826 46.8200069, 29.4767198 46.8203996)",,
87497007,False,,улица Калинина,residential,False,214.89300000000003,"LINESTRING (29.4784826 46.8200069, 29.4785889 46.8202474, 29.4789044 46.8209615, 29.4789385 46.8210387, 29.4790702 46.8213369, 29.4791535 46.8215255, 29.4792924 46.8218583)",,
87497007,False,,улица Калинина,residential,True,213.67399999999998,"LINESTRING (29.4784826 46.8200069, 29.478371 46.8197542, 29.47767 46.8181675)",,
397628237,False,,Комсомольская улица,residential,False,141.853,"LINESTRING (29.4784826 46.8200069, 29.4795226 46.8197681, 29.4802493 46.8195996)",,
87502094,False,,улица Кавриаго,residential,False,139.159,"LINESTRING (29.47767 46.8181675, 29.4794061 46.8177741)",,
87497007,False,,улица Калинина,residential,False,213.67399999999998,"LINESTRING (29.47767 46.8181675, 29.478371 46.8197542, 29.4784826 46.8200069)",,
87502094,False,,улица Кавриаго,residential,True,136.821,"LINESTRING (29.47767 46.8181675, 29.4760327 46.8185274, 29.4759582 46.8185441)",,
276790975,False,2,улица Шестакова,residential,False,133.355,"LINESTRING (29.4873665 46.8228554, 29.4870696 46.8222795, 29.4869396 46.8220273, 29.4867869 46.8217236)",50,
276790975,False,2,улица Шестакова,residential,True,218.213,"LINESTRING (29.4873665 46.8228554, 29.487848 46.8238435, 29.4881039 46.8243319, 29.4883122 46.8247078)",50,
87502095,False,,Советская улица,residential,False,208.279,"LINESTRING (29.4802493 46.8195996, 29.4805146 46.8201589, 29.4809237 46.8210213, 29.4810939 46.8213813)",,
87502095,False,,Советская улица,residential,True,212.886,"LINESTRING (29.4802493 46.8195996, 29.4801283 46.8193385, 29.4799374 46.8189281, 29.4794061 46.8177741)",,
397628237,False,,Комсомольская улица,residential,False,125.544,"LINESTRING (29.4802493 46.8195996, 29.4810099 46.8194312, 29.4818164 46.8192464)",,
397628237,False,,Комсомольская улица,residential,True,141.853,"LINESTRING (29.4802493 46.8195996, 29.4795226 46.8197681, 29.4784826 46.8200069)",,
87502094,False,,улица Кавриаго,residential,False,119.588,"LINESTRING (29.4794061 46.8177741, 29.4808969 46.8174337)",,
87502094,False,,улица Кавриаго,residential,True,139.159,"LINESTRING (29.4794061 46.8177741, 29.47767 46.8181675)",,
87502095,False,,Советская улица,residential,False,212.886,"LINESTRING (29.4794061 46.8177741, 29.4799374 46.8189281, 29.4801283 46.8193385, 29.4802493 46.8195996)",,
404564015,False,,Советская улица,residential,False,134.014,"LINESTRING (29.4810939 46.8213813, 29.4816401 46.8225271)",,
680056522,False,,Московская улица,residential,True,146.976,"LINESTRING (29.4810939 46.8213813, 29.4792924 46.8218583)",50,7
87502095,False,,Советская улица,residential,True,208.279,"LINESTRING (29.4810939 46.8213813, 29.4809237 46.8210213, 29.4805146 46.8201589, 29.4802493 46.8195996)",,
404564011,False,,Московская улица,residential,False,126.262,"LINESTRING (29.4810939 46.8213813, 29.4825158 46.8210518, 29.4826651 46.821016)",50,7
276790975,False,2,улица Шестакова,residential,False,218.21300000000002,"LINESTRING (29.4883122 46.8247078, 29.4881039 46.8243319, 29.487848 46.8238435, 29.4873665 46.8228554)",50,
276790976,False,2,улица Гагарина,residential,False,134.738,"LINESTRING (29.4883122 46.8247078, 29.4868098 46.8251978, 29.4867136 46.8252292)",,
393488077,False,,улица Шестакова,residential,False,18.628,"LINESTRING (29.4867869 46.8217236, 29.4867007 46.8215668)",,
276790975,False,2,улица Шестакова,residential,True,133.35500000000002,"LINESTRING (29.4867869 46.8217236, 29.4869396 46.8220273, 29.4870696 46.8222795, 29.4873665 46.8228554)",50,
680304256,False,,улица Сергея Лазо,tertiary,False,137.549,"LINESTRING (29.4806437 46.8249655, 29.4789976 46.825477)",60,
87496983,True,2,улица Калинина,residential,False,149.643,"LINESTRING (29.4806437 46.8249655, 29.4805161 46.8247484, 29.4803468 46.8243558, 29.4802785 46.8242086, 29.4802154 46.8239631, 29.4801514 46.8237755, 29.4801198 46.8237067, 29.4801031 46.8236747)",,
"[680304256, 680056527]",False,,улица Сергея Лазо,tertiary,True,142.127,"LINESTRING (29.4806437 46.8249655, 29.4813367 46.8247556, 29.4816272 46.8246662, 29.4819624 46.8245628, 29.4822053 46.8244879, 29.4823489 46.8244436)",60,
