osmid,name,highway,oneway,reversed,length,geometry,junction,ref,maxspeed,bridge,lanes
26605551,Strada Prieteniei,residential,False,True,168.91199999999998,"LINESTRING (28.7877781 47.816129, 28.7887415 47.8163019, 28.7899556 47.8165403)",,,,,
628766768,Strada Independenței,residential,False,True,143.894,"LINESTRING (28.7877781 47.816129, 28.7882438 47.814998, 28.7883167 47.8149205, 28.7883397 47.814896)",,,,,
655938454,,primary,True,False,4.02,"LINESTRING (28.7879578 47.8097466, 28.7879528 47.8097826)",roundabout,,,,
47086442,Strada 31 August 1989,primary,True,False,65.121,"LINESTRING (28.788214 47.8091868, 28.7879578 47.8097466)",,R9,,,
655938459,,primary,True,False,7.214,"LINESTRING (28.7877046 47.8097752, 28.7877025 47.809744, 28.787723 47.8097133)",roundabout,,,,
47086445,Strada 31 August 1989,primary,True,False,13.162,"LINESTRING (28.7877727 47.8096827, 28.7878611 47.8095803)",,R9,,,
415875048,,primary,True,False,9.904,"LINESTRING (28.7877727 47.8096827, 28.7878345 47.8096793, 28.7879021 47.809693)",roundabout,,,,
788318431,Strada Pacii,residential,False,False,7.07,"LINESTRING (28.7889517 47.8119532, 28.7889789 47.8120141)",,,50,,
628763928,Strada Mihai Eminescu,tertiary,False,False,189.392,"LINESTRING (28.7889517 47.8119532, 28.7890261 47.8119418, 28.78906 47.811937, 28.7894448 47.8118824, 28.78995 47.8118529, 28.7899741 47.8118515, 28.7905193 47.8118477, 28.7914747 47.811841)",,L206,,,
628763928,Strada Mihai Eminescu,tertiary,False,True,12.443,"LINESTRING (28.7889517 47.8119532, 28.788822 47.8119591, 28.7887854 47.8119601)",,L206,,,
47086441,Strada 31 August 1989,primary,True,False,108.64999999999999,"LINESTRING (28.7870543 47.8106486, 28.7872547 47.8103963, 28.7874879 47.8101035, 28.7877046 47.8097752)",,R9,,,
47086437,Strada Livezilor,residential,False,False,83.163,"LINESTRING (28.799882 47.8096786, 28.799855 47.8100895, 28.7998539 47.8104261)",,,,,
628751494,Strada Vasile Alecsandri,residential,False,False,450.926,"LINESTRING (28.799882 47.8096786, 28.7963918 47.8097515, 28.7956734 47.8097723, 28.7955385 47.8097812, 28.7954472 47.8097902, 28.7953709 47.8098117, 28.7950725 47.8098959, 28.7949861 47.8099212, 28.7949224 47.8099513, 28.7948863 47.8100001, 28.7948663 47.8100582, 28.7946607 47.8106128)",,,,,
47086437,Strada Livezilor,residential,False,True,57.337,"LINESTRING (28.7998225 47.8110604, 28.7998505 47.8105451)",,,,,
138006196,Strada Vladimir Komarov,residential,False,False,157.438,"LINESTRING (28.7998225 47.8110604, 28.7990834 47.8111184, 28.7977211 47.811166)",,,,,
628766768,Strada Independenței,residential,False,False,143.894,"LINESTRING (28.7883397 47.814896, 28.7883167 47.8149205, 28.7882438 47.814998, 28.7877781 47.816129)",,,,,
787956299,Strada Independenței,residential,False,False,223.872,"LINESTRING (28.7883397 47.814896, 28.7886102 47.8150353, 28.7893013 47.8154541, 28.7905189 47.816152, 28.7906068 47.8162122)",,,,,
60122618,Strada Victoriei,residential,False,True,11.971,"LINESTRING (28.7932754 47.8163037, 28.7934338 47.8162871)",,,,,
"[60122618, 788327461, 788327462]",Strada Victoriei,residential,False,False,157.613,"LINESTRING (28.7932754 47.8163037, 28.792964 47.8163594, 28.7926093 47.8164249, 28.79228 47.8164991, 28.7920661 47.8165403, 28.791933 47.8165616, 28.7918974 47.8165641, 28.7918501 47.8165648, 28.7912205 47.8165378)",,,,yes,
628751493,Strada Izvoarelor,residential,False,False,28.445,"LINESTRING (28.7932754 47.8163037, 28.7932966 47.8163307, 28.7933542 47.8164041, 28.7934163 47.8164726, 28.7934429 47.8165321)",,,,,
26605551,Strada Prieteniei,residential,False,False,168.91199999999998,"LINESTRING (28.7899556 47.8165403, 28.7887415 47.8163019, 28.7877781 47.816129)",,,,,
47086463,Strada Independenței,residential,True,False,20.077,"LINESTRING (28.7905764 47.8163916, 28.7906068 47.8162122)",,,,,
655943705,,residential,True,False,12.54,"LINESTRING (28.7905764 47.8163916, 28.7906207 47.8163686, 28.7906735 47.816356, 28.7907294 47.816355)",roundabout,,,,
"[788318432, 47086462]","['strada Pacii', 'Strada Păcii']",residential,False,True,327.544,"LINESTRING (28.7907938 47.8163695, 28.7907789 47.8162269, 28.7907472 47.8160926, 28.7903522 47.8151689, 28.7901134 47.8146106, 28.7900452 47.8144573, 28.7898747 47.8140744, 28.7896311 47.8135334)",,,,,2
655943705,,residential,True,False,8.227,"LINESTRING (28.7907938 47.8163695, 28.790837 47.8163926, 28.7908675 47.8164233)",roundabout,,,,
47086459,Strada Victoriei,residential,True,False,29.331,"LINESTRING (28.7908675 47.8164233, 28.7910423 47.8164893, 28.7912205 47.8165378)",,,,,
103839286,Strada 1 Mai,residential,False,True,25.936999999999998,"LINESTRING (28.7908675 47.8164233, 28.7909587 47.8164162, 28.7910304 47.8164098, 28.7910961 47.8163897, 28.7911168 47.8163733, 28.791168 47.8163329)",,,,,
655943705,,residential,True,False,19.753999999999998,"LINESTRING (28.7908675 47.8164233, 28.7908823 47.8164574, 28.7908815 47.8164929, 28.7908652 47.8165267, 28.7908348 47.8165558, 28.790793 47.8165776)",roundabout,,,,
655943705,,residential,True,False,19.555999999999997,"LINESTRING (28.790793 47.8165776, 28.7907441 47.8165901, 28.7906918 47.8165924, 28.7906408 47.8165845, 28.7905954 47.8165669, 28.7905596 47.8165412)",roundabout,,,,
788321395,,residential,False,True,75.047,"LINESTRING (28.790793 47.8165776, 28.7909673 47.8168995, 28.7914112 47.8170466)",,,,,
47086458,Strada Victoriei,residential,True,False,32.253,"LINESTRING (28.7912205 47.8165378, 28.7910125 47.8165511, 28.790793 47.8165776)",,,,,
103842528,Strada 1 Mai,residential,False,True,24.467000000000002,"LINESTRING (28.7912205 47.8165378, 28.7911726 47.8164973, 28.7911523 47.8164644, 28.7911474 47.81643, 28.7911511 47.8164018, 28.7911573 47.8163763, 28.791168 47.8163329)",,,,,
"[60122618, 788327461, 788327462]",Strada Victoriei,residential,False,True,157.61299999999997,"LINESTRING (28.7912205 47.8165378, 28.7918501 47.8165648, 28.7918974 47.8165641, 28.791933 47.8165616, 28.7920661 47.8165403, 28.79228 47.8164991, 28.7926093 47.8164249, 28.792964 47.8163594, 28.7932754 47.8163037)",,,,yes,
47086461,Strada Independenței,residential,True,False,18.329,"LINESTRING (28.7906068 47.8162122, 28.7907294 47.816355)",,,,,
787956299,Strada Independenței,residential,False,True,223.872,"LINESTRING (28.7906068 47.8162122, 28.7905189 47.816152, 28.7893013 47.8154541, 28.7886102 47.8150353, 28.7883397 47.814896)",,,,,
60122618,Strada Victoriei,residential,False,False,98.143,"LINESTRING (28.7984149 47.8161144, 28.7971011 47.8160882)",,,,,
628774912,Strada Victoriei,residential,False,True,94.85900000000001,"LINESTRING (28.7984149 47.8161144, 28.799215 47.8161352, 28.7996843 47.8161483)",,,,,
788318431,Strada Pacii,residential,False,True,76.287,"LINESTRING (28.7896311 47.8135334, 28.7893527 47.8128733)",,,50,,
"[788318432, 47086462]","['strada Pacii', 'Strada Păcii']",residential,False,False,327.544,"LINESTRING (28.7896311 47.8135334, 28.7898747 47.8140744, 28.7900452 47.8144573, 28.7901134 47.8146106, 28.7903522 47.8151689, 28.7907472 47.8160926, 28.7907789 47.8162269, 28.7907938 47.8163695)",,,,,2
655943705,,residential,True,False,5.095,"LINESTRING (28.7907294 47.816355, 28.7907627 47.8163602, 28.7907938 47.8163695)",roundabout,,,,
788318431,Strada Pacii,residential,False,False,76.287,"LINESTRING (28.7893527 47.8128733, 28.7896311 47.8135334)",,,50,,
788318431,Strada Pacii,residential,False,True,99.533,"LINESTRING (28.7893527 47.8128733, 28.7889789 47.8120141)",,,50,,
628750097,Stradela Păcii,residential,False,False,149.32,"LINESTRING (28.7893527 47.8128733, 28.7894401 47.8128655, 28.7897536 47.8128396, 28.7899841 47.8128277, 28.7903348 47.8128144, 28.7913476 47.8127963)",,,,,
103839286,Strada 1 Mai,residential,False,False,359.858,"LINESTRING (28.7913476 47.8127963, 28.7914096 47.8133397, 28.7914166 47.8140829, 28.7914021 47.8146085, 28.7913997 47.8153359, 28.7914067 47.8157263, 28.7913556 47.8160289)",,,,,
"[103839275, 628750260]","['Strada Moldova', 'Stradela Păcii']",residential,False,False,436.30000000000007,"LINESTRING (28.7913476 47.8127963, 28.7916648 47.812792, 28.7919934 47.812793, 28.7920907 47.8128058, 28.7921356 47.8128279, 28.7921684 47.812861, 28.7921819 47.8128921, 28.7921729 47.8129403, 28.7920444 47.8132012, 28.7920145 47.8133166, 28.7920041 47.8134531, 28.7920384 47.8136006, 28.792155 47.8139839, 28.7922192 47.8142147, 28.7922581 47.8144896, 28.7922476 47.8147535, 28.7922192 47.814906, 28.7921774 47.8150134, 28.7921027 47.8151338, 28.7919607 47.8153044, 28.7915827 47.8157499, 28.7913556 47.8160289)",,,,,
103839286,Strada 1 Mai,residential,False,True,107.32,"LINESTRING (28.7913476 47.8127963, 28.7913279 47.8125275, 28.7913453 47.8122892, 28.7913943 47.8120445, 28.7914747 47.811841)",,,,,
