osmid,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,lanes
508229290,Jirón Arica,residential,False,False,74.306,,"LINESTRING (-74.9372824 -14.8286297, -74.937397 -14.8279707)",,
1125477804,Jirón Lima,tertiary,True,False,95.295,,"LINESTRING (-74.9372824 -14.8286297, -74.9364202 -14.8284303)",,
"[288570176, 190302824, 190302853]",Jirón Arica,tertiary,False,False,279.361,yes,"LINESTRING (-74.9372824 -14.8286297, -74.9370377 -14.8298692, -74.9370349 -14.8298833, -74.9368445 -14.8309124, -74.9368338 -14.8309874, -74.9368257 -14.8310444, -74.9368234 -14.8311018)",,
24012555,Jirón Bolognesi,residential,True,False,94.592,,"LINESTRING (-74.938281 -14.8280089, -74.937415 -14.8278578)",,
508229286,Miguel Grau,residential,True,False,93.772,,"LINESTRING (-74.938281 -14.8280089, -74.9384307 -14.8271781)",,
73849961,Jirón Simón Bolívar,residential,False,False,79.852,,"LINESTRING (-74.9416376 -14.8286243, -74.9414962 -14.8293293)",,
512065069,Jirón Lima,tertiary,True,False,15.394,,"LINESTRING (-74.9416376 -14.8286243, -74.9414944 -14.8286261)",40,
73849960,Jirón Arica,residential,False,False,125.025,,"LINESTRING (-74.9375634 -14.8270203, -74.9377822 -14.825916)",,
406627358,Jirón Callao,tertiary,True,False,94.865,,"LINESTRING (-74.9375634 -14.8270203, -74.9384307 -14.8271781)",,
508229288,Jirón Arica,residential,True,False,94.482,,"LINESTRING (-74.9375634 -14.8270203, -74.9375511 -14.8270898, -74.937415 -14.8278578)",,
508229288,Jirón Arica,residential,True,False,12.702,,"LINESTRING (-74.937415 -14.8278578, -74.937397 -14.8279707)",,
"[164938437, 190302863]",,tertiary,False,False,101.241,yes,"LINESTRING (-74.9368234 -14.8311018, -74.9368124 -14.8312449, -74.936692 -14.832003)",,
"[190302824, 288570176, 190302853]",Jirón Arica,tertiary,False,True,279.361,yes,"LINESTRING (-74.9368234 -14.8311018, -74.9368257 -14.8310444, -74.9368338 -14.8309874, -74.9368445 -14.8309124, -74.9370349 -14.8298833, -74.9370377 -14.8298692, -74.9372824 -14.8286297)",,
288570175,Avenida San Carlos,tertiary,True,False,130.43,,"LINESTRING (-74.9368234 -14.8311018, -74.9368621 -14.8312122, -74.9369044 -14.8312776, -74.9369775 -14.8313738, -74.9370454 -14.8314276, -74.9370659 -14.8314439, -74.9377419 -14.8318107)",,
103779204,Calle José María Mejia,residential,False,False,57.742,,"LINESTRING (-74.9371126 -14.8245484, -74.9365846 -14.8244529)",,
103779204,Calle José María Mejia,residential,False,True,8.8,,"LINESTRING (-74.9371126 -14.8245484, -74.9371926 -14.8245652)",,
421203294,Avenida María Reiche,residential,True,False,61.137,,"LINESTRING (-74.9371126 -14.8245484, -74.9372163 -14.8240078)",,
420981208,Jirón Tacna,residential,False,False,141.745,,"LINESTRING (-74.9364202 -14.8284303, -74.9361264 -14.829673)",,
508229289,Jirón Tacna,residential,True,False,66.153,,"LINESTRING (-74.9364202 -14.8284303, -74.9365397 -14.8278467)",,
1125477804,Jirón Lima,tertiary,True,False,129.509,,"LINESTRING (-74.9364202 -14.8284303, -74.9352355 -14.8282183)",,
73849960,Jirón Arica,residential,False,False,62.112,,"LINESTRING (-74.9380213 -14.8247398, -74.9381338 -14.8241919)",,
73849960,Jirón Arica,residential,False,True,133.289,,"LINESTRING (-74.9380213 -14.8247398, -74.9377822 -14.825916)",,
103779204,Calle José María Mejia,residential,False,False,91.171,,"LINESTRING (-74.9380213 -14.8247398, -74.9371926 -14.8245652)",,
103779204,Calle José María Mejia,residential,False,True,89.987,,"LINESTRING (-74.9380213 -14.8247398, -74.9388429 -14.824895)",,
