osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,bridge
102896415,True,Jirón Augusto Bernardino Leguía,tertiary,False,85.417,,"LINESTRING (-76.3637725 -6.485692, -76.3643327 -6.4851626)",,
892907469,True,Jirón Andrés Avelino Cáceres,residential,False,118.412,,"LINESTRING (-76.3637725 -6.485692, -76.3632137 -6.4847833)",,
102894782,True,Jirón San Pablo de la Cruz,tertiary,False,99.379,30,"LINESTRING (-76.3592549 -6.487795, -76.3585975 -6.487185)",,
573310506,True,Jirón Plaza de Armas,residential,False,92.847,30,"LINESTRING (-76.3592549 -6.487795, -76.3598116 -6.4871695)",,
760598110,False,Jirón San Pablo de la Cruz,residential,False,45.165,30,"LINESTRING (-76.356233 -6.4851041, -76.3559267 -6.4848351)",,
102893832,True,Jirón Juanjui,residential,False,88.13,,"LINESTRING (-76.356233 -6.4851041, -76.3565549 -6.4848745, -76.3567346 -6.4847652, -76.3568844 -6.4846479)",,
102894579,True,,tertiary,False,104.72,,"LINESTRING (-76.3594061 -6.4913071, -76.3600605 -6.4919884)",,
313866379,True,Lima,tertiary,False,84.662,,"LINESTRING (-76.3594061 -6.4913071, -76.3599539 -6.4907747)",,
102894427,True,Jirón Gregorio Delgado,residential,False,101.22,,"LINESTRING (-76.3612088 -6.488309, -76.3618576 -6.4876663)",,
408034776,True,Martinez de Compagnion,residential,False,96.331,,"LINESTRING (-76.3612088 -6.488309, -76.3618906 -6.488849)",,
102894933,False,Jirón Rene Bartra,residential,True,50.339,,"LINESTRING (-76.3558275 -6.4883198, -76.3556835 -6.4878903)",,
102894933,False,Jirón Rene Bartra,residential,False,169.853,,"LINESTRING (-76.3558275 -6.4883198, -76.3561784 -6.4888358, -76.3564725 -6.4893152, -76.3566927 -6.4895798)",,
569715328,False,Jirón Lamas,residential,True,76.497,30,"LINESTRING (-76.3558275 -6.4883198, -76.3562393 -6.4882394, -76.3565069 -6.4881872)",,
102896696,True,Alberto Leveau,residential,False,107.439,,"LINESTRING (-76.3638246 -6.4880413, -76.3631246 -6.488712)",,
102894169,True,Jirón Moyobamba,residential,False,105.928,30,"LINESTRING (-76.3579581 -6.489056, -76.3586539 -6.4884006)",,
573310504,False,Jirón Cahuide,tertiary,False,83.858,30,"LINESTRING (-76.3579581 -6.489056, -76.3573932 -6.4885523)",,
573310504,False,Jirón Cahuide,tertiary,True,100.015,30,"LINESTRING (-76.3579581 -6.489056, -76.3586619 -6.4896217)",,
367169403,False,Jirón Los Alhelies,tertiary,False,74.65100000000001,30,"LINESTRING (-76.3553636 -6.4862606, -76.3556062 -6.4862867, -76.355693 -6.4862927, -76.3560371 -6.4863121)",,
569715329,True,Jirón Los Cedros,residential,False,94.216,,"LINESTRING (-76.3553636 -6.4862606, -76.3555285 -6.4866147, -76.3556025 -6.4868191, -76.3556431 -6.4869344, -76.3557085 -6.4870326)",,
102894088,True,Jirón Perú,residential,False,99.013,30,"LINESTRING (-76.3587058 -6.4840477, -76.3580504 -6.484655)",,
588784309,True,Jirón Manuela de Morey,tertiary,False,92.206,30,"LINESTRING (-76.3587058 -6.4840477, -76.3593047 -6.4846252)",,
102896696,True,Alberto Leveau,residential,False,120.074,,"LINESTRING (-76.3625015 -6.4893667, -76.3617648 -6.4901606)",,
408034776,True,Martinez de Compagnion,residential,False,106.168,,"LINESTRING (-76.3625015 -6.4893667, -76.3632346 -6.489984)",,
102894455,False,Jirón Progreso,residential,False,92.428,,"LINESTRING (-76.3630223 -6.4913626, -76.362443 -6.4919623)",,
102894455,False,Jirón Progreso,residential,True,127.635,,"LINESTRING (-76.3630223 -6.4913626, -76.3638093 -6.4905223)",,
591094580,True,Ricardo Jimenez Pimentel,tertiary,False,91.228,30,"LINESTRING (-76.3630223 -6.4913626, -76.3624447 -6.4907763)",,
313866379,True,Lima,tertiary,False,107.459,,"LINESTRING (-76.3625189 -6.4882086, -76.3632253 -6.4875443)",,
