osmid,highway,oneway,reversed,length,geometry,name,width,bridge
244323026,tertiary,False,False,154.905,"LINESTRING (39.2101991 -6.1672061, 39.2104243 -6.1667903, 39.210802 -6.1659495)",,,
244323026,tertiary,False,True,224.37900000000002,"LINESTRING (39.2101991 -6.1672061, 39.2096982 -6.1682673, 39.2094242 -6.1688637, 39.2093927 -6.1689397, 39.209332 -6.169029)",,,
652581409,primary,False,False,53.978,"LINESTRING (39.2101991 -6.1672061, 39.2100768 -6.1670051, 39.2099871 -6.166771)",Karume Road,,
652581409,primary,False,True,66.97800000000001,"LINESTRING (39.2101991 -6.1672061, 39.2105383 -6.1676051, 39.2105923 -6.1676643)",Karume Road,,
38361751,tertiary,False,True,110.737,"LINESTRING (39.2073574 -6.1642531, 39.2074304 -6.1640923, 39.2074496 -6.1640501, 39.20756 -6.1637688, 39.2077108 -6.1633221)",,,
652581409,primary,False,False,37.931,"LINESTRING (39.2073574 -6.1642531, 39.2071508 -6.1644055, 39.2070792 -6.1644526)",Karume Road,,
652581409,primary,False,True,46.608000000000004,"LINESTRING (39.2073574 -6.1642531, 39.2076637 -6.1640756, 39.2077255 -6.1640497)",Karume Road,,
386637623,residential,False,True,164.31299999999996,"LINESTRING (39.2066672 -6.1646843, 39.206591 -6.1644703, 39.2065714 -6.1643679, 39.2065451 -6.1642636, 39.2061918 -6.1635847, 39.206171 -6.1635103, 39.2061606 -6.1635019, 39.2059893 -6.1634323)",,,
652581409,primary,False,False,82.66900000000001,"LINESTRING (39.2066672 -6.1646843, 39.2065331 -6.1647596, 39.2064885 -6.164777, 39.2063209 -6.1648449, 39.2059758 -6.1649627)",Karume Road,,
652581409,primary,False,True,50.114999999999995,"LINESTRING (39.2066672 -6.1646843, 39.2069409 -6.1645416, 39.2070621 -6.1644638)",Karume Road,,
1034110864,secondary,False,False,6.947,"LINESTRING (39.204027 -6.1620863, 39.2040898 -6.1620886)",,,
733173184,residential,False,False,26.846,"LINESTRING (39.2099871 -6.166771, 39.2098538 -6.1669728)",,,
