osmid,highway,oneway,reversed,length,geometry,ref,name,junction
94687672,residential,False,True,27.762,"LINESTRING (42.9554638 16.7099595, 42.955368 16.7101917)",,,
94687672,residential,False,False,71.631,"LINESTRING (42.9554638 16.7099595, 42.9556017 16.7098031, 42.9556314 16.7097949, 42.956021 16.7096253)",,,
94687683,residential,False,True,48.089,"LINESTRING (42.9554638 16.7099595, 42.9551753 16.7098396, 42.9550386 16.7098302)",,,
94687686,residential,False,False,93.41499999999999,"LINESTRING (42.9516099 16.7111172, 42.9509431 16.7114178, 42.9508211 16.7114839)",,,
94687686,residential,False,True,161.89999999999998,"LINESTRING (42.9516099 16.7111172, 42.9523512 16.7107829, 42.952977 16.7104807)",,,
94687706,residential,False,True,114.053,"LINESTRING (42.9516099 16.7111172, 42.9515116 16.7108494, 42.9514922 16.7101078)",,,
94687674,residential,False,False,139.818,"LINESTRING (42.9522228 16.7120108, 42.9535089 16.7122634)",,,
540099333,residential,False,False,97.99,"LINESTRING (42.9522228 16.7120108, 42.9519758 16.7128597)",,,
540099333,residential,False,True,28.881,"LINESTRING (42.9522228 16.7120108, 42.9522956 16.7117606)",,,
94687672,residential,False,False,19.414,"LINESTRING (42.956021 16.7096253, 42.9561648 16.709518)",,,
94687678,residential,False,True,11.617,"LINESTRING (42.956021 16.7096253, 42.9560069 16.7097289)",,,
540099345,residential,False,True,33.338,"LINESTRING (42.956021 16.7096253, 42.9561062 16.7093368)",,,
94687672,residential,False,True,71.631,"LINESTRING (42.956021 16.7096253, 42.9556314 16.7097949, 42.9556017 16.7098031, 42.9554638 16.7099595)",,,
94687672,residential,False,False,25.8,"LINESTRING (42.955279 16.7104075, 42.955368 16.7101917)",,,
94687693,residential,False,True,31.902,"LINESTRING (42.955279 16.7104075, 42.9549839 16.7103582)",,,
94687672,residential,False,True,113.267,"LINESTRING (42.955279 16.7104075, 42.9552156 16.7105589, 42.9550794 16.7114044)",,,
540099333,residential,False,False,5.795,"LINESTRING (42.9523102 16.7117104, 42.9522956 16.7117606)",,,
94687692,residential,False,False,92.275,"LINESTRING (42.9499418 16.7107544, 42.9500614 16.7099325)",,,
94687692,residential,False,True,61.906,"LINESTRING (42.9499418 16.7107544, 42.9498615 16.7113058)",,,
94687696,residential,False,False,199.562,"LINESTRING (42.9499418 16.7107544, 42.9495854 16.7107981, 42.9494104 16.7108794, 42.9493368 16.7110033, 42.9493017 16.7110623, 42.949116 16.7118344, 42.949116 16.7120959)",,,
94687691,residential,False,False,43.145,"LINESTRING (42.9536871 16.7096384, 42.953573 16.7100107)",,,
94687691,residential,False,True,40.547,"LINESTRING (42.9536871 16.7096384, 42.9537884 16.7092869)",,,
94687687,residential,False,False,98.485,"LINESTRING (42.9536871 16.7096384, 42.9541061 16.7097746, 42.9545877 16.709799)",,,
94687692,residential,False,False,63.613,"LINESTRING (42.949779 16.7118724, 42.9498615 16.7113058)",,,
94687698,residential,False,False,24.217,"LINESTRING (42.949779 16.7118724, 42.9500063 16.7118663)",,,
94687698,residential,False,True,74.854,"LINESTRING (42.949779 16.7118724, 42.949116 16.7120959)",,,
94687701,residential,False,False,107.42,"LINESTRING (42.9555855 16.7116561, 42.9565924 16.7115992)",,,
693101193,secondary,False,False,9.35,"LINESTRING (42.9555855 16.7116561, 42.955517 16.7116035)",,,
693101193,secondary,False,True,147.817,"LINESTRING (42.9555855 16.7116561, 42.9559941 16.7119696, 42.956759 16.7123553)",,,
94687677,residential,False,True,80.921,"LINESTRING (42.955517 16.7116035, 42.9556865 16.7108941)",,,
693101193,secondary,False,False,5.613,"LINESTRING (42.955517 16.7116035, 42.9554759 16.7115719)",,,
693101193,secondary,False,True,9.35,"LINESTRING (42.955517 16.7116035, 42.9555855 16.7116561)",,,
94687691,residential,False,False,134.378,"LINESTRING (42.9542096 16.7063931, 42.9540577 16.7075928)",,,
94687691,residential,False,True,4.883,"LINESTRING (42.9542096 16.7063931, 42.9542194 16.7063502)",,,
540099346,residential,False,True,40.244,"LINESTRING (42.9542096 16.7063931, 42.953834 16.7063535)",,,
94687691,residential,False,True,29.872,"LINESTRING (42.9537021 16.7102492, 42.953573 16.7100107)",,,
94687691,residential,False,False,95.606,"LINESTRING (42.9537021 16.7102492, 42.953747 16.7103321, 42.9537346 16.710721, 42.9536992 16.7110968)",,,
94687693,residential,False,False,83.494,"LINESTRING (42.9537021 16.7102492, 42.9540085 16.7102038, 42.9544761 16.7102778)",,,
94687678,residential,False,False,51.708,"LINESTRING (42.9559448 16.7101901, 42.9560069 16.7097289)",,,
1069863378,residential,False,False,43.193,"LINESTRING (42.9559448 16.7101901, 42.9560052 16.710195, 42.956138 16.7102277, 42.956209 16.7102508, 42.956264 16.710263, 42.9563403 16.7102664)",,,
1069863378,residential,False,True,61.515,"LINESTRING (42.9559448 16.7101901, 42.9558758 16.7101873, 42.9555794 16.7102027, 42.955368 16.7101917)",,,
94687691,residential,False,False,40.547,"LINESTRING (42.9537884 16.7092869, 42.9536871 16.7096384)",,,
94687691,residential,False,True,14.493,"LINESTRING (42.9537884 16.7092869, 42.9538587 16.7091753)",,,
133088782,residential,False,False,81.188,"LINESTRING (42.9537884 16.7092869, 42.9530926 16.7089886)",,,
94687671,residential,False,False,40.284,"LINESTRING (42.9507919 16.7118451, 42.9508211 16.7114839)",,,
94687698,residential,False,False,2.891,"LINESTRING (42.9507919 16.7118451, 42.950819 16.7118436)",,,
94687698,residential,False,True,83.698,"LINESTRING (42.9507919 16.7118451, 42.9500063 16.7118663)",,,
693101193,secondary,False,True,66.361,"LINESTRING (42.9544855 16.7112238, 42.9550794 16.7114044)",,,
94687674,residential,False,True,134.547,"LINESTRING (42.9544855 16.7112238, 42.9543021 16.7114443, 42.9540483 16.71234)",,,
