osmid,oneway,highway,reversed,length,geometry,bridge
96772049,False,residential,True,201.38899999999998,"LINESTRING (40.2875755 21.3654689, 40.2870798 21.3655494, 40.286538 21.3653496, 40.2863878 21.3653296, 40.2862536 21.3653595, 40.2860766 21.3654994, 40.285778 21.3656449)",
96772038,False,residential,True,48.415,"LINESTRING (40.2844704 21.3731064, 40.2845799 21.3726831)",
96772041,False,residential,False,67.159,"LINESTRING (40.2880516 21.3651268, 40.2876806 21.3652546, 40.2875755 21.3654689)",
96772053,False,residential,False,144.374,"LINESTRING (40.2880516 21.3651268, 40.2880078 21.3654445, 40.2879703 21.3655444, 40.2875787 21.366014, 40.2874494 21.3662642)",
96772038,False,residential,True,46.289,"LINESTRING (40.2855885 21.3697158, 40.285674 21.3693072)",
96772038,False,residential,False,156.52100000000002,"LINESTRING (40.2855885 21.3697158, 40.2855241 21.3701754, 40.2853417 21.3706599, 40.2853562 21.3710904)",
96772041,False,residential,True,241.191,"LINESTRING (40.2855885 21.3697158, 40.2860927 21.3692911, 40.2864253 21.3691213, 40.2866774 21.3689265, 40.2869671 21.3683819, 40.2869161 21.3681162)",
96772041,False,residential,False,225.627,"LINESTRING (40.2874494 21.3662642, 40.2874445 21.3664286, 40.2873802 21.3667034, 40.2873212 21.3668233, 40.2871602 21.3669382, 40.2870905 21.3673129, 40.2870798 21.3674527, 40.287128 21.3675676, 40.2869081 21.3678524, 40.2868866 21.3679623, 40.2869161 21.3681162)",
96772041,False,residential,True,89.59299999999999,"LINESTRING (40.2874494 21.3662642, 40.2874553 21.3660689, 40.2875755 21.3654689)",
96772053,False,residential,True,144.374,"LINESTRING (40.2874494 21.3662642, 40.2875787 21.366014, 40.2879703 21.3655444, 40.2880078 21.3654445, 40.2880516 21.3651268)",
96772038,False,residential,False,101.231,"LINESTRING (40.2861142 21.3676576, 40.2859425 21.3678424, 40.2858406 21.3681172, 40.2858316 21.3684924)",
96772038,False,residential,True,98.79599999999999,"LINESTRING (40.2861142 21.3676576, 40.2862107 21.3672929, 40.2862429 21.3669282, 40.2861946 21.3667883)",
758647989,False,residential,False,109.05600000000001,"LINESTRING (40.2861142 21.3676576, 40.2863211 21.3676174, 40.2865729 21.3677254, 40.2867229 21.3679679, 40.2868248 21.3680944, 40.2869161 21.3681162)",
758647989,False,residential,True,142.941,"LINESTRING (40.2861142 21.3676576, 40.2858769 21.3677096, 40.2852996 21.3676596, 40.2847516 21.3675677)",
96746773,False,residential,False,168.982,"LINESTRING (40.2838479 21.3710032, 40.2840112 21.371139, 40.2842387 21.3710738, 40.2845653 21.3709326, 40.2849911 21.3709706, 40.2853562 21.3710904)",
96746773,False,residential,True,236.49599999999998,"LINESTRING (40.2838479 21.3710032, 40.283877 21.370786, 40.2840287 21.370422, 40.2841347 21.3700156, 40.2841195 21.3691665, 40.2841467 21.3689177)",
758647990,False,residential,False,204.312,"LINESTRING (40.2838479 21.3710032, 40.2834553 21.371263, 40.2833074 21.3714791, 40.2842767 21.3721633)",
96746773,False,residential,True,168.982,"LINESTRING (40.2853562 21.3710904, 40.2849911 21.3709706, 40.2845653 21.3709326, 40.2842387 21.3710738, 40.2840112 21.371139, 40.2838479 21.3710032)",
