osmid,oneway,lanes,highway,reversed,length,name,maxspeed,geometry
132976492,True,2,unclassified,False,52.585,,,"LINESTRING (49.6494547 27.0035406, 49.6495192 27.0030712)"
266653533,True,2,secondary,False,12.626,Madeena Street,,"LINESTRING (49.6494547 27.0035406, 49.6495809 27.0035564)"
132976494,True,2,unclassified,False,17.27,,,"LINESTRING (49.6495809 27.0035564, 49.6495631 27.0037109)"
266653533,True,2,secondary,False,53.844,Madeena Street,,"LINESTRING (49.6495809 27.0035564, 49.6501216 27.0036053)"
132976492,True,2,unclassified,False,17.261,,,"LINESTRING (49.6494356 27.0036949, 49.6494547 27.0035406)"
132976495,True,2,secondary,False,50.956,Madeena Street,,"LINESTRING (49.6494356 27.0036949, 49.6489268 27.0036279)"
132976494,True,2,unclassified,False,48.278,,,"LINESTRING (49.6495631 27.0037109, 49.6494941 27.0041407)"
132976495,True,2,secondary,False,12.756,Madeena Street,,"LINESTRING (49.6495631 27.0037109, 49.6494356 27.0036949)"
164928138,False,,unclassified,False,51.619,,,"LINESTRING (49.6559615 27.0014797, 49.6564793 27.0015312)"
164928138,False,,unclassified,True,11.732,,,"LINESTRING (49.6559615 27.0014797, 49.6558443 27.0014646)"
316009896,True,,secondary,False,54.906,,,"LINESTRING (49.6559615 27.0014797, 49.6558904 27.0019694)"
164927909,True,,secondary,False,39.896,,80,"LINESTRING (49.656289 26.9987532, 49.6562407 26.9991094)"
164928025,False,,unclassified,False,50.681,,,"LINESTRING (49.656289 26.9987532, 49.6567953 26.9988182)"
164928025,False,,unclassified,True,12.572,,,"LINESTRING (49.656289 26.9987532, 49.6561625 26.9987443)"
132976495,True,2,secondary,False,10.249,Madeena Street,,"LINESTRING (49.6555464 27.0043556, 49.6554433 27.004348)"
316009896,True,,secondary,False,37.874,,,"LINESTRING (49.6555464 27.0043556, 49.6555029 27.004694)"
164928025,False,,unclassified,False,124.687,,,"LINESTRING (49.6489504 26.997964, 49.6502035 26.9980676)"
164928025,False,,unclassified,True,70.488,,,"LINESTRING (49.6489504 26.997964, 49.6482451 26.9978809)"
165257890,False,,residential,True,134.97,,,"LINESTRING (49.6489504 26.997964, 49.6491351 26.9967614)"
170212945,False,,residential,True,207.03699999999998,,,"LINESTRING (49.6489504 26.997964, 49.6486757 26.9997628, 49.6486693 26.999809)"
164928025,False,,unclassified,False,148.144,,,"LINESTRING (49.6546786 26.9985805, 49.6561625 26.9987443)"
164928025,False,,unclassified,True,68.754,,,"LINESTRING (49.6546786 26.9985805, 49.6539906 26.9984997)"
