osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,tunnel
348915689,107,Šentjur,primary,50,False,True,9.835,"LINESTRING (15.3992717 46.2133646, 15.3993995 46.213366)",,,
796469002,,,residential,,True,False,17.269,"LINESTRING (15.3992717 46.2133646, 15.3992709 46.2132093)",,,
348915689,107,Šentjur,primary,50,False,False,64.735,"LINESTRING (15.3992717 46.2133646, 15.3991382 46.2133593, 15.3990954 46.2133592, 15.3984308 46.2133478)",,,
9822017,234,Ulica Dušana Kvedra,secondary,50,False,True,8.065,"LINESTRING (15.3962947 46.2193896, 15.3962833 46.2194617)",,,
26307067,,Na Tičnico,residential,,False,True,44.867,"LINESTRING (15.3962947 46.2193896, 15.3967992 46.2191872)",,,
9822017,234,Ulica Dušana Kvedra,secondary,50,False,False,72.69399999999999,"LINESTRING (15.3962947 46.2193896, 15.3962823 46.2189407, 15.3962482 46.2187373)",,,
9822017,234,Ulica Dušana Kvedra,secondary,50,False,True,23.559,"LINESTRING (15.3954482 46.2171285, 15.395627 46.2173005)",,,
9219479,,Trubarjeva ulica,residential,,True,False,128.57999999999998,"LINESTRING (15.3954482 46.2171285, 15.3956022 46.2168581, 15.3957674 46.2165931, 15.3959283 46.2163114, 15.3960758 46.2160822, 15.3960996 46.2160657)",,,
9822017,234,Ulica Dušana Kvedra,secondary,50,False,False,134.83100000000002,"LINESTRING (15.3954482 46.2171285, 15.3950972 46.2167093, 15.3949388 46.2164449, 15.3948148 46.2162434, 15.394715 46.2160315)",,,
9822017,234,Ulica Dušana Kvedra,secondary,50,False,True,29.111,"LINESTRING (15.3945977 46.2157826, 15.394715 46.2160315)",,,
316963737,,Ljubljanska cesta,residential,,False,True,56.902,"LINESTRING (15.3945977 46.2157826, 15.3943134 46.2158475, 15.3940215 46.2158665, 15.3938746 46.2158629)",,,
796469003,234,Cesta Kozjanskega odreda,secondary,50,False,True,277.302,"LINESTRING (15.3945977 46.2157826, 15.3949786 46.2156991, 15.3955746 46.2156467, 15.3960104 46.2156172, 15.3963739 46.2155798, 15.3966657 46.2155413, 15.397481 46.2153705, 15.3980829 46.2152017)",,,
834217436,,Cesta Leona Dobrotinška,tertiary,,False,True,141.618,"LINESTRING (15.3945977 46.2157826, 15.3943222 46.2151679, 15.3940409 46.2145687)",,,
28852585,,Mestni trg,residential,,False,True,50.203,"LINESTRING (15.3938746 46.2158629, 15.3938201 46.2160783, 15.3937564 46.2163069)",,,
"[1135527796, 231767317, 231767318]",,Ljubljanska cesta,residential,,False,True,66.332,"LINESTRING (15.3938746 46.2158629, 15.3937606 46.2158569, 15.3937035 46.2158504, 15.393406 46.2158253, 15.3930209 46.2157817)",yes,,
316963737,,Ljubljanska cesta,residential,,False,False,56.902,"LINESTRING (15.3938746 46.2158629, 15.3940215 46.2158665, 15.3943134 46.2158475, 15.3945977 46.2157826)",,,
28852733,,,living_street,,False,True,99.674,"LINESTRING (15.3905806 46.2155003, 15.3906135 46.2152589, 15.3907327 46.2150266, 15.3906695 46.2149069, 15.3906523 46.2147913, 15.3906365 46.2146947, 15.3906337 46.2146282)",,,
230944205,,Ljubljanska cesta,residential,,False,False,110.16399999999999,"LINESTRING (15.3905806 46.2155003, 15.390922 46.2155453, 15.3910581 46.2155615, 15.3912641 46.215572, 15.3916421 46.2155847, 15.3919989 46.2156234)",,,
796469003,234,Cesta Kozjanskega odreda,secondary,50,False,False,277.302,"LINESTRING (15.3980829 46.2152017, 15.397481 46.2153705, 15.3966657 46.2155413, 15.3963739 46.2155798, 15.3960104 46.2156172, 15.3955746 46.2156467, 15.3949786 46.2156991, 15.3945977 46.2157826)",,,
