osmid,oneway,name,highway,maxspeed,reversed,length,geometry,width,lanes,access,bridge,junction
47474727,True,Cankarjeva cesta,residential,30,False,83.07900000000001,"LINESTRING (14.5012581 46.0529019, 14.5013694 46.0528782, 14.5017681 46.0527934, 14.5017818 46.0527905, 14.5022132 46.0526987, 14.5022431 46.0526923, 14.5022874 46.0526829)",,,,,
"[47474728, 1118759822, 1118759823]",True,Župančičeva ulica,residential,30,False,77.53,"LINESTRING (14.5012581 46.0529019, 14.5012282 46.0528372, 14.5011734 46.0527269, 14.5010061 46.0523496, 14.5009876 46.0523089, 14.5009757 46.0522831, 14.5009549 46.0522372)",4,,,,
1115590335,False,Župančičeva ulica,residential,30,True,101.079,"LINESTRING (14.5012581 46.0529019, 14.5012804 46.0529537, 14.5012906 46.0529773, 14.501604 46.0537066, 14.5016325 46.053773)",,,,,
"[974840224, 1055194745, 887358259]",False,Zoisova cesta,primary,50,True,209.02499999999998,"LINESTRING (14.502542 46.0460777, 14.5027345 46.0460459, 14.5027755 46.0460409, 14.5032396 46.0459898, 14.5036198 46.0459453, 14.5046169 46.0458376, 14.5047607 46.0458302, 14.5049069 46.0458298, 14.505056 46.0458409, 14.505136 46.0458452, 14.5052193 46.0458505)",,3,,,
"[974840225, 974840226, 746627561, 1055194729]",False,Zoisova cesta,primary,50,False,124.437,"LINESTRING (14.502542 46.0460777, 14.5024344 46.0460904, 14.5021991 46.0461214, 14.501826 46.0461737, 14.5014142 46.0462261, 14.5012086 46.0462566, 14.5011381 46.0462674, 14.5009603 46.0462942)",,"['3', '5']",,,
"[975052746, 4854290]",False,Hieronimova ulica,residential,30,True,113.127,"LINESTRING (14.502542 46.0460777, 14.5024986 46.0461845, 14.5025006 46.046226, 14.5025063 46.0463185, 14.5025477 46.0468362, 14.5025928 46.0469655, 14.5026243 46.0470228, 14.5026616 46.0470763)",,,,,
"[1055194728, 1097792485]",False,Emonska cesta,residential,30,True,43.01500000000001,"LINESTRING (14.502542 46.0460777, 14.5025957 46.0459658, 14.5025959 46.0459074, 14.5025992 46.0457936, 14.5026044 46.045697)",4,1,,,
5032985,False,Štefanova ulica,residential,30,False,89.166,"LINESTRING (14.5026762 46.0535648, 14.5027511 46.053549, 14.5028118 46.0535362, 14.5032617 46.0534412, 14.5033239 46.0534281, 14.5037817 46.0533315)",12.8,,,,
"[5032985, 1171323802]",False,Štefanova ulica,residential,30,True,83.914,"LINESTRING (14.5026762 46.0535648, 14.502493 46.0536035, 14.5021211 46.053682, 14.5020709 46.0536926, 14.5017215 46.0537664, 14.5016325 46.053773)",12.8,,,,
"[1118761355, 1118761356]",True,Beethovnova ulica,residential,30,False,102.55199999999999,"LINESTRING (14.5022874 46.0526829, 14.502313 46.0527449, 14.5024195 46.0529837, 14.5024616 46.053078, 14.5026459 46.053496, 14.5026762 46.0535648)",,,,,
"[880413312, 310578755, 150342293, 1215807513, 939499547]",False,"['Šubičeva ulica', 'Slovenska cesta']",tertiary,50,"[False, True]",309.921,"LINESTRING (14.5015864 46.0510917, 14.5018142 46.0510364, 14.5018776 46.051022, 14.5019102 46.0510143, 14.5021373 46.0509584, 14.5025984 46.0508471, 14.5027117 46.0508198, 14.5028564 46.0507865, 14.5028474 46.0507011, 14.502829 46.0505997, 14.5027149 46.0503081, 14.5026269 46.0500887, 14.5025821 46.0499965, 14.5025432 46.0499172, 14.5023494 46.0495844, 14.5022945 46.0494944, 14.5020844 46.0491483, 14.5020501 46.0490941, 14.5020131 46.0490353)",,"['2', '3']",,,
"[1120556305, 4342870]",False,Beethovnova ulica,residential,30,False,107.034,"LINESTRING (14.5015864 46.0510917, 14.5016219 46.0511735, 14.5018082 46.0515969, 14.5019722 46.0519707, 14.5019906 46.0520125)",,,,,
