osmid,highway,oneway,reversed,length,geometry,name,ref,maxspeed,bridge,width,lanes,junction
126049030,residential,False,False,161.598,"LINESTRING (14.3606979 45.7972093, 14.3607982 45.7970899, 14.3609144 45.796959, 14.3609241 45.796871, 14.3609108 45.7967789, 14.3608924 45.7966966, 14.360848 45.796591, 14.3607976 45.7964897, 14.3607803 45.7963996, 14.3607865 45.7963361, 14.3608136 45.7962932, 14.3608542 45.796252, 14.3609244 45.7962263, 14.3611607 45.7961559, 14.361365 45.7960915, 14.3614096 45.7960707)",,,,,,,
"[126049030, 305186095]",residential,False,"[False, True]",67.753,"LINESTRING (14.3606979 45.7972093, 14.3606267 45.7972834, 14.3605987 45.7973182, 14.3605914 45.7974313, 14.3606446 45.7975592, 14.3608179 45.7977594)",Kamna gorica,,,,,,
126049034,tertiary,False,False,157.631,"LINESTRING (14.3606979 45.7972093, 14.3605902 45.7972542, 14.3605084 45.7972935, 14.360364 45.7973717, 14.360228 45.797459, 14.3600457 45.7975729, 14.3599118 45.797632, 14.3597708 45.7976778, 14.3596159 45.7977092, 14.3594422 45.7977301, 14.3588986 45.7977503)",Notranjska cesta,643,50,,,,
126049034,tertiary,False,True,65.453,"LINESTRING (14.3606979 45.7972093, 14.3608437 45.7971738, 14.3610569 45.797141, 14.3615184 45.7970736)",Notranjska cesta,643,50,,,,
160506017,residential,False,True,121.471,"LINESTRING (14.3606979 45.7972093, 14.3597834 45.7970279, 14.3592504 45.7968125)",,,,,,,
299847707,secondary,False,False,9.053,"LINESTRING (14.3567177 45.7958221, 14.356819 45.7957816)",Cesta 4. maja,212,50,,,,
299847707,secondary,False,True,73.391,"LINESTRING (14.3567177 45.7958221, 14.3565699 45.7958623, 14.3564619 45.7958917, 14.3562671 45.7959375, 14.3560362 45.7959834, 14.3558884 45.7959969, 14.3558114 45.7960019)",Cesta 4. maja,212,50,,,,
394547895,residential,False,True,154.78,"LINESTRING (14.3567177 45.7958221, 14.3563279 45.7954777, 14.3562447 45.7954047, 14.3562078 45.7953402, 14.3562047 45.7952908, 14.3562355 45.795235, 14.3562964 45.7951867, 14.3567495 45.7949473, 14.3569996 45.7948121)",Turšičeva ulica,,,,,,
160505978,residential,False,True,21.686,"LINESTRING (14.3637681 45.7933859, 14.3637558 45.7934415, 14.3637766 45.7934846, 14.3638442 45.7935651)",Gerbičeva ulica,,30,,,,
430617764,secondary,False,True,76.798,"LINESTRING (14.3637681 45.7933859, 14.3636526 45.7933958, 14.3635241 45.7933938, 14.3633848 45.7933822, 14.3632645 45.7933649, 14.3632187 45.7933583, 14.363121 45.7933485, 14.3629634 45.793336, 14.3627934 45.7933738)",Cesta 4. maja,212,,,,,
"[462068283, 1227280956, 430617766]",secondary,False,False,59.580999999999996,"LINESTRING (14.3637681 45.7933859, 14.3639053 45.793363, 14.3640413 45.7933228, 14.3643536 45.7932127, 14.3644658 45.7931673)",Cesta 4. maja,212,50,yes,,,
24305361,unclassified,False,False,46.922,"LINESTRING (14.3633964 45.7921783, 14.3633434 45.7921028, 14.3632636 45.7920274, 14.3630392 45.7918399)",,,70,,4,,
24305361,unclassified,False,True,141.83599999999998,"LINESTRING (14.3633964 45.7921783, 14.3634227 45.7922639, 14.3634457 45.7923384, 14.3634795 45.7924414, 14.3636057 45.7925857, 14.3637884 45.7927344, 14.3639569 45.7928587, 14.3643445 45.7930903, 14.3644658 45.7931673)",,,70,,4,,
394053424,residential,False,True,250.91300000000004,"LINESTRING (14.3633964 45.7921783, 14.3634849 45.7921911, 14.3641238 45.7922834, 14.3644734 45.7923287, 14.3646929 45.7923344, 14.3655386 45.7923287, 14.3660575 45.7922986, 14.366124 45.7922947, 14.366372 45.7923145, 14.3665953 45.7923664)",Casermanova ulica,,,,,,
462068302,residential,False,False,303.949,"LINESTRING (14.3633964 45.7921783, 14.3632996 45.7921619, 14.3622652 45.7921049, 14.3618869 45.792074, 14.3617304 45.7920235, 14.361616 45.7919226, 14.3615833 45.7917988, 14.3615576 45.7916312, 14.361546 45.7913332, 14.361518 45.7910597, 14.3614222 45.7906478, 14.3614124 45.7905059)",,,,,,,
24305361,unclassified,False,False,63.04,"LINESTRING (14.3630392 45.7918399, 14.3625027 45.7914139)",,,70,,4,,
24305361,unclassified,False,True,46.922000000000004,"LINESTRING (14.3630392 45.7918399, 14.3632636 45.7920274, 14.3633434 45.7921028, 14.3633964 45.7921783)",,,70,,4,,
462068256,residential,False,True,29.703000000000003,"LINESTRING (14.3630392 45.7918399, 14.3630988 45.7918131, 14.3631464 45.7917917, 14.3632449 45.7917707, 14.3633481 45.7917659, 14.3633971 45.7917636)",Cesta na Jezero,,,,5,,
24305361,unclassified,False,True,131.796,"LINESTRING (14.3614124 45.7905059, 14.3617011 45.7907807, 14.3621172 45.7911048, 14.3625027 45.7914139)",,,70,,4,,
462068302,residential,False,True,303.949,"LINESTRING (14.3614124 45.7905059, 14.3614222 45.7906478, 14.361518 45.7910597, 14.361546 45.7913332, 14.3615576 45.7916312, 14.3615833 45.7917988, 14.361616 45.7919226, 14.3617304 45.7920235, 14.3618869 45.792074, 14.3622652 45.7921049, 14.3632996 45.7921619, 14.3633964 45.7921783)",,,,,,,
1227280956,secondary,False,True,10.0,"LINESTRING (14.3666432 45.7922829, 14.3665953 45.7923664)",Cesta 4. maja,212,50,,,,
216655908,residential,False,False,16.228,"LINESTRING (14.3666432 45.7922829, 14.3667011 45.792298, 14.3668392 45.7923341)",,,,,,,
1227280956,secondary,False,False,121.36699999999999,"LINESTRING (14.3666432 45.7922829, 14.3668487 45.7918739, 14.3669529 45.7916435, 14.3670061 45.7914898, 14.3670364 45.7913447, 14.3670526 45.7912335)",Cesta 4. maja,212,50,,,,
37376436,living_street,True,False,243.282,"LINESTRING (14.3627934 45.7933738, 14.3628055 45.793454, 14.3627603 45.7936999, 14.3624514 45.7949673, 14.3621745 45.7955076)",Partizanska cesta,,30,,,1,
299847707,secondary,False,True,144.677,"LINESTRING (14.3627934 45.7933738, 14.3626756 45.7934054, 14.3621879 45.7935307, 14.362096 45.7935542, 14.3615317 45.7936988, 14.3614874 45.7937103, 14.3611836 45.7937895, 14.361044 45.7938266)",Cesta 4. maja,212,50,,,,
394547894,residential,False,False,12.097999999999999,"LINESTRING (14.3627934 45.7933738, 14.3627849 45.7933022, 14.362775 45.7932659)",Čabranska ulica,,,,,,
430617764,secondary,False,False,76.798,"LINESTRING (14.3627934 45.7933738, 14.3629634 45.793336, 14.363121 45.7933485, 14.3632187 45.7933583, 14.3632645 45.7933649, 14.3633848 45.7933822, 14.3635241 45.7933938, 14.3636526 45.7933958, 14.3637681 45.7933859)",Cesta 4. maja,212,,,,,
476018338,residential,False,False,36.694,"LINESTRING (14.3616632 45.7931796, 14.3613324 45.7929436)",Čabranska ulica,,,,,,
394547894,residential,False,True,90.229,"LINESTRING (14.3616632 45.7931796, 14.3617636 45.7931637, 14.3619208 45.7931637, 14.3622812 45.7931659, 14.3623866 45.7931729, 14.3625303 45.7931824, 14.362656 45.7931908, 14.3627339 45.7932188, 14.362775 45.7932659)",Čabranska ulica,,,,,,
675663679,residential,False,False,76.718,"LINESTRING (14.3616632 45.7931796, 14.3611323 45.7934009, 14.3611108 45.7934098, 14.3608149 45.7935348)",Čabranska ulica,,,,,,
675663680,residential,False,True,72.263,"LINESTRING (14.3607468 45.7924425, 14.3608603 45.7925036, 14.3609737 45.7926071, 14.3610584 45.7926997, 14.3613324 45.7929436)",Čabranska ulica,,,,,,
476018338,residential,False,True,36.694,"LINESTRING (14.3613324 45.7929436, 14.3616632 45.7931796)",Čabranska ulica,,,,,,
476018339,residential,False,False,69.89,"LINESTRING (14.3613324 45.7929436, 14.3607179 45.7932103, 14.3606082 45.7933077)",Čabranska ulica,,,,,,
675663680,residential,False,False,72.263,"LINESTRING (14.3613324 45.7929436, 14.3610584 45.7926997, 14.3609737 45.7926071, 14.3608603 45.7925036, 14.3607468 45.7924425)",Čabranska ulica,,,,,,
327784100,residential,False,False,29.908,"LINESTRING (14.3606082 45.7933077, 14.3606958 45.793404, 14.3608149 45.7935348)",Cesta 4. maja,,,,,,
476018337,residential,False,False,67.664,"LINESTRING (14.3606082 45.7933077, 14.3603402 45.7931222, 14.3599835 45.7928828)",Cesta v Dolenjo vas,,,,,,
476018339,residential,False,True,69.89,"LINESTRING (14.3606082 45.7933077, 14.3607179 45.7932103, 14.3613324 45.7929436)",Čabranska ulica,,,,,,
394547895,residential,False,False,315.846,"LINESTRING (14.3599835 45.7928828, 14.3584943 45.793906, 14.3578785 45.794323, 14.357521 45.7945303, 14.3569996 45.7948121)",Turšičeva ulica,,,,,,
476018337,residential,False,True,67.664,"LINESTRING (14.3599835 45.7928828, 14.3603402 45.7931222, 14.3606082 45.7933077)",Cesta v Dolenjo vas,,,,,,
126049030,residential,False,True,9.938,"LINESTRING (14.3621745 45.7955076, 14.3620646 45.7955536)",,,,,,,
126049030,residential,False,False,25.134,"LINESTRING (14.3621745 45.7955076, 14.3622882 45.7955466, 14.3622982 45.7955564, 14.3623645 45.7956213, 14.362396 45.7956617)",,,,,,,
126049030,residential,False,False,9.938,"LINESTRING (14.3620646 45.7955536, 14.3621745 45.7955076)",,,,,,,
126049030,residential,False,True,77.96799999999999,"LINESTRING (14.3620646 45.7955536, 14.3620154 45.7955768, 14.3618864 45.7956859, 14.3617663 45.7958555, 14.361523 45.7960116, 14.3614096 45.7960707)",,,,,,,
216655574,residential,False,False,129.198,"LINESTRING (14.3620646 45.7955536, 14.361745 45.795223, 14.3614091 45.7944966)",Tabor,,,,,,
126049030,residential,False,False,66.533,"LINESTRING (14.3625517 45.7962715, 14.3625294 45.7963267, 14.3625127 45.7965255, 14.3625239 45.7966152, 14.3625502 45.7966666, 14.3626486 45.7967255, 14.362783 45.7967768)",,,,,,,
126049030,residential,False,True,71.536,"LINESTRING (14.3625517 45.7962715, 14.3625516 45.7962572, 14.3625787 45.7962297, 14.3625996 45.7961911, 14.3625897 45.7961439, 14.3625676 45.796022, 14.3625467 45.7958976, 14.3624482 45.7957285, 14.362396 45.7956617)",,,,,,,
