osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,tunnel,junction,ref
875848602,True,Cesta Goriške fronte,tertiary,30,False,17.611,"LINESTRING (13.6416245 45.9289725, 13.6415483 45.9290192, 13.6414468 45.9290713)",,,,,
1269129489,True,Ulica padlih borcev,residential,,False,54.17399999999999,"LINESTRING (13.6416245 45.9289725, 13.6416615 45.9290146, 13.6417057 45.9290697, 13.6417796 45.9291769, 13.641797 45.9293081, 13.6417993 45.9294322)",,,,,
165025054,True,,tertiary,,False,23.863,"LINESTRING (13.6399669 45.9284234, 13.640103 45.9282308)",1,,,,
27091562,True,Vrtojbenska cesta,tertiary,40,False,21.130000000000003,"LINESTRING (13.6399669 45.9284234, 13.640012 45.9284123, 13.640063 45.9284022, 13.6400902 45.9283968, 13.6401427 45.9283917, 13.6402332 45.9283986)",1,,,,
27091558,True,Trg Ivana Roba,living_street,10,False,28.491000000000003,"LINESTRING (13.6398114 45.9301356, 13.6398649 45.9300296, 13.6398777 45.9299658, 13.6398865 45.9299222, 13.6398935 45.9298871)",,,,,
"[411359993, 1185762274, 1126165171, 27091540]",False,Cesta Prekomorskih brigad,"['living_street', 'tertiary']","['30', '50', '10']",False,113.846,"LINESTRING (13.6398114 45.9301356, 13.6397123 45.9302391, 13.6396386 45.9302902, 13.639622 45.9303018, 13.6396053 45.9303133, 13.6394618 45.9303868, 13.6393615 45.9304338, 13.6392024 45.9305119, 13.6391013 45.9305593, 13.6389837 45.9306145, 13.6389117 45.9306453, 13.6386393 45.9307326)",2,,,,
27091540,False,Cesta Prekomorskih brigad,tertiary,50,True,25.052,"LINESTRING (13.6374857 45.9313823, 13.6376102 45.9312678, 13.6376824 45.9312033)",2,,,,
27851559,False,Žnidarčičeva ulica,secondary,50,False,151.247,"LINESTRING (13.6374857 45.9313823, 13.6374358 45.9313369, 13.6373696 45.9312868, 13.6373419 45.9312691, 13.6368942 45.9309827, 13.6366237 45.9307974, 13.6362438 45.9304743, 13.6361489 45.9303935)",2,,,,
848485211,False,Cesta Prekomorskih brigad,secondary,50,True,52.553,"LINESTRING (13.6374857 45.9313823, 13.6375884 45.9315345, 13.63766 45.9316944, 13.6377272 45.9318232)",2,,,,
1096807144,False,Goriška ulica,tertiary,50,False,49.097,"LINESTRING (13.6374857 45.9313823, 13.6372891 45.9315067, 13.6370162 45.9316795)",,,,,
848485211,False,Cesta Prekomorskih brigad,secondary,50,False,155.327,"LINESTRING (13.6387164 45.9330373, 13.6385022 45.9327557, 13.6384712 45.9327187, 13.6383159 45.9325331, 13.6380981 45.9322886, 13.6379596 45.9321365, 13.637934 45.9320946, 13.637831 45.9319762, 13.6377272 45.9318232)",2,,,,
1098895692,True,Cesta Prekomorskih brigad,secondary,50,False,23.894,"LINESTRING (13.6387164 45.9330373, 13.6388056 45.9331009, 13.638892 45.9331737, 13.6389208 45.9331982)",1,,,,
27851559,False,Žnidarčičeva ulica,secondary,50,True,151.247,"LINESTRING (13.6361489 45.9303935, 13.6362438 45.9304743, 13.6366237 45.9307974, 13.6368942 45.9309827, 13.6373419 45.9312691, 13.6373696 45.9312868, 13.6374358 45.9313369, 13.6374857 45.9313823)",2,,,,
108193336,False,Ulica Nikole Tesle,residential,,False,109.45500000000001,"LINESTRING (13.6361489 45.9303935, 13.6361798 45.9303726, 13.6362536 45.9303228, 13.636682 45.9300335, 13.6371643 45.9297078)",,,,,
