osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,junction,bridge
5215622,Taborska ulica,residential,50,False,False,6.308,,"LINESTRING (15.6478876 46.5544764, 15.6478414 46.5545234)",,,
244708054,Pobreška cesta,tertiary,50,False,False,126.852,2,"LINESTRING (15.6478876 46.5544764, 15.6478267 46.5544758, 15.6477295 46.5544744, 15.6476616 46.554476, 15.6476207 46.5544769, 15.6474808 46.5544899, 15.6470951 46.5545257, 15.6468415 46.5545493, 15.6462389 46.5545913)",,,
"[67147748, 244709212]",Pobreška cesta,tertiary,50,False,True,122.57,2,"LINESTRING (15.6478876 46.5544764, 15.6480691 46.5545217, 15.6481493 46.554553, 15.6482282 46.5546004, 15.6483377 46.5546804, 15.6483493 46.5546889, 15.6484719 46.5547797, 15.6485184 46.5548102, 15.6486059 46.5548555, 15.6486866 46.5548855, 15.6487703 46.5549129, 15.6488698 46.5549373, 15.6489518 46.5549458, 15.6490317 46.5549498, 15.6492608 46.5549498)",,,
6066927,Trg revolucije,tertiary,50,True,False,18.224999999999998,1,"LINESTRING (15.6460076 46.5545931, 15.645954 46.5546759, 15.6459372 46.5547019, 15.6459087 46.5547422)",,,
36786282,Trg revolucije,tertiary,50,True,False,22.292,1,"LINESTRING (15.6460076 46.5545931, 15.6459182 46.554574, 15.645868 46.5545531, 15.6457619 46.5544911)",,,
5736026,Hlebova ulica,residential,30,False,False,116.436,,"LINESTRING (15.6404745 46.5552095, 15.6399158 46.5542354)",,,
"[221308680, 429748552]",Ruška cesta,residential,"['50', '30']",False,False,238.74599999999998,,"LINESTRING (15.6404745 46.5552095, 15.6410915 46.5551712, 15.6417742 46.5551028, 15.6424891 46.5550173, 15.6427202 46.5549929, 15.6433965 46.5548905, 15.6435537 46.5548667)",,,
5224037,Gorkega ulica,residential,30,False,False,161.455,,"LINESTRING (15.6435537 46.5548667, 15.6434984 46.5547906, 15.6433354 46.5545659, 15.6426729 46.5536789, 15.6425909 46.5535745)",,,
"[429748552, 221308680]",Ruška cesta,residential,"['30', '50']",False,True,238.74599999999998,,"LINESTRING (15.6435537 46.5548667, 15.6433965 46.5548905, 15.6427202 46.5549929, 15.6424891 46.5550173, 15.6417742 46.5551028, 15.6410915 46.5551712, 15.6404745 46.5552095)",,,
5652284,,secondary_link,50,True,False,54.711,1,"LINESTRING (15.651053 46.5544501, 15.6508703 46.5545131, 15.6508086 46.5545507, 15.6507676 46.5545917, 15.6507087 46.5546485, 15.6506722 46.5547063, 15.6506189 46.5548124)",,,
245957825,Trg revolucije,tertiary,30,True,False,58.446,2,"LINESTRING (15.6456744 46.5542581, 15.6456117 46.5540914, 15.6455764 46.554007, 15.6455314 46.5539329, 15.6455013 46.5539005, 15.6454511 46.5538627, 15.6453512 46.5537961)",,,
307483064,Ruška cesta,residential,30,True,False,175.948,,"LINESTRING (15.6456744 46.5542581, 15.6455643 46.5542951, 15.6453507 46.5543669, 15.6451148 46.5544462, 15.6447817 46.5545582, 15.6435537 46.5548667)",,,
5229184,Dvořakova ulica,tertiary,30,True,False,24.596,2,"LINESTRING (15.6453512 46.5537961, 15.6450573 46.5537062)",,,
"[264522864, 6066921]",Dvořakova ulica,tertiary,30,True,False,60.832,"['1', '2']","LINESTRING (15.644234 46.5534686, 15.6440088 46.5534055, 15.6438702 46.5533751, 15.6437961 46.5533563, 15.6436905 46.5533432, 15.6435944 46.5533373, 15.6434705 46.5533322)",,,
6066925,Dvořakova ulica,tertiary,30,True,False,44.177,1,"LINESTRING (15.644234 46.5534686, 15.644107 46.5533936, 15.6440655 46.5533538, 15.6440501 46.553302, 15.6440687 46.5532721, 15.6440871 46.5532446, 15.6442039 46.5531588)",,,
150645500,Strossmayerjeva ulica,tertiary,50,False,False,98.435,2,"LINESTRING (15.6427253 46.5619571, 15.6423907 46.561227, 15.6423356 46.5611134)",,,
150643366,Razlagova ulica,tertiary,30,True,False,131.268,2,"LINESTRING (15.6482646 46.5620251, 15.6481789 46.5620232, 15.6466359 46.5620026, 15.646548 46.5620033)",,,
5736026,Hlebova ulica,residential,30,False,True,73.177,,"LINESTRING (15.6395929 46.5536159, 15.6396336 46.553694, 15.6397851 46.5539847, 15.6399158 46.5542354)",,,
"[7146241, 429748557]",Valvasorjeva ulica,tertiary,"['50', '30']",False,False,188.12599999999995,2,"LINESTRING (15.6395929 46.5536159, 15.6402352 46.5534644, 15.6403991 46.5534388, 15.6405703 46.5534294, 15.640587 46.5534311, 15.6407076 46.553443, 15.6407837 46.5534505, 15.640977 46.5534936, 15.6412311 46.553584, 15.6414997 46.5536723, 15.6415889 46.5536942, 15.6416813 46.5537151, 15.6417576 46.5537262, 15.6418406 46.5537321, 15.641926 46.5537319)",,,
5890791,Dvořakova ulica,tertiary,30,True,False,55.828,1,"LINESTRING (15.6460385 46.5537494, 15.6459485 46.553798, 15.6458555 46.5538221, 15.6457643 46.553839, 15.6456351 46.5538421, 15.6455183 46.5538311, 15.6453512 46.5537961)",,,
"[244709201, 180968030, 245957823]",Trg revolucije,tertiary,30,True,False,75.402,2,"LINESTRING (15.6460385 46.5537494, 15.6460248 46.553787, 15.6460163 46.5538104, 15.6459711 46.5539342, 15.6459543 46.5540209, 15.6459566 46.5541145, 15.6460062 46.5543453, 15.6460208 46.5544178)",,,
153814531,Ulica kneza Koclja,tertiary,30,False,False,193.23399999999998,,"LINESTRING (15.6513685 46.557289, 15.6508283 46.5573132, 15.650757 46.5573173, 15.6502402 46.5573408, 15.6499513 46.5573585, 15.6497398 46.5573745, 15.6494734 46.557392, 15.6492785 46.5574013, 15.649142 46.5574143, 15.6490104 46.5574386, 15.6488616 46.557472)",,,
741218595,Ulica talcev,residential,30,False,True,88.214,,"LINESTRING (15.6513685 46.557289, 15.6513671 46.5572555, 15.651313 46.5568021, 15.6512883 46.5567417, 15.6512662 46.55671, 15.6512273 46.556684, 15.6511685 46.5566625, 15.6509886 46.5566558)",,,
