osmid,name,highway,width,oneway,reversed,length,geometry,lanes,maxspeed
208806985,Kum Road,tertiary,10,False,False,13.036,"LINESTRING (144.2344143 -5.8550026, 144.2345299 -5.8550254)",,
208806136,Benzin Road,residential,6,False,False,64.747,"LINESTRING (144.2335365 -5.8555061, 144.2336589 -5.8555835, 144.2340304 -5.8558186)",,
208806136,Benzin Road,residential,6,False,True,121.286,"LINESTRING (144.2335365 -5.8555061, 144.23305 -5.8550235, 144.2327601 -5.8547359)",,
"[689984219, 208806141]",Hagen Drive,residential,,False,"[False, True]",224.08099999999996,"LINESTRING (144.2335365 -5.8555061, 144.233177 -5.8558489, 144.2331001 -5.8559223, 144.2329283 -5.8560826, 144.2328863 -5.8561111, 144.2327148 -5.8562272, 144.2324039 -5.8564433, 144.2323809 -5.8564594, 144.2322355 -5.8565803, 144.2319847 -5.8567944)",,
942434076,Moka Place,tertiary,10,False,False,17.069,"LINESTRING (144.2274162 -5.8588858, 144.2275297 -5.8587818)",2,
832504065,Ambu Street,residential,,False,True,72.753,"LINESTRING (144.2291397 -5.8625032, 144.2289537 -5.8622821, 144.2288013 -5.8621072, 144.2287034 -5.8620144)",,
942434076,Moka Place,tertiary,10,False,True,126.855,"LINESTRING (144.2292038 -5.8571438, 144.2283749 -5.8579322)",2,
281242109,,unclassified,,False,True,69.28,"LINESTRING (144.2292038 -5.8571438, 144.2295181 -5.8574833, 144.2296271 -5.857603)",,
281242485,Moka Place,tertiary,10,False,False,81.458,"LINESTRING (144.2292038 -5.8571438, 144.2295494 -5.8568686, 144.2297745 -5.8566809)",2,
208806136,Benzin Road,residential,6,False,False,121.286,"LINESTRING (144.2327601 -5.8547359, 144.23305 -5.8550235, 144.2335365 -5.8555061)",,
281242485,Moka Place,tertiary,10,False,True,257.70799999999997,"LINESTRING (144.2327601 -5.8547359, 144.2321102 -5.8547096, 144.2319702 -5.8547297, 144.2318817 -5.854765, 144.231847 -5.8547891, 144.2318109 -5.8548142, 144.2308065 -5.8557207)",2,
208807587,,unclassified,,False,True,187.137,"LINESTRING (144.2355919 -5.8580748, 144.2349345 -5.8565241)",,
329305266,Kuminga Road,residential,,False,False,23.253,"LINESTRING (144.2355919 -5.8580748, 144.2353927 -5.8581416)",,
329305266,Kuminga Road,residential,,False,True,37.291,"LINESTRING (144.2355919 -5.8580748, 144.2359156 -5.8579811)",,
