osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,bridge
671047950,residential,False,True,7.741,,,"LINESTRING (-73.8123452 5.6172839, -73.8123099 5.6172238)",,
99645265,primary,True,False,177.13500000000002,45A,Carrera 7,"LINESTRING (-73.8123452 5.6172839, -73.812526 5.6170597, -73.8134059 5.6160914)",,
107138337,residential,False,False,45.69,,Calle 21,"LINESTRING (-73.8123452 5.6172839, -73.8124287 5.6174686, -73.8125479 5.6176399)",,
99645265,primary,True,False,68.888,45A,Carrera 7,"LINESTRING (-73.8148244 5.6145212, -73.8152778 5.6140967)",,
107137551,residential,False,True,146.09699999999998,,Calle 16,"LINESTRING (-73.8148244 5.6145212, -73.8149322 5.6145445, -73.8150403 5.6146012, -73.8151386 5.614658, -73.815234 5.6147516, -73.8153022 5.6148273, -73.8154104 5.6149578, -73.8155323 5.6151333, -73.8157473 5.6154126)",1,
107138343,residential,False,True,104.631,,Calle 19,"LINESTRING (-73.8153331 5.6181402, -73.8150101 5.6178024, -73.814872 5.6176454, -73.8147099 5.6174339)",,
632651777,secondary,True,False,251.67199999999997,,Carrera 10,"LINESTRING (-73.8153331 5.6181402, -73.815565 5.6178219, -73.816218 5.616854, -73.8167178 5.6163553)",,
94435325,residential,False,False,73.578,,Calle 15,"LINESTRING (-73.8165651 5.6156344, -73.8169382 5.6161821)",,
94435325,residential,False,True,80.928,,Calle 15,"LINESTRING (-73.8165651 5.6156344, -73.816098 5.6150744)",,
94438314,tertiary,True,False,50.44,,Carrera 9,"LINESTRING (-73.8165651 5.6156344, -73.8162132 5.6159227)",,
99645285,residential,False,True,59.895,,Carrera 12,"LINESTRING (-73.8179706 5.6176338, -73.8183603 5.61726)",,
746811126,residential,True,False,80.778,,Calle 16,"LINESTRING (-73.8179706 5.6176338, -73.8174383 5.6171367)",1,
99645285,residential,False,False,182.987,,Carrera 12,"LINESTRING (-73.8179706 5.6176338, -73.8175682 5.6180226, -73.8167874 5.6187834)",,
94435325,residential,False,True,73.578,,Calle 15,"LINESTRING (-73.8169382 5.6161821, -73.8165651 5.6156344)",,
