osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,bridge,junction
32405482,True,Calle 5,secondary,False,101.283,,"LINESTRING (-76.6086542 2.4421803, -76.6077864 2.4419011)",,,
531822132,True,Carrera 9,secondary,False,103.91499999999999,1,"LINESTRING (-76.6086542 2.4421803, -76.6088437 2.4416453, -76.6089662 2.4412993)",,,
36979218,True,Calle 3,tertiary,False,101.444,,"LINESTRING (-76.6045148 2.442778, -76.6036422 2.4425092)",,,
65583233,True,Carrera 5,residential,False,102.274,,"LINESTRING (-76.6045148 2.442778, -76.6041953 2.4436406)",,,
172705870,True,Calle 4,secondary,False,102.263,,"LINESTRING (-76.6083198 2.4430721, -76.6091967 2.4433518)",,,
531822132,True,Carrera 9,secondary,False,105.894,1,"LINESTRING (-76.6083198 2.4430721, -76.6086542 2.4421803)",,,
36979218,True,Calle 3,tertiary,False,103.02,,"LINESTRING (-76.6053993 2.4430563, -76.6045148 2.442778)",,,
36979218,True,Calle 3,tertiary,False,100.538,,"LINESTRING (-76.6062681 2.4433094, -76.6053993 2.4430563)",,,
"[531822136, 673991252]",True,"['Carrera 7', 'Calle 4']",tertiary,False,203.392,,"LINESTRING (-76.6062681 2.4433094, -76.6065815 2.4424616, -76.6074569 2.4427639)",,,
239222617,True,Calle 4,secondary,False,104.069,,"LINESTRING (-76.610039 2.4436292, -76.6109205 2.4439459)",30,,
239222620,False,Carrera 11,residential,False,20.908,2,"LINESTRING (-76.610039 2.4436292, -76.6099684 2.4438035)",,,
37054642,True,Carrera 12,residential,False,119.075,,"LINESTRING (-76.6109205 2.4439459, -76.6105306 2.4449434)",,,
65583233,True,Carrera 5,residential,False,101.63,,"LINESTRING (-76.6051423 2.4410422, -76.6048365 2.4419036)",,,
172705872,True,Calle 5,tertiary,False,102.713,,"LINESTRING (-76.6051423 2.4410422, -76.6042608 2.4407636)",,,
65583233,True,Carrera 5,residential,False,103.589,,"LINESTRING (-76.6048365 2.4419036, -76.6045148 2.442778)",,,
