osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge,ref,junction
"[573785628, 573785629]",True,2,Carrera 51,secondary,False,46.024,"LINESTRING (-75.605768 6.1745876, -75.6060666 6.1744525, -75.6061453 6.1744128)",,,,
1015782700,True,2,Calle 56,tertiary,False,91.291,"LINESTRING (-75.605768 6.1745876, -75.6057886 6.1746248, -75.6061661 6.1753069)",,,,
574255320,True,2,Carrera 52,tertiary,False,80.8,"LINESTRING (-75.6061661 6.1753069, -75.6068349 6.1750138)",40,,,
404250282,True,2,Calle 56,tertiary,False,51.738,"LINESTRING (-75.6061661 6.1753069, -75.6063598 6.1756563, -75.606392 6.1757144)",,,,
"[573785625, 574657740]",True,2,Calle 51,tertiary,False,88.94399999999999,"LINESTRING (-75.6095839 6.1737357, -75.6095936 6.1737575, -75.6097629 6.1741397, -75.6099066 6.174436, -75.6099204 6.1744621)",30,,,
574657742,True,2,Carrera 52,tertiary,False,91.248,"LINESTRING (-75.6095839 6.1737357, -75.6095997 6.1737308, -75.6096134 6.1737235, -75.6098874 6.1735971, -75.6103329 6.1733913)",30,,,
566772036,True,3,Carrera 55,tertiary,False,15.358,"LINESTRING (-75.6082178 6.1756766, -75.6081565 6.1756639, -75.6080835 6.1756418)",50,,,
1018894115,True,1,Calle 54,residential,False,21.660000000000004,"LINESTRING (-75.6082178 6.1756766, -75.60822 6.1756343, -75.6082153 6.175589, -75.6081998 6.1755496, -75.6081685 6.175493)",,,,
42488592,True,2,Carrera 52,tertiary,False,46.255,"LINESTRING (-75.6076928 6.1746175, -75.6080712 6.17444)",30,,,
42488691,True,2,Calle 54,residential,False,93.437,"LINESTRING (-75.6076928 6.1746175, -75.6073285 6.1739104, -75.6073071 6.1738698)",,,,
43117176,True,2,Carrera 51,secondary,False,49.978,"LINESTRING (-75.6073071 6.1738698, -75.6077132 6.1736723)",20,,,
42488689,True,,Carrera 55,residential,False,64.834,"LINESTRING (-75.607077 6.1767912, -75.6070947 6.176739, -75.6071283 6.1766757, -75.6072144 6.1765865, -75.6073996 6.1764712, -75.6075009 6.1764146)",,,,
"[354089510, 354089509, 575776230]",False,2,Calle 48,tertiary,False,52.797,"LINESTRING (-75.6121629 6.1746663, -75.612178 6.1745798, -75.6121959 6.1744777, -75.6122314 6.1742745, -75.6122441 6.1741984)",,yes,,
"[575776232, 575776233, 575776231]",False,2,Calle 48,tertiary,True,72.44200000000001,"LINESTRING (-75.6121629 6.1746663, -75.6121477 6.1747279, -75.6121049 6.1748796, -75.6120641 6.1750212, -75.6119747 6.1752901)",,,,
"[576129116, 936882285]",False,2,Carrera 55A,tertiary,False,75.873,"LINESTRING (-75.6121629 6.1746663, -75.6122721 6.1746843, -75.6124737 6.1747192, -75.612684 6.1747781, -75.6128331 6.17481)",,,,
576129116,False,2,Carrera 55A,tertiary,True,142.165,"LINESTRING (-75.6121629 6.1746663, -75.6120548 6.1746548, -75.6117377 6.1746436, -75.6114051 6.174625, -75.6111959 6.1746143, -75.611051 6.1745876, -75.6109786 6.174565, -75.6109343 6.1745423, -75.610903 6.1745112)",,,,
573785616,True,2,Calle 50,tertiary,False,92.554,"LINESTRING (-75.6103329 6.1733913, -75.6099953 6.1726731, -75.6099785 6.1726372)",,,,
574657742,True,2,Carrera 52,tertiary,False,91.85799999999999,"LINESTRING (-75.6103329 6.1733913, -75.6110318 6.1730628, -75.6110839 6.1730378)",30,,,
69693575,False,,Calle 47,residential,True,81.001,"LINESTRING (-75.6128331 6.17481, -75.6128707 6.1755375)",,,,
936882285,False,2,Carrera 55A,tertiary,False,47.863,"LINESTRING (-75.6128331 6.17481, -75.6132657 6.1748273)",,,,
"[576129116, 936882285]",False,2,Carrera 55A,tertiary,True,75.87299999999999,"LINESTRING (-75.6128331 6.17481, -75.612684 6.1747781, -75.6124737 6.1747192, -75.6122721 6.1746843, -75.6121629 6.1746663)",,,,
1015769123,True,2,Calle 45,residential,False,55.839999999999996,"LINESTRING (-75.6133439 6.1706316, -75.6133312 6.1706004, -75.6132477 6.1703951, -75.6131769 6.1702201, -75.6131537 6.1701664)",,,,
43086651,True,2,Calle 46,residential,False,90.608,"LINESTRING (-75.6115038 6.1682209, -75.6117783 6.1689887)",,,,
725840185,True,2,Carrera 47,residential,False,101.908,"LINESTRING (-75.6115038 6.1682209, -75.6106675 6.1686064)",30,,,
406081730,True,2,Carrera 50A,secondary,False,4.965,"LINESTRING (-75.612549 6.1709828, -75.6125904 6.1709655)",,,,
43086653,True,,Calle 46A,residential,False,90.53599999999999,"LINESTRING (-75.6119322 6.1707429, -75.6119209 6.1707139, -75.6116508 6.170018, -75.6116376 6.1699832)",,,,
283012989,True,2,Carrera 50,residential,False,49.733,"LINESTRING (-75.6119322 6.1707429, -75.6115732 6.1709123, -75.6115258 6.1709347)",,,,
"[576531821, 576531822]",True,2,Carrera 49,secondary,False,46.607,"LINESTRING (-75.6116376 6.1699832, -75.6114265 6.1700923, -75.6113014 6.1701552, -75.6112627 6.1701749)",,,,
43086657,True,2,Calle 47,residential,False,48.616,"LINESTRING (-75.6112627 6.1701749, -75.6112364 6.1701126, -75.6111069 6.1697661)",,,,
