osmid,highway,oneway,reversed,length,geometry,lanes,width,junction,name
373708943,residential,False,False,290.24,"LINESTRING (-75.4929014 5.2666722, -75.4927861 5.2674295, -75.4926722 5.2678255, -75.4926722 5.2678923, -75.4927482 5.2679479, -75.492813 5.2680236, -75.492842 5.2680858, -75.4928621 5.2681637, -75.4928442 5.2682661, -75.4927906 5.2683906, -75.4927236 5.2684596, -75.4926878 5.2685419, -75.492524 5.2691173)",,,,
373708982,residential,False,True,72.316,"LINESTRING (-75.4929014 5.2666722, -75.4925426 5.2668177, -75.492476 5.2668332, -75.4922812 5.2668644)",,,,
373708982,residential,False,False,72.316,"LINESTRING (-75.4922812 5.2668644, -75.492476 5.2668332, -75.4925426 5.2668177, -75.4929014 5.2666722)",,,,
"[373708992, 373708995]",residential,False,False,129.06799999999998,"LINESTRING (-75.4897293 5.2673388, -75.4898879 5.2675658, -75.4899125 5.2676414, -75.4898969 5.2677148, -75.4897628 5.2682555, -75.4897606 5.2683044, -75.4897829 5.2683311, -75.4898723 5.2683343)",,,,
373708957,residential,False,False,88.625,"LINESTRING (-75.4900845 5.2675658, -75.4898723 5.2683343)",,,,
373708928,secondary,False,False,94.90400000000001,"LINESTRING (-75.4946921 5.2676106, -75.4946859 5.2676234, -75.4946416 5.2676989, -75.494531 5.267938, -75.4944773 5.2680293, -75.4943257 5.2682747, -75.4942909 5.2683628)",2,6,,
373708955,residential,False,False,68.203,"LINESTRING (-75.4902521 5.2677638, -75.4900974 5.2683575)",,,,
373708960,residential,False,False,21.45,"LINESTRING (-75.4941209 5.2682703, -75.4942909 5.2683628)",,,,
373708957,residential,False,True,88.625,"LINESTRING (-75.4898723 5.2683343, -75.4900845 5.2675658)",,,,
373708992,residential,False,False,25.205,"LINESTRING (-75.4898723 5.2683343, -75.4900354 5.26834, -75.4900974 5.2683575)",,,,
"[373708992, 373708995]",residential,False,True,129.068,"LINESTRING (-75.4898723 5.2683343, -75.4897829 5.2683311, -75.4897606 5.2683044, -75.4897628 5.2682555, -75.4898969 5.2677148, -75.4899125 5.2676414, -75.4898879 5.2675658, -75.4897293 5.2673388)",,,,
373708955,residential,False,True,68.203,"LINESTRING (-75.4900974 5.2683575, -75.4902521 5.2677638)",,,,
373708992,residential,False,False,32.137,"LINESTRING (-75.4900974 5.2683575, -75.4903767 5.2684361)",,,,
