osmid,lanes,name,highway,width,oneway,reversed,length,geometry
836194058,2,Vía Corrales - Tasco,tertiary,8,False,False,36.726,"LINESTRING (-72.8408133 5.8276031, -72.8407996 5.8279331)"
61727961,1,Calle 7,tertiary,6,False,True,32.527,"LINESTRING (-72.8408133 5.8276031, -72.840911 5.827785, -72.8409628 5.8278542)"
61727961,1,Calle 7,tertiary,6,False,True,6.68,"LINESTRING (-72.8409628 5.8278542, -72.841015 5.8278844)"
485007704,,Calle 7,tertiary,,False,False,20.072,"LINESTRING (-72.8409628 5.8278542, -72.8407996 5.8279331)"
61727961,1,Calle 7,tertiary,6,False,False,32.527,"LINESTRING (-72.8409628 5.8278542, -72.840911 5.827785, -72.8408133 5.8276031)"
485007704,,Calle 7,tertiary,,False,True,20.072,"LINESTRING (-72.8407996 5.8279331, -72.8409628 5.8278542)"
836194058,2,Vía Corrales - Tasco,tertiary,8,False,True,36.726,"LINESTRING (-72.8407996 5.8279331, -72.8408133 5.8276031)"
836194058,2,Vía Corrales - Tasco,tertiary,8,False,False,52.134,"LINESTRING (-72.8407996 5.8279331, -72.8407539 5.828204, -72.8407308 5.8283968)"
61727961,1,Calle 7,tertiary,6,False,False,6.68,"LINESTRING (-72.841015 5.8278844, -72.8409628 5.8278542)"
551755410,1,Calle 7,tertiary,6,True,False,137.745,"LINESTRING (-72.841015 5.8278844, -72.8410759 5.8279417, -72.8420717 5.8283195, -72.8421621 5.8283505)"
627899337,,Diagonal 7,residential,,False,False,161.29299999999998,"LINESTRING (-72.8407308 5.8283968, -72.8411697 5.8284835, -72.8412655 5.8284959, -72.8415748 5.828485, -72.8416772 5.8284767, -72.8420473 5.8283905, -72.8421184 5.8283668, -72.8421621 5.8283505)"
836194058,2,Vía Corrales - Tasco,tertiary,8,False,True,52.134,"LINESTRING (-72.8407308 5.8283968, -72.8407539 5.828204, -72.8407996 5.8279331)"
1112016233,,,residential,,False,True,8.533,"LINESTRING (-72.8421621 5.8283505, -72.8421946 5.8282809)"
627899337,,Diagonal 7,residential,,False,True,161.293,"LINESTRING (-72.8421621 5.8283505, -72.8421184 5.8283668, -72.8420473 5.8283905, -72.8416772 5.8284767, -72.8415748 5.828485, -72.8412655 5.8284959, -72.8411697 5.8284835, -72.8407308 5.8283968)"
1112016233,,,residential,,False,False,8.533,"LINESTRING (-72.8421946 5.8282809, -72.8421621 5.8283505)"
632596410,1,Calle 7,tertiary,6,True,False,138.762,"LINESTRING (-72.8421946 5.8282809, -72.8421172 5.8282601, -72.8410999 5.8278743, -72.841015 5.8278844)"
