osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,bridge
499940538,True,1,trunk_link,False,141.06900000000002,"LINESTRING (-75.6240673 8.8708601, -75.6238599 8.8707573, -75.6237392 8.8707348, -75.6236091 8.870748, -75.6235152 8.8707984, -75.6234509 8.8708726, -75.6234214 8.8709759, -75.6234348 8.871074, -75.623479 8.8711641, -75.623649 8.871387)",,,,
402207490,False,,residential,False,7.072,"LINESTRING (-75.623649 8.871387, -75.6236497 8.8714506)",Calle 10,,,
675741693,True,2,trunk,False,41.229,"LINESTRING (-75.623649 8.871387, -75.6239824 8.8715572)",Transversal 25,74,,
402207492,False,,residential,False,116.283,"LINESTRING (-75.6207859 8.8706852, -75.6210546 8.8716967)",Calle 7,,,
675741715,False,,residential,False,69.341,"LINESTRING (-75.6207859 8.8706852, -75.621407 8.8705744)",Carrera 23,,30,
675741715,False,,residential,True,37.274,"LINESTRING (-75.6207859 8.8706852, -75.6204542 8.8707556)",Carrera 23,,30,
402207493,False,,residential,False,95.329,"LINESTRING (-75.6195265 8.870783, -75.6193848 8.8716288)",Calle 3,,,
675741715,False,,residential,False,11.531,"LINESTRING (-75.6195265 8.870783, -75.6196281 8.870809)",Carrera 23,,30,
675741715,False,,residential,True,10.661,"LINESTRING (-75.6195265 8.870783, -75.6194345 8.8707525)",Carrera 23,,30,
402207497,False,,residential,False,73.162,"LINESTRING (-75.62162 8.8716465, -75.621749 8.872292)",Calle 8,,,
402207497,False,,residential,True,121.487,"LINESTRING (-75.62162 8.8716465, -75.621407 8.8705744)",Calle 8,,,
675741676,False,,residential,False,62.368,"LINESTRING (-75.62162 8.8716465, -75.6210546 8.8716967)",Carrera 22,,30,
675741676,False,,residential,True,72.869,"LINESTRING (-75.62162 8.8716465, -75.6222783 8.8715665)",Carrera 22,,30,
402207482,False,,residential,False,47.938,"LINESTRING (-75.6206537 8.8717323, -75.620675 8.8721629)",Calle 5A,,,
675741676,False,,residential,False,59.178,"LINESTRING (-75.6206537 8.8717323, -75.6201169 8.8717763)",Carrera 22,,30,
675741676,False,,residential,True,44.222,"LINESTRING (-75.6206537 8.8717323, -75.6210546 8.8716967)",Carrera 22,,30,
402207482,False,,residential,True,110.82499999999999,"LINESTRING (-75.6206537 8.8717323, -75.6205111 8.8710911, -75.6204542 8.8707556)",Calle 5A,,,
