osmid,name,highway,oneway,reversed,length,geometry,ref,width,lanes,maxspeed
237612110,Carrera 13,residential,False,False,59.3,"LINESTRING (-73.9753473 9.0006257, -73.9748322 9.0007856)",,,,
"[237612040, 237611932]",Calle 10,residential,False,"[False, True]",234.192,"LINESTRING (-73.9753473 9.0006257, -73.9757838 9.0020086, -73.9751303 9.0021344)",,,,
237612022,Calle 3,residential,False,True,65.448,"LINESTRING (-73.972155 9.0004235, -73.9723482 9.0009803)",,,,
237612084,Carrera 12A,residential,False,False,64.692,"LINESTRING (-73.972155 9.0004235, -73.9716326 9.0006923)",,,,
237612227,Calle 2,residential,True,False,155.455,"LINESTRING (-73.9704316 9.0004322, -73.9708252 9.0017751)",,,,
417033901,Carrera 12,residential,True,False,8.592,"LINESTRING (-73.9704316 9.0004322, -73.9705097 9.0004277)",,,,
417033901,Carrera 12,residential,True,False,58.313,"LINESTRING (-73.9699492 9.0006513, -73.9704316 9.0004322)",,,,
237612232,Calle 1B,residential,False,False,134.458,"LINESTRING (-73.9699492 9.0006513, -73.9700407 9.0011513, -73.9700769 9.0018515)",,,,
237612066,Carrera 13,trunk,False,True,94.029,"LINESTRING (-73.9731505 9.0006851, -73.9723482 9.0009803)",78,,,
417033839,Calle 4,secondary,False,False,217.517,"LINESTRING (-73.9731505 9.0006851, -73.9732494 9.0009147, -73.9732758 9.001184, -73.9734241 9.0019517, -73.9734323 9.0026062)",,5,,
417033842,Carrera 13,trunk,False,False,82.718,"LINESTRING (-73.9731505 9.0006851, -73.9734742 9.0007757, -73.9738696 9.0009057)",78,,,
237612084,Carrera 12A,residential,False,True,64.692,"LINESTRING (-73.9716326 9.0006923, -73.972155 9.0004235)",,,,
417033883,Calle 3,residential,False,False,69.56,"LINESTRING (-73.9716326 9.0006923, -73.9717833 9.0012999)",,,,
237612110,Carrera 13,residential,False,True,59.3,"LINESTRING (-73.9748322 9.0007856, -73.9753473 9.0006257)",,,,
237612110,Carrera 13,residential,False,False,65.063,"LINESTRING (-73.9748322 9.0007856, -73.9742946 9.0009242, -73.974278 9.0009285, -73.974259 9.0009334)",,,,
416222912,Calle 9,residential,False,False,153.516,"LINESTRING (-73.9748322 9.0007856, -73.9749637 9.0013565, -73.9751303 9.0021344)",,,,
416222922,Calle 5,residential,False,True,191.688,"LINESTRING (-73.9738696 9.0009057, -73.9737971 9.0026281)",,,,
417033842,Carrera 13,trunk,False,False,36.358,"LINESTRING (-73.9738696 9.0009057, -73.9741679 9.0009441, -73.9741778 9.0009455, -73.9741978 9.0009485)",78,,,
417033842,Carrera 13,trunk,False,True,82.718,"LINESTRING (-73.9738696 9.0009057, -73.9734742 9.0007757, -73.9731505 9.0006851)",78,,,
417033842,Carrera 13,trunk,False,True,6.928,"LINESTRING (-73.974259 9.0009334, -73.9741978 9.0009485)",78,,,
237612110,Carrera 13,residential,False,True,65.063,"LINESTRING (-73.974259 9.0009334, -73.974278 9.0009285, -73.9742946 9.0009242, -73.9748322 9.0007856)",,,,
237612022,Calle 3,residential,False,False,65.448,"LINESTRING (-73.9723482 9.0009803, -73.972155 9.0004235)",,,,
