osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,width
483966292,Carrera 7,residential,False,False,8.673,,,"LINESTRING (-72.1089968 6.9993262, -72.1089189 6.9993365)",
483966292,Carrera 7,residential,False,True,35.716,,,"LINESTRING (-72.1089968 6.9993262, -72.1093204 6.9993234)",
483966307,Diagonal 2,residential,True,False,126.162,,,"LINESTRING (-72.1089968 6.9993262, -72.1088974 6.9981959)",
483966289,Calle 4,residential,False,False,72.032,,,"LINESTRING (-72.1100922 6.9995507, -72.1103628 6.9989612)",
483966289,Calle 4,residential,False,True,109.007,,,"LINESTRING (-72.1100922 6.9995507, -72.1096792 7.0004412)",
483966292,Carrera 7,residential,False,True,121.953,,,"LINESTRING (-72.1100922 6.9995507, -72.1110475 7.0001019)",
483966292,Carrera 7,residential,False,False,89.026,,,"LINESTRING (-72.1100922 6.9995507, -72.1097598 6.9994269, -72.1093204 6.9993234)",
483966313,Carrera 2,residential,False,False,139.953,,,"LINESTRING (-72.1060292 7.0021193, -72.105249 7.0011271)",
483966313,Carrera 2,residential,False,True,77.007,,,"LINESTRING (-72.1060292 7.0021193, -72.1064601 7.002664)",
483966322,Calle 2,residential,False,False,113.941,,,"LINESTRING (-72.1060292 7.0021193, -72.1052164 7.0027511)",
483966322,Calle 2,residential,False,True,103.65,,,"LINESTRING (-72.1060292 7.0021193, -72.1067446 7.0015154)",
483966320,Carrera 4,residential,False,False,56.946,,,"LINESTRING (-72.1073895 7.0010239, -72.1070611 7.0006289)",
483966320,Carrera 4,residential,False,True,77.786,,,"LINESTRING (-72.1073895 7.0010239, -72.1078296 7.0015703)",
483966322,Calle 2,residential,False,False,89.737,,,"LINESTRING (-72.1073895 7.0010239, -72.1067446 7.0015154)",
483966322,Calle 2,residential,False,True,117.045,,,"LINESTRING (-72.1073895 7.0010239, -72.1081771 7.000319)",
483966318,Carrera 5,residential,True,False,80.237,,,"LINESTRING (-72.1086314 7.0009249, -72.1090965 7.0014795)",
483966324,Calle 3,residential,False,False,113.934,,,"LINESTRING (-72.1086314 7.0009249, -72.1078296 7.0015703)",
483966324,Calle 3,residential,False,True,9.305,,,"LINESTRING (-72.1086314 7.0009249, -72.1086945 7.0008694)",
483966324,Calle 3,residential,False,False,9.305,,,"LINESTRING (-72.1086945 7.0008694, -72.1086314 7.0009249)",
483966324,Calle 3,residential,False,True,91.559,,,"LINESTRING (-72.1086945 7.0008694, -72.1092954 7.0003017)",
483966316,Carrera 5,residential,True,False,69.779,,,"LINESTRING (-72.1086945 7.0008694, -72.1083464 7.0004534, -72.1082698 7.0004116)",
483966320,Carrera 4,residential,False,False,77.821,,,"LINESTRING (-72.1082849 7.0021047, -72.1078296 7.0015703)",
483966320,Carrera 4,residential,False,True,81.185,,,"LINESTRING (-72.1082849 7.0021047, -72.1087497 7.0026706)",
483966325,Calle 4,residential,False,False,90.526,,,"LINESTRING (-72.1082849 7.0021047, -72.1076532 7.002624)",
483966325,Calle 4,residential,False,True,113.385,,,"LINESTRING (-72.1082849 7.0021047, -72.1090965 7.0014795)",
483966325,Calle 4,residential,False,False,113.385,,,"LINESTRING (-72.1090965 7.0014795, -72.1082849 7.0021047)",
483966325,Calle 4,residential,False,True,8.727,,,"LINESTRING (-72.1090965 7.0014795, -72.1091559 7.0014277)",
483966318,Carrera 5,residential,True,False,77.994,,,"LINESTRING (-72.1090965 7.0014795, -72.1094678 7.0019253, -72.109574 7.0019887)",
483966316,Carrera 5,residential,True,False,80.294,,,"LINESTRING (-72.1091559 7.0014277, -72.1086945 7.0008694)",
483966325,Calle 4,residential,False,False,8.727,,,"LINESTRING (-72.1091559 7.0014277, -72.1090965 7.0014795)",
483966325,Calle 4,residential,False,True,132.575,,,"LINESTRING (-72.1091559 7.0014277, -72.1100837 7.0006704)",
483966284,Carrera 9,residential,False,False,7.908,,,"LINESTRING (-72.1099078 6.9978706, -72.1098452 6.997836)",
483966284,Carrera 9,residential,False,True,94.395,,,"LINESTRING (-72.1099078 6.9978706, -72.1106616 6.9982717)",
483966284,Carrera 9,residential,False,True,7.908,,,"LINESTRING (-72.1098452 6.997836, -72.1099078 6.9978706)",
