osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,access,bridge,junction
1065604721,2,tertiary,30,False,True,60.552,,"LINESTRING (-75.3381193 6.1717564, -75.3379713 6.1722807)",,,
1265849246,2,tertiary,30,False,False,48.004999999999995,Calle 27,"LINESTRING (-75.3381193 6.1717564, -75.3383097 6.1716045, -75.3384022 6.1715092, -75.3384461 6.1714732)",,,
768637795,,residential,,False,False,33.341,,"LINESTRING (-75.3391108 6.1709453, -75.3391664 6.17124)",,,
768637794,1,tertiary,30,True,False,97.78500000000001,,"LINESTRING (-75.3391108 6.1709453, -75.3388888 6.1710116, -75.3387819 6.1710629, -75.3387017 6.1711362, -75.3386299 6.1712378, -75.3385138 6.1713734, -75.3384461 6.1714732)",,,
768637796,2,tertiary,30,False,False,70.03,,"LINESTRING (-75.3391108 6.1709453, -75.3392648 6.1709319, -75.339508 6.170898, -75.3397365 6.1708512)",,,
88138115,,residential,,False,False,250.38299999999998,,"LINESTRING (-75.3397365 6.1708512, -75.3398086 6.170953, -75.3399551 6.1710222, -75.3401761 6.1711117, -75.3404014 6.171159, -75.3407891 6.171247, -75.3409915 6.1712957, -75.3411604 6.1713176, -75.341333 6.1712097, -75.3414835 6.1711039, -75.3417178 6.1709756, -75.3417944 6.1709763)",,,
768637796,2,tertiary,30,False,True,70.03,,"LINESTRING (-75.3397365 6.1708512, -75.339508 6.170898, -75.3392648 6.1709319, -75.3391108 6.1709453)",,,
1237876931,,residential,,True,False,24.401,Calle 29,"LINESTRING (-75.3368999 6.1738965, -75.3367199 6.1737695)",yes,,
325093257,,residential,,False,True,128.914,,"LINESTRING (-75.3368999 6.1738965, -75.33691 6.1738836, -75.3371222 6.1736313, -75.3373282 6.173376, -75.3374499 6.1731979, -75.337557 6.1730409, -75.3375929 6.1729673)",,,
169402820,2,secondary,,False,False,136.207,Calle 28,"LINESTRING (-75.3375929 6.1729673, -75.3374874 6.1729575, -75.3374482 6.1729483, -75.3371728 6.1728699, -75.3370537 6.172836, -75.3367084 6.1728543, -75.3366321 6.1728356, -75.336495 6.1727883, -75.3364811 6.1727816, -75.3363997 6.1727422)",,,
169402820,2,secondary,,False,True,23.71,Calle 28,"LINESTRING (-75.3375929 6.1729673, -75.3376593 6.1729676, -75.3376891 6.1729705, -75.3378065 6.1729835)",,,
325093257,,residential,,False,False,128.91400000000002,,"LINESTRING (-75.3375929 6.1729673, -75.337557 6.1730409, -75.3374499 6.1731979, -75.3373282 6.173376, -75.3371222 6.1736313, -75.33691 6.1738836, -75.3368999 6.1738965)",,,
169296428,,residential,,False,False,138.539,Carrera 34,"LINESTRING (-75.3378065 6.1729835, -75.3376914 6.1735224, -75.3376882 6.1735409, -75.3376283 6.173795, -75.3375876 6.1739908, -75.3375455 6.174202)",,,
169402820,2,secondary,,False,False,23.71,Calle 28,"LINESTRING (-75.3378065 6.1729835, -75.3376891 6.1729705, -75.3376593 6.1729676, -75.3375929 6.1729673)",,,
"[321890985, 1065604721, 321890980]",2,tertiary,30,False,"[False, True]",80.328,,"LINESTRING (-75.3378065 6.1729835, -75.3378127 6.1729337, -75.3378155 6.1729098, -75.3378488 6.1727762, -75.3379429 6.1724264, -75.3379586 6.172343, -75.3379633 6.172317, -75.3379713 6.1722807)",,yes,
1237587203,2,secondary,,False,False,176.207,Calle 28,"LINESTRING (-75.3378065 6.1729835, -75.3380753 6.173029, -75.3381126 6.1730357, -75.3381441 6.1730402, -75.338244 6.1730545, -75.3385998 6.1731304, -75.3386861 6.1731311, -75.3389021 6.1731196, -75.3390586 6.1731061, -75.3390842 6.1731042, -75.339384 6.1730742)",,,
768637795,,residential,,False,True,33.341,,"LINESTRING (-75.3391664 6.17124, -75.3391108 6.1709453)",,,
768637795,,residential,,False,False,83.607,,"LINESTRING (-75.3391664 6.17124, -75.3392875 6.1718685, -75.3392978 6.17198)",,,
88131788,,residential,,False,False,41.234,,"LINESTRING (-75.3409426 6.1773225, -75.3412651 6.1775088)",,,
88131788,,residential,,False,True,21.72,,"LINESTRING (-75.3409426 6.1773225, -75.3407688 6.1772314)",,,
88138163,,residential,,False,False,75.507,,"LINESTRING (-75.3409426 6.1773225, -75.341259 6.1767207)",,,
88138125,,residential,,False,False,35.181,,"LINESTRING (-75.3391663 6.1756161, -75.3390187 6.1758964)",,,
88138125,,residential,,False,True,115.175,,"LINESTRING (-75.3391663 6.1756161, -75.3396654 6.1747069)",,,
