osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge
168901047,ถนนสุขุมวิท (นครระยอง 39),residential,False,False,53.689,,"LINESTRING (101.2731692 12.6820641, 101.2731966 12.6825462)",,
322213727,ถนนสุขุมวิท (นครระยอง 39),residential,False,False,19.733,2,"LINESTRING (101.2731692 12.6820641, 101.2731645 12.6818867)",,
707115994,ถนนสุขุมวิท,primary,True,False,95.262,4,"LINESTRING (101.2731692 12.6820641, 101.2740451 12.682003)",,
168901047,ถนนสุขุมวิท (นครระยอง 39),residential,False,False,48.756,,"LINESTRING (101.2732847 12.683539, 101.2733175 12.6839763)",,
168901047,ถนนสุขุมวิท (นครระยอง 39),residential,False,True,27.08,,"LINESTRING (101.2732847 12.683539, 101.2732606 12.6832966)",,
285191367,สาย 2 ซอย 3,residential,False,False,85.938,,"LINESTRING (101.2732847 12.683539, 101.2734675 12.6835171, 101.2738179 12.6834975, 101.2740743 12.6834797)",,
168889692,ถนนสุขุมวิท (นครระยอง 43),residential,False,False,22.019,,"LINESTRING (101.2740743 12.6834797, 101.2741188 12.6832865)",,
168889692,ถนนสุขุมวิท (นครระยอง 43),residential,False,True,117.54899999999999,,"LINESTRING (101.2740743 12.6834797, 101.2740079 12.6838123, 101.2738886 12.6845211)",,
285191367,สาย 2 ซอย 3,residential,False,True,85.938,,"LINESTRING (101.2740743 12.6834797, 101.2738179 12.6834975, 101.2734675 12.6835171, 101.2732847 12.683539)",,
285191371,ถนนสุขุมวิท (นครระยอง 41),residential,False,True,51.835,,"LINESTRING (101.2740451 12.682003, 101.2740803 12.6824679)",,
707115994,ถนนสุขุมวิท,primary,True,False,38.957,4,"LINESTRING (101.2740451 12.682003, 101.2744032 12.6819767)",,
168896928,ถนนสุขุมวิท (นครระยอง 55),residential,False,False,71.713,2,"LINESTRING (101.2811073 12.6814762, 101.2812747 12.6815713, 101.2813299 12.6816245, 101.281638 12.6818574)",,
707413117,ถนนสุขุมวิท,primary,True,False,51.951,4,"LINESTRING (101.2811073 12.6814762, 101.2814254 12.6814597, 101.2815853 12.6814481)",,
239369878,ถนนสุขุมวิท (นครระยอง 45),primary,True,False,18.283,3,"LINESTRING (101.2761341 12.6818464, 101.2761406 12.6816821)",3138,
"[734548547, 707413118]",ถนนสุขุมวิท,primary,True,False,179.863,"['4', '3']","LINESTRING (101.2761341 12.6818464, 101.2762275 12.6818301, 101.2766905 12.6817987, 101.2767654 12.6817953, 101.2769095 12.681789, 101.2771759 12.6817777, 101.277206 12.6817764, 101.2773077 12.6817721, 101.277669 12.6817485, 101.277788 12.6817443)",,
707115993,ถนนสุขุมวิท,primary,True,False,14.733,4,"LINESTRING (101.2759986 12.6818553, 101.2761341 12.6818464)",,
