osmid,oneway,highway,reversed,length,geometry,name,lanes,ref,tunnel
461219679,True,secondary,False,15.511,"LINESTRING (100.3280585 6.6652283, 100.3280641 6.6651573, 100.3280447 6.6650918)",,,,
324970266,False,unclassified,True,20.44,"LINESTRING (100.3242369 6.6705213, 100.3241318 6.67037)",ถนนศิริมงคล,,,
699757336,False,tertiary,True,107.933,"LINESTRING (100.3242369 6.6705213, 100.3233609 6.6709516)",,,,
1257074363,False,secondary,True,138.429,"LINESTRING (100.3242369 6.6705213, 100.3249673 6.671533)",,2,สข.1027,
84960567,False,secondary,False,104.529,"LINESTRING (100.3242369 6.6705213, 100.3244565 6.6703934, 100.3246047 6.6702994, 100.3250414 6.6700263)",,,,
"[759411249, 753800500, 753800501]",True,secondary,False,100.42,"LINESTRING (100.3270844 6.6646565, 100.3271283 6.6647138, 100.3273326 6.6649808, 100.327498 6.665197, 100.3276346 6.6653755)",,,,building_passage
759411250,False,secondary,False,52.688,"LINESTRING (100.3270844 6.6646565, 100.3273138 6.6645023, 100.3273808 6.6644297, 100.3274276 6.6643409)",,,,
759411250,False,secondary,True,48.68000000000001,"LINESTRING (100.3270844 6.6646565, 100.3269471 6.6648006, 100.3269122 6.6648912, 100.3268732 6.6649736, 100.3268694 6.6650248)",,,,
155833334,True,secondary,False,51.979,"LINESTRING (100.3284344 6.6648297, 100.3280447 6.6650918)",,,,
699757339,False,residential,True,58.836,"LINESTRING (100.3201893 6.6648648, 100.3202698 6.6648818, 100.3205746 6.6652112)",ถนนศิริมงคล,,,
155833337,True,secondary,False,55.196,"LINESTRING (100.3280447 6.6650918, 100.3276346 6.6653755)",,,,
"[759429736, 84960566, 461219678]",True,secondary,False,110.26,"LINESTRING (100.3280447 6.6650918, 100.3279591 6.6649525, 100.3279198 6.6648886, 100.3277778 6.6646974, 100.3275574 6.6644006, 100.3275093 6.6643576, 100.3274276 6.6643409)",,,,building_passage
155832882,False,residential,True,44.066,"LINESTRING (100.3205746 6.6652112, 100.3202691 6.6654661)",ถนนป้อน 1,,,
699757339,False,residential,True,72.373,"LINESTRING (100.3205746 6.6652112, 100.321038 6.6656714)",ถนนศิริมงคล,,,
699757339,False,residential,False,58.836,"LINESTRING (100.3205746 6.6652112, 100.3202698 6.6648818, 100.3201893 6.6648648)",ถนนศิริมงคล,,,
155833337,True,secondary,False,67.376,"LINESTRING (100.3276346 6.6653755, 100.3271315 6.6657182)",,,,
753800501,True,secondary,False,12.049,"LINESTRING (100.3276346 6.6653755, 100.3277011 6.6654614)",,,,
155832882,False,residential,False,44.066,"LINESTRING (100.3202691 6.6654661, 100.3205746 6.6652112)",ถนนป้อน 1,,,
155833286,False,unclassified,False,66.613,"LINESTRING (100.3202691 6.6654661, 100.3206586 6.6659235)",ถนนวงศ์ท่าเรือ,,,
"[232338912, 759429737]",True,secondary,False,47.261,"LINESTRING (100.3277011 6.6654614, 100.3280077 6.6652689, 100.3280585 6.6652283)",,,,
699757339,False,residential,False,72.373,"LINESTRING (100.321038 6.6656714, 100.3205746 6.6652112)",ถนนศิริมงคล,,,
