osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,width,bridge
94086895,วงเวียนหอนาฬืกา,primary,roundabout,True,False,16.287,"LINESTRING (103.3028561 16.1849439, 103.3028194 16.1849101, 103.3027736 16.1848888, 103.3027233 16.1848821)",,,
799416963,ถนนนครสวรรค์,primary,,False,False,35.963,"LINESTRING (103.2944108 16.191499, 103.2946734 16.1912965)",4,8,
112657947,,residential,,False,False,29.272,"LINESTRING (103.2974527 16.1864394, 103.2976619 16.1862693)",,,
112657947,,residential,,False,True,263.06600000000003,"LINESTRING (103.2974527 16.1864394, 103.2966327 16.1870477, 103.2960308 16.1874126, 103.2957616 16.1875758, 103.2954257 16.1877793)",,,
252952972,,residential,,False,False,235.50100000000003,"LINESTRING (103.2974527 16.1864394, 103.298021 16.1871686, 103.2982256 16.1874174, 103.2987396 16.1880258, 103.2988095 16.1881086)",,,
252952972,,residential,,False,True,217.905,"LINESTRING (103.2974527 16.1864394, 103.2970433 16.1859324, 103.296664 16.1854618, 103.2964825 16.1852189, 103.2962511 16.1848578)",,,
799416963,ถนนนครสวรรค์,primary,,False,False,243.127,"LINESTRING (103.2970339 16.1894772, 103.2988095 16.1881086)",4,8,
799416963,ถนนนครสวรรค์,primary,,False,True,53.703,"LINESTRING (103.2970339 16.1894772, 103.2966417 16.1897795)",4,8,
112660313,,unclassified,,False,False,173.212,"LINESTRING (103.2970339 16.1894772, 103.2975941 16.1900451, 103.2977174 16.1901701, 103.2981133 16.1906385)",,,
112660313,,unclassified,,False,True,255.22000000000003,"LINESTRING (103.2970339 16.1894772, 103.2963162 16.1887169, 103.2954257 16.1877793)",,,
112658972,,residential,,False,True,11.529,"LINESTRING (103.294359 16.1861519, 103.2944463 16.1860909)",,,
112660296,,residential,,False,True,26.661,"LINESTRING (103.294359 16.1861519, 103.2943052 16.1860881, 103.2942159 16.1859558)",,,yes
112660313,,unclassified,,False,False,157.02800000000002,"LINESTRING (103.294359 16.1861519, 103.2948096 16.1870177, 103.2950286 16.1873031, 103.2950876 16.1873727)",,,
112660313,,unclassified,,False,True,17.947,"LINESTRING (103.2954257 16.1877793, 103.2953236 16.1876511)",,,
112657947,,residential,,False,False,263.06600000000003,"LINESTRING (103.2954257 16.1877793, 103.2957616 16.1875758, 103.2960308 16.1874126, 103.2966327 16.1870477, 103.2974527 16.1864394)",,,
112660313,,unclassified,,False,False,255.22000000000003,"LINESTRING (103.2954257 16.1877793, 103.2963162 16.1887169, 103.2970339 16.1894772)",,,
112658972,,residential,,False,False,236.528,"LINESTRING (103.2962511 16.1848578, 103.2944463 16.1860909)",,,
112658972,,residential,,False,True,139.619,"LINESTRING (103.2962511 16.1848578, 103.2969176 16.1843767, 103.2972968 16.1841041)",,,
"[936209808, 936209809, 112660298]",,residential,,False,True,25.319000000000003,"LINESTRING (103.2962511 16.1848578, 103.2962157 16.1848131, 103.2961272 16.1847036, 103.2961063 16.1846775)",,,yes
252952972,,residential,,False,False,217.90499999999997,"LINESTRING (103.2962511 16.1848578, 103.2964825 16.1852189, 103.296664 16.1854618, 103.2970433 16.1859324, 103.2974527 16.1864394)",,,
112658975,,unclassified,,False,True,18.035,"LINESTRING (103.2942381 16.1887943, 103.2940862 16.1888652)",,,
112658975,,unclassified,,False,False,45.411,"LINESTRING (103.2942381 16.1887943, 103.2944547 16.1886808, 103.294591 16.1885701)",,,
112658987,,residential,,False,False,72.21,"LINESTRING (103.2942381 16.1887943, 103.2944956 16.1890909, 103.294638 16.1892168, 103.2947132 16.1892445)",,,
112658972,,residential,,False,False,7.573,"LINESTRING (103.2973535 16.1840632, 103.2972968 16.1841041)",,,
"[112661065, 112661061, 936286998]",,residential,,False,"[False, True]",26.397000000000002,"LINESTRING (103.2973535 16.1840632, 103.2973307 16.1840336, 103.2972341 16.183897, 103.2972442 16.1838629)",,,yes
112658975,,unclassified,,False,True,33.208,"LINESTRING (103.2953236 16.1876511, 103.2951363 16.1878895)",,,
112660313,,unclassified,,False,False,17.947,"LINESTRING (103.2953236 16.1876511, 103.2954257 16.1877793)",,,
112660313,,unclassified,,False,True,39.918,"LINESTRING (103.2953236 16.1876511, 103.2950876 16.1873727)",,,
112660308,,residential,,False,False,25.048,"LINESTRING (103.2981133 16.1906385, 103.2979022 16.1907367)",,,
112660308,,residential,,False,True,168.908,"LINESTRING (103.2981133 16.1906385, 103.2995216 16.1899469)",,,
