osmid,oneway,name,highway,reversed,length,ref,maxspeed,bridge,geometry,lanes
554697215,True,Calle Sur 5,residential,False,8.039,,,,"LINESTRING (-97.1026246 18.8462723, -97.1026487 18.8463409)",
554697216,True,Avenida Oriente 6,primary,False,95.878,MEX 150,70,,"LINESTRING (-97.1026246 18.8462723, -97.1017886 18.8466151)",
97785357,True,Calle Francisco I. Madero,residential,False,7.966,,,,"LINESTRING (-97.1044336 18.8456968, -97.1044528 18.8457661)",
554697216,True,Avenida Oriente 6,primary,False,102.522,MEX 150,70,,"LINESTRING (-97.1044336 18.8456968, -97.1035066 18.8459804)",
114024663,True,Avenida Oriente 5,residential,False,101.673,,,,"LINESTRING (-97.1032197 18.8509392, -97.1023067 18.8512384)",
851949205,True,Calle Norte 6,tertiary,False,98.32,,,,"LINESTRING (-97.1032197 18.8509392, -97.1029381 18.8500961)",
892777216,True,Calle Norte 2,residential,False,11.468,,,,"LINESTRING (-97.1058333 18.8531463, -97.1057987 18.8530485)",
892738302,True,Calle Norte 3,residential,False,100.729,,,,"LINESTRING (-97.1064706 18.8490438, -97.1062147 18.8481709)",
"[442745848, 442745825, 664815076]",True,Avenida Poniente 2,residential,False,221.57100000000003,,,yes,"LINESTRING (-97.1064706 18.8490438, -97.1068837 18.8489155, -97.1071242 18.8488378, -97.1073621 18.8487588, -97.1084599 18.8483911)",
97785418,True,Avenida Oriente 11,residential,False,96.227,,,,"LINESTRING (-97.1057987 18.8530485, -97.106665 18.8527714)",
892777216,True,Calle Norte 2,residential,False,106.926,,,,"LINESTRING (-97.1057987 18.8530485, -97.1055155 18.852125)",
508025349,True,Avenida Oriente 7,tertiary,False,94.892,,,,"LINESTRING (-97.1061072 18.8510318, -97.1052443 18.8512796)",
554697204,True,Calle Francisco I. Madero,residential,False,100.71799999999999,,,,"LINESTRING (-97.1061072 18.8510318, -97.106279 18.8515024, -97.1064083 18.8518915)",
97785387,False,Calle Norte 7,residential,True,6.497,,,,"LINESTRING (-97.1103591 18.8509521, -97.110374 18.8510088)",
487281756,True,Avenida Poniente 8,tertiary,False,13.914,,,,"LINESTRING (-97.1103591 18.8509521, -97.1102384 18.8510032)",
864533442,True,Avenida Poniente 3,residential,False,104.822,,,,"LINESTRING (-97.1086947 18.8463169, -97.1096206 18.8459693)",
442745864,True,Calle Sur 8,residential,False,111.784,,,,"LINESTRING (-97.1086947 18.8463169, -97.1090657 18.8471775, -97.1090944 18.8472483)",
442745864,True,Calle Sur 8,residential,False,61.6,,,,"LINESTRING (-97.1083438 18.8454997, -97.1085632 18.8460133)",
"[864533433, 675030746, 675030747]",True,Avenida Poniente 5,residential,False,200.192,,,yes,"LINESTRING (-97.1083438 18.8454997, -97.1074779 18.8458519, -97.1070868 18.8460139, -97.1065915 18.8462001)",
114024679,True,Avenida Poniente 10,residential,False,106.046,,,,"LINESTRING (-97.106665 18.8527714, -97.1076253 18.8524822)",
554697204,True,Calle Francisco I. Madero,residential,False,104.231,,,,"LINESTRING (-97.106665 18.8527714, -97.1070241 18.853645)",
97785441,True,Calle Sur 9,tertiary,False,87.145,,,,"LINESTRING (-97.1012756 18.847881, -97.1015333 18.8486258)",
664813082,False,Calle Norte 11,residential,False,89.21000000000001,,,,"LINESTRING (-97.1106783 18.8485051, -97.1105153 18.8481314, -97.1103636 18.8477602)",
664813083,True,Avenida Poniente 4,residential,False,104.334,,,,"LINESTRING (-97.1106783 18.8485051, -97.1097697 18.848807, -97.1097435 18.8488176)",
892738302,True,Calle Norte 3,residential,False,98.67,,,,"LINESTRING (-97.1073362 18.8515787, -97.1070444 18.8507354)",
664813079,True,Avenida Poniente 8,tertiary,False,102.865,,,,"LINESTRING (-97.1073362 18.8515787, -97.1080826 18.851364, -97.1082681 18.8513001)",
664815077,False,Calle Norte 11,residential,False,100.202,,,,"LINESTRING (-97.1103636 18.8477602, -97.1100459 18.8469107)",
664813082,False,Calle Norte 11,residential,True,89.21000000000001,,,,"LINESTRING (-97.1103636 18.8477602, -97.1105153 18.8481314, -97.1106783 18.8485051)",
851949201,True,Avenida Oriente 9,tertiary,False,97.877,,30,,"LINESTRING (-97.1046311 18.8523976, -97.1055155 18.852125)",
892715210,True,Calle Norte 4,residential,False,120.607,,,,"LINESTRING (-97.1046311 18.8523976, -97.1049249 18.853446)",2
