osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,maxspeed,bridge
405585257,2,Calle Leonardo Prado,residential,False,False,99.475,,"LINESTRING (-115.3043796 32.558895, -115.3041344 32.5597654)",,
756019803,2,Calzada Rodolfo Sánchez Taboada,trunk,True,False,159.308,MEX 2,"LINESTRING (-115.3043796 32.558895, -115.3054804 32.5591194, -115.3060318 32.5592318)",,
756019804,2,Calzada Rodolfo Sánchez Taboada,trunk,True,False,128.744,MEX 2,"LINESTRING (-115.302659 32.5583954, -115.3013325 32.5580945)",,
756019808,2,Carretera Enlace a Islas Agrarias-Ejido Cuernavaca,tertiary,False,True,12.486,BC 128,"LINESTRING (-115.302659 32.5583954, -115.3026201 32.5585028)",60,
405585256,2,Calle Ignacio Sánchez,residential,False,True,14.854,,"LINESTRING (-115.3075165 32.5594172, -115.3074749 32.5595461)",,
756019804,2,Calzada Rodolfo Sánchez Taboada,trunk,True,False,152.945,MEX 2,"LINESTRING (-115.3075165 32.5594172, -115.3059339 32.5590815)",,
405585256,2,Calle Ignacio Sánchez,residential,False,False,14.854,,"LINESTRING (-115.3074749 32.5595461, -115.3075165 32.5594172)",,
405585256,2,Calle Ignacio Sánchez,residential,False,True,100.94,,"LINESTRING (-115.3074749 32.5595461, -115.3071973 32.5604232)",,
756019803,2,Calzada Rodolfo Sánchez Taboada,trunk,True,False,174.224,MEX 2,"LINESTRING (-115.3074749 32.5595461, -115.3092691 32.5599562)",,
372885108,2,Calle 27 de Enero,residential,False,True,97.111,,"LINESTRING (-115.3095524 32.5653264, -115.3098124 32.564481)",,
697784810,,Avenida David Rubio,residential,False,True,175.2,,"LINESTRING (-115.3095524 32.5653264, -115.3077331 32.5649636)",,
372885060,,Avenida Rubén Jaramillo,residential,False,False,140.797,,"LINESTRING (-115.304754 32.5634239, -115.3062076 32.563744)",,
372885060,,Avenida Rubén Jaramillo,residential,False,True,153.562,,"LINESTRING (-115.304754 32.5634239, -115.3031661 32.563083)",,
372885062,2,Calle Lázaro Cárdenas,residential,False,False,97.31,,"LINESTRING (-115.304754 32.5634239, -115.3044748 32.5642668)",,
372885062,2,Calle Lázaro Cárdenas,residential,False,True,95.201,,"LINESTRING (-115.304754 32.5634239, -115.305026 32.562599)",,
756027061,,,residential,False,True,402.642,,"LINESTRING (-115.3061024 32.5585335, -115.30214 32.5571341)",,
372885065,2,,residential,False,False,62.955,,"LINESTRING (-115.3061024 32.5585335, -115.3060539 32.5586761, -115.3059339 32.5590815)",,
372885065,2,,residential,False,True,70.57,,"LINESTRING (-115.3061024 32.5585335, -115.3063742 32.5583209, -115.3065894 32.5580547)",,
372885064,,Calle Álamo Ocho,residential,False,False,77.91900000000001,,"LINESTRING (-115.3023103 32.5565292, -115.3020488 32.556944, -115.3020331 32.5570283, -115.3020716 32.5571, -115.30214 32.5571341)",,
372885097,,Calle Estación Sesvania,residential,False,False,435.46299999999997,,"LINESTRING (-115.3023103 32.5565292, -115.3040859 32.5571837, -115.3065894 32.5580547)",,
372885062,2,Calle Lázaro Cárdenas,residential,False,False,94.931,,"LINESTRING (-115.3044748 32.5642668, -115.3041705 32.5650811)",,
372885062,2,Calle Lázaro Cárdenas,residential,False,True,97.31,,"LINESTRING (-115.3044748 32.5642668, -115.304754 32.5634239)",,
697784810,,Avenida David Rubio,residential,False,False,142.261,,"LINESTRING (-115.3044748 32.5642668, -115.3059468 32.5645795)",,
