osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,access,geometry
885682042,True,2,Calle 46,tertiary,40,False,8.874,,,"LINESTRING (-88.2048584 20.6896935, -88.2048591 20.6896137)"
885696016,True,2,Calle 41,primary,60,False,145.272,MEX 180,yes,"LINESTRING (-88.2048584 20.6896935, -88.2042363 20.6897005, -88.2034625 20.6896724)"
507846490,True,2,Calle 42,primary,40,False,132.199,MEX 295,,"LINESTRING (-88.2022641 20.6896761, -88.2022604 20.6895247, -88.2022465 20.6891768, -88.2021961 20.6884891)"
885696015,True,2,Calle 41,primary,60,False,125.23599999999999,MEX 180,yes,"LINESTRING (-88.2022641 20.6896761, -88.2019153 20.6896813, -88.2012096 20.6896678, -88.2010609 20.6896561)"
53297711,True,2,Calle 39,primary,40,False,132.644,MEX 180,yes,"LINESTRING (-88.202334 20.690765, -88.2024049 20.6907611, -88.2030389 20.6907526, -88.2034567 20.690747, -88.2036089 20.6907449)"
507846490,True,2,Calle 42,primary,40,False,121.302,MEX 295,,"LINESTRING (-88.202334 20.690765, -88.2023214 20.6905404, -88.2023153 20.6904281, -88.2022698 20.6897849, -88.2022641 20.6896761)"
507846490,True,2,Calle 42,primary,40,False,136.811,MEX 295,,"LINESTRING (-88.2025351 20.6931677, -88.2024158 20.6919424)"
384268315,False,,Calle 33,tertiary,40,False,9.658,,,"LINESTRING (-88.2063263 20.6944945, -88.2062346 20.6945081)"
363250381,True,,Calle 48,residential,40,False,115.88999999999999,,,"LINESTRING (-88.20627 20.6886834, -88.2062979 20.6888412, -88.2063232 20.6890084, -88.2062882 20.6896696, -88.2062873 20.689721)"
318165653,True,,Calle 44,residential,,False,120.227,,,"LINESTRING (-88.2034625 20.6896724, -88.2035409 20.6902683, -88.2036089 20.6907449)"
885696016,True,2,Calle 41,primary,60,False,124.67699999999999,MEX 180,yes,"LINESTRING (-88.2034625 20.6896724, -88.2030425 20.6896686, -88.2028468 20.6896656, -88.2023872 20.689674, -88.2022641 20.6896761)"
26996154,True,2,Calle 40,primary,40,False,126.60999999999999,MEX 295,,"LINESTRING (-88.2010609 20.6896561, -88.2010876 20.6898101, -88.2011184 20.6902494, -88.2011216 20.6906383, -88.2011343 20.6907913)"
50548503,True,2,Calle 41,primary,60,False,181.61499999999998,MEX 180,yes,"LINESTRING (-88.2010609 20.6896561, -88.2007972 20.6896578, -88.1993162 20.6896022)"
26996154,True,2,Calle 40,primary,40,False,128.773,MEX 295,,"LINESTRING (-88.2011343 20.6907913, -88.201146 20.6909509, -88.2011736 20.6912696, -88.2012273 20.6919461)"
53297711,True,2,Calle 39,primary,40,False,124.84200000000001,MEX 180,yes,"LINESTRING (-88.2011343 20.6907913, -88.2012723 20.6907862, -88.2014111 20.6907816, -88.2021983 20.6907633, -88.202334 20.690765)"
318165653,True,,Calle 44,residential,,False,156.559,,,"LINESTRING (-88.2031756 20.6871353, -88.2033262 20.6885362)"
360441633,False,2,Calle 45,residential,20,False,112.30600000000001,,,"LINESTRING (-88.2031756 20.6871353, -88.2021958 20.6872056, -88.2020991 20.6872117)"
360441633,False,2,Calle 45,residential,20,True,152.876,,,"LINESTRING (-88.2031756 20.6871353, -88.2033488 20.6871212, -88.2045499 20.6870334, -88.2046407 20.687028)"
885682041,True,,Calle 46,residential,40,False,166.80800000000002,,,"LINESTRING (-88.2047393 20.6885253, -88.2046632 20.687369, -88.2046407 20.687028)"
355836119,True,,Calle 46,residential,40,False,121.222,,,"LINESTRING (-88.2049352 20.6907813, -88.2048584 20.6896935)"
53297711,True,2,Calle 39,primary,40,False,136.37,MEX 180,yes,"LINESTRING (-88.2049352 20.6907813, -88.205541 20.6907801, -88.2062451 20.690744)"
235872015,True,,Calle 48,residential,40,False,136.358,,,"LINESTRING (-88.2063115 20.6919207, -88.2062698 20.6926887, -88.2062697 20.6931263, -88.2062675 20.6931459)"
619248581,True,,Calle 37,tertiary,40,False,125.274,,,"LINESTRING (-88.2063115 20.6919207, -88.2056775 20.6919209, -88.2051072 20.691921)"
619248581,True,,Calle 37,tertiary,40,False,186.533,,,"LINESTRING (-88.2012273 20.6919461, -88.1994341 20.6919442)"
26996154,True,2,Calle 40,primary,40,False,138.996,MEX 295,,"LINESTRING (-88.2012273 20.6919461, -88.2012573 20.6923058, -88.2013166 20.6931933)"
507846490,True,2,Calle 42,primary,40,False,131.2,MEX 295,,"LINESTRING (-88.2024158 20.6919424, -88.202338 20.6908558, -88.202334 20.690765)"
619248581,True,,Calle 37,tertiary,40,False,123.644,,,"LINESTRING (-88.2024158 20.6919424, -88.2017138 20.6919526, -88.2012273 20.6919461)"
227823242,True,,Calle 35,residential,40,False,126.784,,,"LINESTRING (-88.2013166 20.6931933, -88.2013867 20.6931933, -88.2018474 20.6931816, -88.2025054 20.6931684, -88.2025351 20.6931677)"
"[355835997, 318165653]",True,,Calle 44,residential,,False,140.258,,,"LINESTRING (-88.2037931 20.6919293, -88.2039031 20.6929866, -88.2039252 20.6931846)"
619248581,True,,Calle 37,tertiary,40,False,143.317,,,"LINESTRING (-88.2037931 20.6919293, -88.202973 20.691952, -88.2024158 20.6919424)"
53297711,True,2,Calle 39,primary,40,False,138.026,MEX 180,yes,"LINESTRING (-88.2036089 20.6907449, -88.2043761 20.6907684, -88.2047921 20.690778, -88.2049352 20.6907813)"
318165653,True,,Calle 44,residential,,False,133.088,,,"LINESTRING (-88.2036089 20.6907449, -88.2036378 20.6909436, -88.2036496 20.6910169, -88.2037931 20.6919293)"
50548503,True,2,Calle 41,primary,60,False,131.038,MEX 180,yes,"LINESTRING (-88.1981547 20.6895768, -88.1974985 20.6895783, -88.1971368 20.6895725, -88.1968951 20.6895686)"
360883005,True,1,Calle 36,residential,40,False,140.669,,,"LINESTRING (-88.1981547 20.6895768, -88.1981454 20.690075, -88.1981384 20.6907395, -88.1981324 20.6908416)"
53297711,True,2,Calle 39,primary,40,False,131.65800000000002,MEX 180,yes,"LINESTRING (-88.1981324 20.6908416, -88.1985857 20.6908429, -88.1993976 20.6908173)"
360883005,True,1,Calle 36,residential,40,False,129.202,,,"LINESTRING (-88.1981324 20.6908416, -88.1980781 20.6916151, -88.1980488 20.6919561, -88.1980461 20.6920007)"
53297711,True,2,Calle 39,primary,40,False,123.922,MEX 180,yes,"LINESTRING (-88.1969412 20.6908383, -88.1972533 20.6908434, -88.1974113 20.6908405, -88.1976306 20.6908418, -88.1981324 20.6908416)"
355835996,True,1,Calle 38,residential,40,False,157.606,,,"LINESTRING (-88.1991649 20.6873204, -88.1990169 20.6859098)"
329383687,True,,Calle 45,residential,40,False,120.973,,,"LINESTRING (-88.1991649 20.6873204, -88.1980589 20.687326, -88.198002 20.6873254)"
26996154,True,2,Calle 40,primary,40,False,141.69,MEX 295,,"LINESTRING (-88.2008436 20.6872428, -88.2009586 20.6885125)"
329383687,True,,Calle 45,residential,40,False,174.868,,,"LINESTRING (-88.2008436 20.6872428, -88.1996898 20.687309, -88.1992691 20.6873179, -88.1991649 20.6873204)"
329383687,True,,Calle 45,residential,40,False,130.65699999999998,,,"LINESTRING (-88.2020991 20.6872117, -88.2009516 20.6872435, -88.2008436 20.6872428)"
360441633,False,2,Calle 45,residential,20,True,112.30600000000001,,,"LINESTRING (-88.2020991 20.6872117, -88.2021958 20.6872056, -88.2031756 20.6871353)"
