osmid,oneway,name,highway,reversed,length,junction,geometry,bridge,lanes
739611085,True,Avenida de la Cantera,tertiary,False,180.231,,"LINESTRING (-101.3085489 19.6762569, -101.308848 19.6746607)",,
860695576,True,,tertiary,False,14.352,roundabout,"LINESTRING (-101.3085489 19.6762569, -101.3085074 19.676239, -101.3084619 19.6762347, -101.3084174 19.6762445)",,
185461820,True,Avenida de los Metales,tertiary,False,127.725,,"LINESTRING (-101.3089579 19.6732622, -101.3077566 19.6730626)",,
185461832,True,Avenida de la Cantera,tertiary,False,8.887,,"LINESTRING (-101.3089579 19.6732622, -101.3089437 19.673341)",,
185461820,True,Avenida de los Metales,tertiary,False,14.968,,"LINESTRING (-101.3090987 19.6732855, -101.3089579 19.6732622)",,
739611085,True,Avenida de la Cantera,tertiary,False,40.498,,"LINESTRING (-101.3090987 19.6732855, -101.3091651 19.6729267)",,
739611085,True,Avenida de la Cantera,tertiary,False,8.86,,"LINESTRING (-101.3090842 19.673364, -101.3090987 19.6732855)",,
860695577,True,,tertiary,False,11.345,roundabout,"LINESTRING (-101.3056811 19.6727184, -101.3056651 19.6726879, -101.3056405 19.6726631, -101.3056092 19.672646)",,
185461832,True,Avenida de la Cantera,tertiary,False,146.327,,"LINESTRING (-101.3089437 19.673341, -101.3087124 19.6746388)",,
185461845,True,Avenida de los Metales,tertiary,False,14.932,,"LINESTRING (-101.3089437 19.673341, -101.3090842 19.673364)",,
185939739,True,Avenida de la Cantera,tertiary,False,7.685,,"LINESTRING (-101.3083681 19.6772662, -101.30838 19.677198)",,
185940687,True,Calle Amazonita Oriente,residential,False,35.775999999999996,,"LINESTRING (-101.3083681 19.6772662, -101.3086424 19.6773071, -101.3087052 19.6773186)",,
185939744,False,Calle Barita,residential,True,36.306,,"LINESTRING (-101.3048604 19.6789768, -101.3047942 19.6792973)",,
185940701,True,Avenida Del Murano,tertiary,False,180.913,,"LINESTRING (-101.3048604 19.6789768, -101.3065649 19.6792437)",,
185939736,False,Calle Tanzanita,residential,False,92.412,,"LINESTRING (-101.3046621 19.6799913, -101.3055317 19.6801336)",,
185939744,False,Calle Barita,residential,False,39.097,,"LINESTRING (-101.3046621 19.6799913, -101.3047291 19.6796454)",,
185939748,True,Avenida de la Cantera,tertiary,False,38.157,,"LINESTRING (-101.3078204 19.6794386, -101.3077545 19.6797761)",,
185940701,True,Avenida Del Murano,tertiary,False,15.264,,"LINESTRING (-101.3078204 19.6794386, -101.3079634 19.6794653)",,
860695576,True,,tertiary,False,6.747999999999999,roundabout,"LINESTRING (-101.3084174 19.6762445, -101.3083893 19.6762593, -101.3083655 19.6762798)",,
185939727,True,,tertiary,False,15.625,roundabout,"LINESTRING (-101.3083735 19.676465, -101.3084234 19.6764892, -101.3084692 19.676497, -101.3085152 19.6764902)",,
185939748,True,Avenida de la Cantera,tertiary,False,178.027,,"LINESTRING (-101.3083735 19.676465, -101.3083444 19.6765995, -101.308221 19.6772567, -101.3080817 19.6780422)",,
185940701,True,Avenida Del Murano,tertiary,False,126.793,,"LINESTRING (-101.3066253 19.6792544, -101.3078204 19.6794386)",,
717644948,True,Calle De La Turquesa,residential,False,11.714,,"LINESTRING (-101.3066253 19.6792544, -101.3066537 19.6791525)",,
185939739,True,Avenida de la Cantera,tertiary,False,10.346,,"LINESTRING (-101.3079634 19.6794653, -101.3079813 19.6793738)",,
"[296686557, 185940701]",True,Avenida Del Murano,tertiary,False,151.904,,"LINESTRING (-101.3079634 19.6794653, -101.3092736 19.6796814, -101.3093103 19.6796743, -101.3093311 19.6796453, -101.3093379 19.6796024)",,
185939757,False,Calle De La Andalucita,residential,False,132.079,,"LINESTRING (-101.306511 19.6795762, -101.3077545 19.6797761)",,
185939757,False,Calle De La Andalucita,residential,True,90.956,,"LINESTRING (-101.306511 19.6795762, -101.3056548 19.6794378)",,
185940697,False,Calle De La Turquesa,residential,False,39.109,,"LINESTRING (-101.306511 19.6795762, -101.3064494 19.6799231)",,
185940697,False,Calle De La Turquesa,residential,True,31.979,,"LINESTRING (-101.306511 19.6795762, -101.3065789 19.6792958)",,
185939746,False,Calle De La Anglesita,residential,False,39.376,,"LINESTRING (-101.305593 19.6797871, -101.3056548 19.6794378)",,
185939746,False,Calle De La Anglesita,residential,True,39.06,,"LINESTRING (-101.305593 19.6797871, -101.3055317 19.6801336)",,
185939754,False,Calle Unaquita,residential,False,90.931,,"LINESTRING (-101.305593 19.6797871, -101.3064494 19.6799231)",,
185939754,False,Calle Unaquita,residential,True,91.813,,"LINESTRING (-101.305593 19.6797871, -101.3047291 19.6796454)",,
860695576,True,,tertiary,False,6.85,roundabout,"LINESTRING (-101.3085928 19.676302, -101.3085737 19.676277, -101.3085489 19.6762569)",,
185939736,False,Calle Tanzanita,residential,True,90.905,,"LINESTRING (-101.3063865 19.6802769, -101.3055317 19.6801336)",,
185940697,False,Calle De La Turquesa,residential,True,39.888,,"LINESTRING (-101.3063865 19.6802769, -101.3064494 19.6799231)",,
