osmid,oneway,lanes,highway,reversed,length,geometry,name,bridge,maxspeed,ref,tunnel
"[847588853, 24963127]",True,"['2', '1']",primary_link,False,259.424,"LINESTRING (-99.2310697 19.4784465, -99.2311435 19.4788219, -99.2311497 19.4788534, -99.23117 19.4789629, -99.2311832 19.4790717, -99.2311851 19.4790872, -99.2311969 19.4792932, -99.2311964 19.4804716, -99.2312593 19.4807639)",,,,,
"[24963096, 67828492, 24963100, 24963108]",True,3,primary,False,237.82999999999998,"LINESTRING (-99.2310697 19.4784465, -99.2313068 19.4789056, -99.2314697 19.4792212, -99.2317048 19.4796764, -99.2318196 19.4798897, -99.2320757 19.4803635)",Periférico Boulevard Manuel Ávila Camacho,yes,80,,
845858787,True,1,motorway_link,False,18.023,"LINESTRING (-99.2297301 19.4758463, -99.2298779 19.4759291)",,,,,
67828492,True,3,primary,False,321.47599999999994,"LINESTRING (-99.2297301 19.4758463, -99.2297766 19.4759394, -99.2300133 19.4763792, -99.2302187 19.4767693, -99.2303141 19.4769618, -99.2303987 19.4771389, -99.2304216 19.4771869, -99.2305074 19.4773664, -99.2305633 19.4774836, -99.2309281 19.4781773, -99.2310697 19.4784465)",Periférico Boulevard Manuel Ávila Camacho,,,,
847225874,True,2,primary,False,171.959,"LINESTRING (-99.2312593 19.4807639, -99.2307681 19.4822394)",Calle Vía Doctor Gustavo Baz Prada,,60,,
846483699,True,3,primary,False,76.926,"LINESTRING (-99.231879 19.4803667, -99.2322874 19.479845, -99.2323148 19.4798101)",Calle Vía Doctor Gustavo Baz Prada,,,,
846483700,True,3,primary,False,39.03,"LINESTRING (-99.2315408 19.4808244, -99.2317424 19.4805293)",Calle Vía Doctor Gustavo Baz Prada,,,,
776843685,True,1,primary_link,False,89.49799999999999,"LINESTRING (-99.2315408 19.4808244, -99.2316069 19.4806269, -99.2315935 19.4805599, -99.2315666 19.4805182, -99.2315251 19.4804929, -99.2314768 19.480479, -99.2314339 19.4804803, -99.2313709 19.4805081, -99.2313212 19.4805675, -99.2312593 19.4807639)",,,,,
425039918,True,3,primary,False,89.469,"LINESTRING (-99.2309698 19.482347, -99.2310168 19.4821852, -99.2312055 19.4815737)",Calle Vía Doctor Gustavo Baz Prada,,60,,
224752839,True,2,secondary,False,73.101,"LINESTRING (-99.2327896 19.4764628, -99.2334453 19.4766865)",Calle José Becerril,,,,
776045998,True,3,primary,False,52.893,"LINESTRING (-99.2327896 19.4764628, -99.232721 19.4766734, -99.2326414 19.4769175)",Avenida Doctor Gustavo Baz Prada,,50,,
128213428,True,,residential,False,166.288,"LINESTRING (-99.232412 19.4776342, -99.2322627 19.4777392, -99.2321795 19.4777733, -99.232069 19.4777955, -99.2319456 19.4777905, -99.231721 19.4777342, -99.2312545 19.4776059, -99.231163 19.4775748, -99.2311255 19.4775573, -99.2309472 19.4774435)",Entronque al Periférico,,50,,
846483701,True,3,primary,False,123.626,"LINESTRING (-99.232412 19.4776342, -99.2322419 19.4780499, -99.2321031 19.4782563, -99.2320529 19.4783199, -99.231957 19.4784417, -99.2318575 19.478559, -99.2318318 19.4785917)",Calle Vía Doctor Gustavo Baz Prada,,,,
850527135,True,3,primary,False,74.56,"LINESTRING (-99.2318318 19.4785917, -99.2318207 19.4786051, -99.2313949 19.4791208)",Calle Vía Doctor Gustavo Baz Prada,,,,
"[24963097, 24963098]",True,2,primary_link,False,176.76199999999994,"LINESTRING (-99.2313949 19.4791208, -99.2313991 19.4793948, -99.2314061 19.4796794, -99.2314259 19.4799436, -99.2314594 19.4800125, -99.2315009 19.4800561, -99.2315593 19.4800905, -99.231631 19.4801256, -99.2317113 19.4801526, -99.2318282 19.4801901, -99.2319001 19.480224, -99.2319676 19.4802615, -99.2320757 19.4803635)",,yes,60,,
771978105,True,2,primary,False,114.533,"LINESTRING (-99.2313949 19.4791208, -99.2313543 19.4791879, -99.2313345 19.4792291, -99.2313028 19.4793194, -99.2312724 19.4794492, -99.2312532 19.4795985, -99.2312683 19.4801274)",Calle Vía Doctor Gustavo Baz Prada,,,,
"[776843686, 776843687]",True,1,motorway_link,False,310.77099999999996,"LINESTRING (-99.2313949 19.4791208, -99.231376 19.4791816, -99.2313576 19.4792334, -99.2313337 19.4792929, -99.2313266 19.479341, -99.2313137 19.4796029, -99.2313155 19.4799247, -99.2313312 19.4800155, -99.2313623 19.4801028, -99.2313956 19.4801686, -99.2314731 19.4802528, -99.2315226 19.4802949, -99.2315697 19.4803258, -99.231608 19.4803467, -99.2316924 19.4803717, -99.2317556 19.4803862, -99.2318674 19.4804189, -99.2319281 19.4804573, -99.2319653 19.4804957, -99.2320095 19.480552, -99.2321039 19.4807603, -99.2321307 19.480806, -99.2321547 19.48084, -99.2322354 19.4809255, -99.2324644 19.4811492, -99.2325667 19.4812603, -99.2325953 19.4812966, -99.2326219 19.4813314, -99.2326306 19.4813401, -99.2326449 19.4813475)",,yes,,,
"[24963100, 845500774]",True,3,primary,False,34.232,"LINESTRING (-99.2320757 19.4803635, -99.2320837 19.480378, -99.2322045 19.4806045, -99.2322227 19.4806384)","['Periférico Boulevard Manuel Ávila Camacho', 'Boulevard Manuel Ávila Camacho']",yes,80,,
771978104,True,2,primary,False,9.409,"LINESTRING (-99.2324436 19.4796235, -99.2324801 19.4795462)",Calle Vía Doctor Gustavo Baz Prada,,,,
