osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
842858577,False,,,Calle Matamoros,residential,,False,7.377,"LINESTRING (-99.2669845 19.02978, -99.2669764 19.0298459)"
842858577,False,,,Calle Matamoros,residential,,True,93.484,"LINESTRING (-99.2669845 19.02978, -99.2670187 19.0289399)"
"[113603498, 784936723]",False,,,Privada Corregidora,residential,,True,95.048,"LINESTRING (-99.2669845 19.02978, -99.2674774 19.0298273, -99.2674937 19.0298121, -99.2675069 19.0297855, -99.2676197 19.0294675)"
113603497,False,,,Calle Rayón,residential,,False,45.42,"LINESTRING (-99.2703607 19.0297059, -99.2703527 19.0292975)"
113603497,False,,,Calle Rayón,residential,,True,88.874,"LINESTRING (-99.2703607 19.0297059, -99.2704358 19.030502)"
784944128,False,,,Calle Netzahualcóyotl,residential,,False,64.176,"LINESTRING (-99.2703607 19.0297059, -99.2709712 19.0297089)"
784944128,False,,,Calle Netzahualcóyotl,residential,,True,169.746,"LINESTRING (-99.2703607 19.0297059, -99.2696419 19.0297639, -99.2687487 19.0297817)"
113603487,False,,,Calle Matamoros,residential,,True,73.828,"LINESTRING (-99.2668795 19.0283038, -99.2668712 19.0289677)"
113603493,False,,,Calle Morelos,residential,,True,163.76,"LINESTRING (-99.2668795 19.0283038, -99.2653224 19.0283495)"
113603487,False,,,Calle Matamoros,residential,,False,29.055,"LINESTRING (-99.2668795 19.0283038, -99.26689 19.0281158, -99.2668632 19.0280473)"
113603487,False,,,Calle Matamoros,residential,,False,91.56,"LINESTRING (-99.2666593 19.0274717, -99.2666808 19.0271903, -99.2666674 19.0271294, -99.2664689 19.0268454, -99.2664233 19.0267136)"
113603487,False,,,Calle Matamoros,residential,,True,68.849,"LINESTRING (-99.2666593 19.0274717, -99.2666969 19.0277506, -99.2667854 19.0279484, -99.2668632 19.0280473)"
843189898,False,,,Calle Benito Juárez,residential,,False,145.296,"LINESTRING (-99.2666593 19.0274717, -99.2659619 19.0275579, -99.2652833 19.0275757)"
843189898,False,,,Calle Benito Juárez,residential,,True,165.226,"LINESTRING (-99.2666593 19.0274717, -99.2668363 19.0275376, -99.2669544 19.027563, -99.2670509 19.027563, -99.2672145 19.0275275, -99.2673004 19.0275174, -99.2682096 19.0274945)"
113603478,False,2,,Calle Hidalgo,tertiary,,False,92.14500000000001,"LINESTRING (-99.2652833 19.0275757, -99.2650661 19.0273804, -99.2650312 19.027312, -99.2650312 19.0272232, -99.2651267 19.0268535)"
113603478,False,2,,Calle Hidalgo,tertiary,,True,41.712,"LINESTRING (-99.2652833 19.0275757, -99.2653719 19.0276999, -99.2653745 19.0277608, -99.265349 19.0279234)"
843189898,False,,,Calle Benito Juárez,residential,,True,145.296,"LINESTRING (-99.2652833 19.0275757, -99.2659619 19.0275579, -99.2666593 19.0274717)"
113603464,False,,,Calle Morelos,residential,,False,124.992,"LINESTRING (-99.2668632 19.0280473, -99.2673674 19.0279662, -99.2675686 19.0279586, -99.2680444 19.027978)"
113603487,False,,,Calle Matamoros,residential,,False,68.849,"LINESTRING (-99.2668632 19.0280473, -99.2667854 19.0279484, -99.2666969 19.0277506, -99.2666593 19.0274717)"
113603487,False,,,Calle Matamoros,residential,,True,29.055,"LINESTRING (-99.2668632 19.0280473, -99.26689 19.0281158, -99.2668795 19.0283038)"
113603492,False,,,Calle Benito Juárez,residential,,True,34.523,"LINESTRING (-99.2682096 19.0274945, -99.268538 19.0274913)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,False,60.178999999999995,"LINESTRING (-99.2682096 19.0274945, -99.2681909 19.0278039, -99.2681835 19.0278419, -99.2681667 19.0278774, -99.2681211 19.0279231, -99.2680444 19.027978)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,True,87.727,"LINESTRING (-99.2682096 19.0274945, -99.268207 19.026853, -99.2682002 19.0268093, -99.2681855 19.0267719, -99.2681453 19.0267212)"
843189898,False,,,Calle Benito Juárez,residential,,False,165.226,"LINESTRING (-99.2682096 19.0274945, -99.2673004 19.0275174, -99.2672145 19.0275275, -99.2670509 19.027563, -99.2669544 19.027563, -99.2668363 19.0275376, -99.2666593 19.0274717)"
113603472,False,,,,residential,,True,144.69600000000003,"LINESTRING (-99.2676326 19.0250259, -99.2672816 19.0250045, -99.2672145 19.0250096, -99.2670348 19.0250704, -99.2669651 19.0250806, -99.2662691 19.0250742)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,False,209.878,"LINESTRING (-99.2676326 19.0250259, -99.2676678 19.0254736, -99.2676678 19.0257246, -99.2676678 19.0261811, -99.2676759 19.0262673, -99.2677027 19.0263383, -99.2677483 19.0263991, -99.2679417 19.026556, -99.2681453 19.0267212)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,True,82.3,"LINESTRING (-99.2676326 19.0250259, -99.2676275 19.0249624, -99.267612 19.0247706, -99.267573 19.0242879)"
113603487,False,,,Calle Matamoros,residential,,True,10.375,"LINESTRING (-99.2662691 19.0250742, -99.266257 19.0251668)"
113603472,False,,,,residential,,False,144.696,"LINESTRING (-99.2662691 19.0250742, -99.2669651 19.0250806, -99.2670348 19.0250704, -99.2672145 19.0250096, -99.2672816 19.0250045, -99.2676326 19.0250259)"
113603471,False,,,Calle Cuauhtémoc,residential,,True,79.497,"LINESTRING (-99.2703527 19.0292975, -99.2709712 19.0297089)"
113603497,False,,,Calle Rayón,residential,,True,45.42,"LINESTRING (-99.2703527 19.0292975, -99.2703607 19.0297059)"
113603471,False,,,Calle Cuauhtémoc,residential,,False,178.98100000000002,"LINESTRING (-99.2703527 19.0292975, -99.2701113 19.0291909, -99.2698619 19.0291224, -99.2693469 19.0290463, -99.2691109 19.0290311, -99.268693 19.0290066)"
113603497,False,,,Calle Rayón,residential,,False,123.98400000000001,"LINESTRING (-99.2703527 19.0292975, -99.2703715 19.029021, -99.27035 19.028879, -99.2702937 19.0286888, -99.2702669 19.0285342, -99.2702307 19.0281956)"
113603502,False,,,Calle Emiliano Zapata,residential,,True,88.726,"LINESTRING (-99.266367 19.029092, -99.2664517 19.0298859)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,False,54.773,"LINESTRING (-99.266367 19.029092, -99.2668712 19.0289677)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,True,94.43199999999999,"LINESTRING (-99.266367 19.029092, -99.2656481 19.0292036, -99.2654845 19.0292466)"
842852274,False,2,,Calle Lázaro Cárdenas,tertiary,,False,13.572,"LINESTRING (-99.2654845 19.0292466, -99.2653557 19.0292551)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,False,94.43199999999999,"LINESTRING (-99.2654845 19.0292466, -99.2656481 19.0292036, -99.266367 19.029092)"
843193027,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,True,27.607,"LINESTRING (-99.2654845 19.0292466, -99.2654389 19.0293582, -99.265388 19.0294775)"
113603502,False,,,Calle Emiliano Zapata,residential,,False,88.726,"LINESTRING (-99.2664517 19.0298859, -99.266367 19.029092)"
113603502,False,,,Calle Emiliano Zapata,residential,,True,83.469,"LINESTRING (-99.2664517 19.0298859, -99.2665455 19.0306313)"
784932852,False,,,Calle Corregidora,residential,,False,106.478,"LINESTRING (-99.2664517 19.0298859, -99.2654397 19.0299271)"
784932852,False,,,Calle Corregidora,residential,,True,55.335,"LINESTRING (-99.2664517 19.0298859, -99.2669764 19.0298459)"
113603478,False,2,,Calle Hidalgo,tertiary,,False,47.463,"LINESTRING (-99.2653224 19.0283495, -99.265349 19.0279234)"
113603478,False,2,,Calle Hidalgo,tertiary,,True,100.759,"LINESTRING (-99.2653224 19.0283495, -99.2653557 19.0292551)"
113603493,False,,,Calle Morelos,residential,,False,163.76,"LINESTRING (-99.2653224 19.0283495, -99.2668795 19.0283038)"
113603471,False,,,Calle Cuauhtémoc,residential,,False,79.497,"LINESTRING (-99.2709712 19.0297089, -99.2703527 19.0292975)"
784944128,False,,,Calle Netzahualcóyotl,residential,,True,64.176,"LINESTRING (-99.2709712 19.0297089, -99.2703607 19.0297059)"
