osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,bridge,geometry
847215061,Avenida Independencia,unclassified,40,False,True,34.91,,,,"LINESTRING (-98.1953944 19.2399656, -98.1950645 19.2399262)"
"[847290840, 847264089, 95561742]",Carretera Puebla - Belem,trunk,,True,False,242.344,2,MEX 121,yes,"LINESTRING (-98.1953944 19.2399656, -98.1952826 19.2408143, -98.1952106 19.2413279, -98.1951366 19.242131)"
31866578,Avenida Reforma,secondary,,False,False,13.769,2,,,"LINESTRING (-98.1953998 19.2447304, -98.1952691 19.2447201)"
847264088,Carretera Puebla - Belem,trunk,,True,False,182.98,2,MEX 121,,"LINESTRING (-98.1953998 19.2447304, -98.1953831 19.244594, -98.1952899 19.2430883)"
31867083,Avenida Benito Juárez,tertiary,,False,True,7.611,2,,,"LINESTRING (-98.1952758 19.2421632, -98.1953467 19.2421775)"
917733389,Avenida Benito Juárez,tertiary,40,False,False,15.046,,,,"LINESTRING (-98.1952758 19.2421632, -98.1951366 19.242131)"
"[847264088, 847290841, 95561770]",Carretera Puebla - Belem,trunk,,True,False,235.08100000000002,2,MEX 121,yes,"LINESTRING (-98.1952758 19.2421632, -98.1952877 19.2419438, -98.1953362 19.2413464, -98.1953908 19.240837, -98.1954513 19.2404883, -98.1955104 19.240062)"
31866578,Avenida Reforma,secondary,,False,True,13.769,2,,,"LINESTRING (-98.1952691 19.2447201, -98.1953998 19.2447304)"
905241308,Avenida Reforma,secondary,,True,False,165.242,2,,,"LINESTRING (-98.1952691 19.2447201, -98.193749 19.2443345)"
847264089,Carretera Puebla - Belem,trunk,,True,False,130.747,2,MEX 121,,"LINESTRING (-98.1952691 19.2447201, -98.1953464 19.2457686, -98.1953555 19.2458931)"
31754100,Calle Lázaro Cárdenas,residential,40,False,False,102.898,,,,"LINESTRING (-98.1933571 19.2442445, -98.1930756 19.2451309)"
31754100,Calle Lázaro Cárdenas,residential,40,False,True,88.938,,,,"LINESTRING (-98.1933571 19.2442445, -98.1936334 19.2434884)"
