osmid,oneway,highway,reversed,length,geometry,ref
153946324,True,secondary,False,121.138,"LINESTRING (-111.8443351 25.4020684, -111.8438566 25.4010684)",
681111817,False,residential,False,111.099,"LINESTRING (-111.8443351 25.4020684, -111.8453449 25.4016607)",
681111819,False,residential,True,17.856,"LINESTRING (-111.8443351 25.4020684, -111.8441723 25.4021329)",
681111819,False,residential,False,17.856,"LINESTRING (-111.8441723 25.4021329, -111.8443351 25.4020684)",
222731054,False,residential,False,102.505,"LINESTRING (-111.8447936 25.3934712, -111.8438623 25.393848)",
222731070,False,residential,False,119.961,"LINESTRING (-111.8447936 25.3934712, -111.845245 25.39447)",
"[222731065, 222731054]",False,residential,True,214.07100000000003,"LINESTRING (-111.8447936 25.3934712, -111.8455563 25.3931977, -111.8456478 25.3931697, -111.845725 25.3931955, -111.8457849 25.3932493, -111.8461762 25.3941267)",
222731074,False,residential,False,125.366,"LINESTRING (-111.8415325 25.3935018, -111.8420398 25.3945319)",
680896442,False,residential,False,110.013,"LINESTRING (-111.8415325 25.3935018, -111.8405215 25.3938822)",
222731054,False,residential,False,100.496,"LINESTRING (-111.8438623 25.393848, -111.8429368 25.3941912)",
222731054,False,residential,True,102.505,"LINESTRING (-111.8438623 25.393848, -111.8447936 25.3934712)",
681113717,False,residential,False,118.659,"LINESTRING (-111.8438623 25.393848, -111.844328 25.3948287)",
680896441,False,residential,False,16.495,"LINESTRING (-111.8405215 25.3938822, -111.8403731 25.3939457)",
680896442,False,residential,True,110.013,"LINESTRING (-111.8405215 25.3938822, -111.8415325 25.3935018)",
222731053,False,residential,False,110.845,"LINESTRING (-111.8403731 25.3939457, -111.8393582 25.394337)",
680896441,False,residential,True,16.495,"LINESTRING (-111.8403731 25.3939457, -111.8405215 25.3938822)",
153946322,True,secondary,False,126.044,"LINESTRING (-111.8403731 25.3939457, -111.8406031 25.3944311, -111.8408471 25.3949951)",BCS 53
222731065,False,residential,True,120.482,"LINESTRING (-111.8461762 25.3941267, -111.8466181 25.395134)",
681111813,False,residential,False,101.029,"LINESTRING (-111.8461762 25.3941267, -111.845245 25.39447)",
"[222731065, 222731054]",False,residential,False,214.07100000000003,"LINESTRING (-111.8461762 25.3941267, -111.8457849 25.3932493, -111.845725 25.3931955, -111.8456478 25.3931697, -111.8455563 25.3931977, -111.8447936 25.3934712)",
222731054,False,residential,False,97.745,"LINESTRING (-111.8429368 25.3941912, -111.8420398 25.3945319)",
222731054,False,residential,True,100.496,"LINESTRING (-111.8429368 25.3941912, -111.8438623 25.393848)",
681113714,False,residential,True,119.036,"LINESTRING (-111.8429368 25.3941912, -111.8434053 25.3951745)",
222731053,False,residential,True,110.845,"LINESTRING (-111.8393582 25.394337, -111.8403731 25.3939457)",
222731078,False,residential,True,127.223,"LINESTRING (-111.8393582 25.394337, -111.839852 25.3953906)",
222731053,False,residential,False,94.875,"LINESTRING (-111.8393582 25.394337, -111.8385874 25.3946297, -111.8384862 25.3946647)",
222731070,False,residential,False,121.66,"LINESTRING (-111.845245 25.39447, -111.8457235 25.3954751)",
222731070,False,residential,True,119.961,"LINESTRING (-111.845245 25.39447, -111.8447936 25.3934712)",
681111813,False,residential,False,100.378,"LINESTRING (-111.845245 25.39447, -111.844328 25.3948287)",
681111813,False,residential,True,101.029,"LINESTRING (-111.845245 25.39447, -111.8461762 25.3941267)",
222731054,False,residential,False,111.737,"LINESTRING (-111.8420398 25.3945319, -111.84102 25.3949332)",
