osmid,name,highway,oneway,reversed,length,junction,geometry,lanes
683409152,Calle 21,secondary,False,True,29.813,,"LINESTRING (-89.5435169 20.9196807, -89.5433261 20.9194804)",
683409152,Calle 21,secondary,False,False,15.631,,"LINESTRING (-89.5418207 20.9182577, -89.5419325 20.9183518)",
683409152,Calle 21,secondary,False,True,55.5,,"LINESTRING (-89.5418207 20.9182577, -89.541422 20.9179254)",
683409152,Calle 21,secondary,False,False,55.5,,"LINESTRING (-89.541422 20.9179254, -89.5418207 20.9182577)",
683409152,Calle 21,secondary,False,True,74.154,,"LINESTRING (-89.541422 20.9179254, -89.5408893 20.9174814)",
786072804,Calle 8C,residential,False,True,123.176,,"LINESTRING (-89.541422 20.9179254, -89.5410584 20.9189798)",
683409152,Calle 21,secondary,False,False,105.74,,"LINESTRING (-89.5421699 20.9185487, -89.5429383 20.9191725)",
683409152,Calle 21,secondary,False,True,32.975,,"LINESTRING (-89.5421699 20.9185487, -89.5419325 20.9183518)",
463017431,,residential,True,False,117.013,,"LINESTRING (-89.5426864 20.9175843, -89.5418207 20.9182577)",
682554717,,residential,True,False,8.887,roundabout,"LINESTRING (-89.5426864 20.9175843, -89.5427191 20.9176206, -89.5427479 20.9176388)",
786072804,Calle 8C,residential,False,False,54.916,,"LINESTRING (-89.5408779 20.919444, -89.5410584 20.9189798)",
463017434,,residential,False,True,157.286,,"LINESTRING (-89.5408779 20.919444, -89.540292 20.9190901, -89.5395967 20.9186901)",
463017434,,residential,False,False,157.286,,"LINESTRING (-89.5395967 20.9186901, -89.540292 20.9190901, -89.5408779 20.919444)",
463017435,,residential,False,True,132.474,,"LINESTRING (-89.5399615 20.9183719, -89.5404879 20.9186648, -89.5410584 20.9189798)",
786072804,Calle 8C,residential,False,False,123.176,,"LINESTRING (-89.5410584 20.9189798, -89.541422 20.9179254)",
786072804,Calle 8C,residential,False,True,54.916,,"LINESTRING (-89.5410584 20.9189798, -89.5408779 20.919444)",
463017435,,residential,False,False,132.474,,"LINESTRING (-89.5410584 20.9189798, -89.5404879 20.9186648, -89.5399615 20.9183719)",
683409152,Calle 21,secondary,False,False,52.864,,"LINESTRING (-89.5429383 20.9191725, -89.5433261 20.9194804)",
683409152,Calle 21,secondary,False,True,105.74,,"LINESTRING (-89.5429383 20.9191725, -89.5421699 20.9185487)",
683409152,Calle 21,secondary,False,False,29.813,,"LINESTRING (-89.5433261 20.9194804, -89.5435169 20.9196807)",
683409152,Calle 21,secondary,False,True,52.864,,"LINESTRING (-89.5433261 20.9194804, -89.5429383 20.9191725)",
786057147,,residential,False,False,66.125,,"LINESTRING (-89.5381176 20.9156051, -89.5383248 20.9150428)",2
