osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,bridge
97296401,False,MEX 110,Jiquilpan - Colima,primary,False,84.939,"LINESTRING (-103.3079852 19.4704004, -103.3074835 19.4710002)",,
97296401,False,MEX 110,Jiquilpan - Colima,primary,True,41.793,"LINESTRING (-103.3079852 19.4704004, -103.308228 19.4701023)",,
200348681,False,,Calzada Las Higueras,residential,True,175.478,"LINESTRING (-103.3079852 19.4704004, -103.3081303 19.4703826, -103.3081859 19.4703479, -103.3082403 19.4702892, -103.3084456 19.470068, -103.3084883 19.4700526, -103.3085375 19.4700528, -103.3088651 19.4702372, -103.3089229 19.4702689, -103.3089533 19.4703004, -103.3091655 19.4707041)",,
97296401,False,MEX 110,Jiquilpan - Colima,primary,False,74.933,"LINESTRING (-103.3074835 19.4710002, -103.3070521 19.4715375)",,
97296401,False,MEX 110,Jiquilpan - Colima,primary,True,84.939,"LINESTRING (-103.3074835 19.4710002, -103.3079852 19.4704004)",,
194479828,True,,Calle Francisco I. Madero,residential,False,74.493,"LINESTRING (-103.3074835 19.4710002, -103.3069941 19.4705145)",,
97296401,False,MEX 110,Jiquilpan - Colima,primary,False,103.556,"LINESTRING (-103.3070521 19.4715375, -103.3064019 19.4722386)",,
97296401,False,MEX 110,Jiquilpan - Colima,primary,True,74.933,"LINESTRING (-103.3070521 19.4715375, -103.3074835 19.4710002)",,
194479796,False,,Calle Ponce De León,tertiary,False,92.633,"LINESTRING (-103.3070521 19.4715375, -103.3076712 19.4721319)",,
194479813,False,,Calle Chávez Madrugueño,residential,True,198.518,"LINESTRING (-103.3072614 19.4665689, -103.3085681 19.467861)",,
688221319,False,,Calle Bustamante,residential,True,74.491,"LINESTRING (-103.3072614 19.4665689, -103.3067594 19.467043)",,
194479828,True,,Calle Francisco I. Madero,residential,False,59.852,"LINESTRING (-103.30297 19.4669481, -103.3025419 19.466592)",,
199722503,False,,Calle Juan Álvarez,residential,False,106.445,"LINESTRING (-103.30297 19.4669481, -103.3022956 19.4676637)",,
194479825,False,,Calle Bustamante,residential,False,45.451,"LINESTRING (-103.3066784 19.4672362, -103.3064068 19.4675548)",,
198851799,False,,Calle Del Río,residential,True,203.611,"LINESTRING (-103.3066784 19.4672362, -103.307774 19.4683025, -103.307999 19.4685765)",,
194479833,True,,Calle Miguel Hidalgo,residential,False,90.785,"LINESTRING (-103.3022956 19.4676637, -103.3029378 19.4682114)",,
199722503,False,,Calle Juan Álvarez,residential,True,106.445,"LINESTRING (-103.3022956 19.4676637, -103.30297 19.4669481)",,
