osmid,name,highway,oneway,reversed,length,geometry,maxspeed,access,ref,lanes
773323355,Calle Santiago,residential,False,False,71.015,"LINESTRING (-98.9701915 19.7075029, -98.9706574 19.707751, -98.9707072 19.7077886, -98.9707454 19.707854)",,,,
128228430,Calle Texcoco,tertiary,False,True,12.572,"LINESTRING (-98.9658668 19.7079134, -98.9659083 19.7080195)",,,,
128228429,Calle Texcoco,tertiary,True,False,47.634,"LINESTRING (-98.9658668 19.7079134, -98.9658656 19.7078391, -98.9657546 19.7075008)",,,,
773249077,Calle Miguel Hidalgo,residential,False,False,27.327,"LINESTRING (-98.9700874 19.7083915, -98.9698888 19.708551)",,,,
773249077,Calle Miguel Hidalgo,residential,False,True,47.828,"LINESTRING (-98.9700874 19.7083915, -98.9704388 19.7081166)",,,,
773323351,Calle Soto,residential,False,True,157.463,"LINESTRING (-98.9700874 19.7083915, -98.9688095 19.7076445)",,,,
128228422,Calle Soto,residential,False,False,173.145,"LINESTRING (-98.9700874 19.7083915, -98.9713079 19.709127, -98.9713791 19.7091599, -98.9714968 19.7092011)",,,,
128228415,Calle Diana Laura,residential,False,False,81.555,"LINESTRING (-98.9668755 19.7088077, -98.9665011 19.7094509)",,,,
128228434,Calle Ignacio Aldama,residential,False,True,20.712,"LINESTRING (-98.9668755 19.7088077, -98.9670476 19.7088996)",,,,
"[128228434, 319462260]",Calle Ignacio Aldama,residential,False,False,140.251,"LINESTRING (-98.9668755 19.7088077, -98.9665939 19.7086511, -98.9665779 19.7086334, -98.9665912 19.7086056, -98.9670933 19.7078401)",,,,
128228434,Calle Ignacio Aldama,residential,False,False,5.737,"LINESTRING (-98.9673559 19.7090638, -98.9673082 19.7090384)",,,,
128228434,Calle Ignacio Aldama,residential,False,True,78.699,"LINESTRING (-98.9673559 19.7090638, -98.9680338 19.7093698)",,,,
128228425,Calle Rosario,residential,False,False,54.317,"LINESTRING (-98.9680338 19.7093698, -98.9682321 19.7089184)",,,,
128228434,Calle Ignacio Aldama,residential,False,False,78.699,"LINESTRING (-98.9680338 19.7093698, -98.9673559 19.7090638)",,,,
"[128228425, 773249076]",Calle Rosario,residential,False,True,77.364,"LINESTRING (-98.9680338 19.7093698, -98.9679296 19.709603, -98.9679214 19.7096436, -98.9679404 19.7096737, -98.9682808 19.7098514)",,,,
773249077,Calle Miguel Hidalgo,residential,False,False,75.846,"LINESTRING (-98.9688223 19.7093982, -98.9682808 19.7098514)",,,,
773249077,Calle Miguel Hidalgo,residential,False,True,48.288,"LINESTRING (-98.9688223 19.7093982, -98.9691757 19.7091191)",,,,
773164882,Calle Francisco González Bocanegra,residential,True,False,64.628,"LINESTRING (-98.9688223 19.7093982, -98.9689086 19.7094563, -98.9689682 19.7094845, -98.9693783 19.7096461)",,,,
128228412,Calle Calvario,residential,False,False,30.614,"LINESTRING (-98.9725114 19.7094376, -98.9727978 19.7093819)",,,,
128228412,Calle Calvario,residential,False,True,8.098,"LINESTRING (-98.9725114 19.7094376, -98.9724354 19.7094512)",,,,
773164880,Jose María Morelos,residential,False,False,83.17,"LINESTRING (-98.9725114 19.7094376, -98.9721743 19.7101149)",,,,
128228415,Calle Diana Laura,residential,False,True,81.555,"LINESTRING (-98.9665011 19.7094509, -98.9668755 19.7088077)",,,,
128228430,Calle Texcoco,tertiary,False,False,13.312,"LINESTRING (-98.9665011 19.7094509, -98.9664497 19.7093414)",,,,
128228430,Calle Texcoco,tertiary,False,True,48.339,"LINESTRING (-98.9665011 19.7094509, -98.9666985 19.7098439)",,,,
773249077,Calle Miguel Hidalgo,residential,False,False,8.162,"LINESTRING (-98.9682808 19.7098514, -98.9682262 19.7099038)",,,,
773249077,Calle Miguel Hidalgo,residential,False,True,75.846,"LINESTRING (-98.9682808 19.7098514, -98.9688223 19.7093982)",,,,
"[128228425, 773249076]",Calle Rosario,residential,False,False,77.364,"LINESTRING (-98.9682808 19.7098514, -98.9679404 19.7096737, -98.9679214 19.7096436, -98.9679296 19.709603, -98.9680338 19.7093698)",,,,
773249077,Calle Miguel Hidalgo,residential,False,False,18.612,"LINESTRING (-98.9682262 19.7099038, -98.9681002 19.7100219)",,,,
773249077,Calle Miguel Hidalgo,residential,False,True,8.162,"LINESTRING (-98.9682262 19.7099038, -98.9682808 19.7098514)",,,,
128228417,Calle Luis Donaldo Colosio,residential,True,False,70.305,"LINESTRING (-98.9668052 19.7100801, -98.967124 19.7095236)",,,,
128228430,Calle Texcoco,tertiary,False,False,13.067,"LINESTRING (-98.9668052 19.7100801, -98.966757 19.7099717)",,,,
128228430,Calle Texcoco,tertiary,False,True,7.835,"LINESTRING (-98.9668052 19.7100801, -98.9668341 19.7101451)",,,,
128228412,Calle Calvario,residential,False,False,125.741,"LINESTRING (-98.9705974 19.7101308, -98.9716889 19.7096587)",,,,
128228412,Calle Calvario,residential,False,True,95.404,"LINESTRING (-98.9705974 19.7101308, -98.969772 19.7104946)",,,,
773164882,Calle Francisco González Bocanegra,residential,True,False,73.728,"LINESTRING (-98.9705974 19.7101308, -98.9712402 19.7104018)",,,,
128228430,Calle Texcoco,tertiary,False,False,26.049,"LINESTRING (-98.9669276 19.7103622, -98.9668341 19.7101451)",,,,
128228430,Calle Texcoco,tertiary,False,True,56.551,"LINESTRING (-98.9669276 19.7103622, -98.9670656 19.7108539)",,,,
773166496,,residential,False,True,38.6,"LINESTRING (-98.9669276 19.7103622, -98.9667154 19.7106461)",,,,
128228421,Calle San José,living_street,False,True,14.11,"LINESTRING (-98.9654015 19.7104012, -98.9655252 19.7104516)",,,,
128228418,Calle Mezquite,living_street,False,False,117.783,"LINESTRING (-98.9655252 19.7104516, -98.9650768 19.7114231)",,,,
128228421,Calle San José,living_street,False,False,14.11,"LINESTRING (-98.9655252 19.7104516, -98.9654015 19.7104012)",,,,
128228421,Calle San José,living_street,False,True,155.645,"LINESTRING (-98.9655252 19.7104516, -98.9668754 19.7110378)",,,,
773166498,Calle Mezquite,residential,False,True,108.247,"LINESTRING (-98.9655252 19.7104516, -98.9659128 19.7096233, -98.9659504 19.7095648)",,,,
773249077,Calle Miguel Hidalgo,residential,False,False,30.129,"LINESTRING (-98.9677714 19.7103205, -98.967572 19.7105159)",,,,
773249077,Calle Miguel Hidalgo,residential,False,True,37.196,"LINESTRING (-98.9677714 19.7103205, -98.9680282 19.7100893)",,,,
773249083,,residential,False,True,54.156,"LINESTRING (-98.9677714 19.7103205, -98.9673236 19.7100766)",,,,
128228412,Calle Calvario,residential,False,False,53.623999999999995,"LINESTRING (-98.9692976 19.710674, -98.9693713 19.7106572, -98.9694411 19.7106323, -98.969772 19.7104946)",,,,
