osmid,oneway,name,highway,reversed,length,geometry,bridge,maxspeed,lanes,ref,tunnel
868847555,True,Calle José María Morelos y Pavón,residential,False,47.179,"LINESTRING (-99.5049922 17.5503164, -99.5053399 17.5500516)",,,,,
719986325,True,Calle Paseo Alejandro Cervantes Delgado,secondary,False,113.327,"LINESTRING (-99.5049922 17.5503164, -99.5046694 17.5500619, -99.5043997 17.5498965, -99.5041279 17.5497191)",,,,,
283883412,True,Avenida Vicente Guerrero,primary,False,15.993,"LINESTRING (-99.5042862 17.5569578, -99.504372 17.5570761)",,,,,
868844265,True,Calle Heróico Colegio Militar,residential,False,58.437,"LINESTRING (-99.5042862 17.5569578, -99.503822 17.5572412)",,,,,
"[476139338, 868847555, 110353742]",True,Calle José María Morelos y Pavón,residential,False,21.813,"LINESTRING (-99.5048186 17.5504213, -99.5048709 17.5503932, -99.5049532 17.5503382, -99.5049922 17.5503164)",yes,,,,
867541111,True,Calle Paseo Alejandro Cervantes Delgado Carril Sur a Norte,secondary,False,112.459,"LINESTRING (-99.5048186 17.5504213, -99.5052098 17.5506176, -99.505506 17.5507615, -99.5057332 17.5509275)",,60,,,
719986330,True,Calle Francisco I. Madero,residential,False,68.919,"LINESTRING (-99.5057332 17.5509275, -99.5051379 17.5511765)",,,,,
719986329,True,Calle Paseo Alejandro Cervantes Delgado Carril Sur a Norte,secondary,False,106.289,"LINESTRING (-99.5057332 17.5509275, -99.5061965 17.5513158, -99.5062872 17.5514779, -99.5063558 17.5516499)",,,,,
719986329,True,Calle Paseo Alejandro Cervantes Delgado Carril Sur a Norte,secondary,False,115.589,"LINESTRING (-99.50643 17.5522154, -99.5062959 17.5526246, -99.5062959 17.5528509, -99.5063576 17.5530644, -99.5064287 17.5532127)",,,,,
"[224544912, 719986330, 719986332]",True,Calle Francisco I. Madero,residential,False,18.57,"LINESTRING (-99.5058412 17.5507964, -99.50583 17.5508148, -99.5057625 17.5508963, -99.5057332 17.5509275)",yes,,,,
