osmid,name,highway,oneway,reversed,length,geometry,lanes,access,ref
161057534,Calle Matamoros,residential,False,True,101.962,"LINESTRING (-100.1539531 25.4199777, -100.153033 25.4203653)",,,
161057511,Calle De La Placita,residential,False,False,8.529,"LINESTRING (-100.1550664 25.4201327, -100.1551266 25.4200786)",,,
161057511,Calle De La Placita,residential,False,True,120.575,"LINESTRING (-100.1550664 25.4201327, -100.1542803 25.4209523)",,,
228047693,Avenida Del Pueblito,residential,True,False,71.267,"LINESTRING (-100.1550664 25.4201327, -100.1552671 25.4202913, -100.1553141 25.4203361, -100.1553523 25.4204021, -100.1553825 25.4204687, -100.1553912 25.4205511, -100.1553751 25.4206159, -100.1553462 25.4206497)",,,
161057534,Calle Matamoros,residential,False,False,101.962,"LINESTRING (-100.153033 25.4203653, -100.1539531 25.4199777)",,,
161057534,Calle Matamoros,residential,False,True,70.403,"LINESTRING (-100.153033 25.4203653, -100.1524129 25.4206606)",,,
161057419,Privada De Los Sabinos,residential,False,False,13.61,"LINESTRING (-100.155471 25.4206974, -100.1553462 25.4206497)",,,
161057419,Privada De Los Sabinos,residential,False,True,77.271,"LINESTRING (-100.155471 25.4206974, -100.1560839 25.4211175)",,,
161057493,Avenida Del Pueblito,residential,True,False,83.187,"LINESTRING (-100.155471 25.4206974, -100.1554857 25.4206419, -100.1554924 25.420539, -100.1554777 25.4204518, -100.1554395 25.4203621, -100.1553771 25.4202743, -100.1553114 25.4202168, -100.1551266 25.4200786)",,,
161057439,Calle De Las Uvas,residential,False,False,114.266,"LINESTRING (-100.1533567 25.4206792, -100.1537848 25.4216313)",,,
161057439,Calle De Las Uvas,residential,False,True,32.69,"LINESTRING (-100.1533567 25.4206792, -100.1532419 25.4204041)",,,
"[751697817, 161057473]",Calle De Las Uvas,residential,False,True,181.01299999999998,"LINESTRING (-100.1533567 25.4206792, -100.1528209 25.4208927, -100.1527619 25.4209338, -100.1527566 25.4209896, -100.1527727 25.4210453, -100.1528156 25.4211519, -100.1531229 25.4219072)",,,
752000241,Calle Vicente Guerrero,residential,False,True,118.585,"LINESTRING (-100.1493494 25.42087, -100.1498632 25.4218302)",,,
"[752000241, 161057453]","['Calle Simón Montemayor', 'Calle Vicente Guerrero']",residential,False,"[False, True]",156.48899999999998,"LINESTRING (-100.1493494 25.42087, -100.1492764 25.4207606, -100.1492026 25.4206783, -100.148854 25.4203524, -100.1488003 25.4203125, -100.148744 25.4202895, -100.148689 25.4202979, -100.148634 25.4203331, -100.1482269 25.420658)",,,
161057409,Calle De La Placita,residential,False,True,56.109,"LINESTRING (-100.1542803 25.4209523, -100.1540668 25.420486)",,,
161057511,Calle De La Placita,residential,False,False,120.575,"LINESTRING (-100.1542803 25.4209523, -100.1550664 25.4201327)",,,
161057511,Calle De La Placita,residential,False,True,26.377,"LINESTRING (-100.1542803 25.4209523, -100.1541108 25.4211335)",,,
161057419,Privada De Los Sabinos,residential,False,False,77.271,"LINESTRING (-100.1560839 25.4211175, -100.155471 25.4206974)",,,
161057416,Privada De Los Helechos,residential,False,True,81.674,"LINESTRING (-100.1550108 25.4211533, -100.1556088 25.4216511)",,,
161057493,Avenida Del Pueblito,residential,True,False,28.069,"LINESTRING (-100.1550108 25.4211533, -100.1551929 25.4209618)",,,
161057511,Calle De La Placita,residential,False,False,26.377,"LINESTRING (-100.1541108 25.4211335, -100.1542803 25.4209523)",,,
161057413,Privada De Los Álamos,residential,False,True,95.279,"LINESTRING (-100.1545332 25.4216476, -100.1552382 25.422221)",,,
161057493,Avenida Del Pueblito,residential,True,False,37.396,"LINESTRING (-100.1545332 25.4216476, -100.154771 25.4213888)",,,
161057439,Calle De Las Uvas,residential,False,True,114.266,"LINESTRING (-100.1537848 25.4216313, -100.1533567 25.4206792)",,,
161057531,Calle del Pueblo,residential,False,True,30.725,"LINESTRING (-100.1537848 25.4216313, -100.1535089 25.4217507)",,,
751702356,Calle De Las Uvas,residential,False,False,52.13799999999999,"LINESTRING (-100.1537848 25.4216313, -100.1539542 25.4216291, -100.1540628 25.4216448, -100.1541902 25.4216873, -100.1542786 25.4217367)",,,
161057416,Privada De Los Helechos,residential,False,False,81.674,"LINESTRING (-100.1556088 25.4216511, -100.1550108 25.4211533)",,,
161057412,Calle De Los Granados,residential,False,True,5.064,"LINESTRING (-100.1542786 25.4217367, -100.1542949 25.4217798)",,,
751702356,Calle De Las Uvas,residential,False,True,52.138000000000005,"LINESTRING (-100.1542786 25.4217367, -100.1541902 25.4216873, -100.1540628 25.4216448, -100.1539542 25.4216291, -100.1537848 25.4216313)",,,
161057431,Calle De Los Granados,residential,False,False,109.346,"LINESTRING (-100.1535089 25.4217507, -100.1539024 25.4226676)",,,
161057531,Calle del Pueblo,residential,False,False,30.725,"LINESTRING (-100.1535089 25.4217507, -100.1537848 25.4216313)",,,
161057531,Calle del Pueblo,residential,False,True,42.492,"LINESTRING (-100.1535089 25.4217507, -100.1531229 25.4219072)",,,
161057534,Calle Matamoros,residential,False,False,101.181,"LINESTRING (-100.1498632 25.4218302, -100.1507795 25.4214519)",,,
752000241,Calle Vicente Guerrero,residential,False,False,118.585,"LINESTRING (-100.1498632 25.4218302, -100.1493494 25.42087)",,,
933051035,Calle Matamoros,residential,True,False,198.404,"LINESTRING (-100.1498632 25.4218302, -100.1481857 25.422579, -100.1480993 25.4226319)",,,
161057531,Calle del Pueblo,residential,False,False,42.492,"LINESTRING (-100.1531229 25.4219072, -100.1535089 25.4217507)",,,
161057531,Calle del Pueblo,residential,False,True,27.519,"LINESTRING (-100.1531229 25.4219072, -100.1528805 25.4220226)",,,
"[161057473, 751697817]",Calle De Las Uvas,residential,False,False,181.013,"LINESTRING (-100.1531229 25.4219072, -100.1528156 25.4211519, -100.1527727 25.4210453, -100.1527566 25.4209896, -100.1527619 25.4209338, -100.1528209 25.4208927, -100.1533567 25.4206792)",,,
161057414,Calle De Los Naranjos,residential,False,False,111.417,"LINESTRING (-100.1528805 25.4220226, -100.153297 25.4229513)",,,
161057531,Calle del Pueblo,residential,False,False,27.519,"LINESTRING (-100.1528805 25.4220226, -100.1531229 25.4219072)",,,
161057531,Calle del Pueblo,residential,False,True,40.484,"LINESTRING (-100.1528805 25.4220226, -100.1525184 25.4221826)",,,
161057453,Calle Simón Montemayor,residential,False,False,73.854,"LINESTRING (-100.1465774 25.4220637, -100.1471123 25.4216079)",,,
