osmid,oneway,lanes,highway,reversed,length,ref,name,maxspeed,geometry,junction,bridge,tunnel
54144791,True,1,motorway_link,False,62.956,,,,"LINESTRING (-117.0227804 32.5314641, -117.0223068 32.5310627)",,,
"[510154776, 758435568]",True,3,motorway,False,355.43600000000004,MEX 2,Avenida Vía Rápida Poniente,80,"LINESTRING (-117.0227804 32.5314641, -117.0213782 32.5305655, -117.019762 32.5295298)",,,
54144785,True,1,motorway_link,False,82.004,,,,"LINESTRING (-117.0176276 32.5281806, -117.0169942 32.527672)",,,
26103479,True,3,secondary,False,70.453,,Avenida Independencia,,"LINESTRING (-117.0238543 32.5280562, -117.024228 32.5276357, -117.024305 32.5275492)",,,
642319318,True,2,secondary,False,21.738,,,,"LINESTRING (-117.0224449 32.5357435, -117.02244 32.5358086, -117.0224556 32.5358724, -117.0224905 32.5359305)",circular,,
642319283,True,2,secondary,False,23.409,,,,"LINESTRING (-117.0192902 32.533474, -117.0193051 32.5334049, -117.0192969 32.5333351, -117.0192665 32.5332698)",circular,,
31574550,True,3,secondary,False,28.261999999999997,,Avenida Independencia,,"LINESTRING (-117.0192665 32.5332698, -117.0193304 32.5331711, -117.019382 32.5330931, -117.0194156 32.533049)",,,
642319283,True,2,secondary,False,19.449,,,,"LINESTRING (-117.0192665 32.5332698, -117.0192008 32.5332021, -117.0191118 32.5331572)",circular,,
551892241,False,3,unclassified,True,216.61700000000002,,Avenida Juan Ruíz de Alarcón,,"LINESTRING (-117.0151907 32.5308337, -117.0156553 32.5303121, -117.0156975 32.5302643, -117.0163005 32.5295712, -117.0165718 32.529272)",,,
791888669,True,4,secondary,False,95.74700000000001,,Avenida Paseo Centenario Tijuana,,"LINESTRING (-117.0151907 32.5308337, -117.0149204 32.5306454, -117.0146509 32.5303933, -117.0144546 32.5302393)",,,
791888668,True,4,secondary,False,10.429,,Avenida Paseo Centenario Tijuana,,"LINESTRING (-117.0144546 32.5302393, -117.0143904 32.5301627)",,,
"[45214412, 510154775]",True,"['2', '1']",tertiary,False,217.39400000000003,,Boulevard Manuel Márquez de León,,"LINESTRING (-117.0229783 32.5356638, -117.0230551 32.5355499, -117.0231422 32.5354512, -117.0232585 32.5353205, -117.0240403 32.534442, -117.0241293 32.5343693, -117.0242234 32.5343307, -117.0242947 32.5343186, -117.0243483 32.5343176, -117.0245075 32.534358)",,,
45214413,True,2,secondary,False,19.875999999999998,,,,"LINESTRING (-117.0229783 32.5356638, -117.0229075 32.5355973, -117.0228131 32.5355566)",circular,,
45214413,True,2,secondary,False,22.085,,,,"LINESTRING (-117.0228131 32.5355566, -117.0227355 32.5355464, -117.0226575 32.5355542, -117.0225848 32.5355792)",circular,,
45214430,True,3,secondary,False,91.45899999999999,,Avenida Paseo Centenario Tijuana,,"LINESTRING (-117.0211503 32.5346556, -117.0210817 32.534613, -117.0203646 32.534168)",,,
42371625,True,2,residential,False,218.37900000000002,,Calle Javier Villa Urritia,,"LINESTRING (-117.0203646 32.534168, -117.0204365 32.5340846, -117.0205254 32.5339827, -117.020799 32.5336742, -117.0208312 32.5336379, -117.0209116 32.5335448, -117.0210605 32.5333799, -117.0210945 32.5333416, -117.021275 32.5331383, -117.0214038 32.5329932, -117.0215977 32.5327748, -117.0216493 32.5327167, -117.0217153 32.5326422, -117.021758 32.5325942)",,,
45214430,True,3,secondary,False,127.061,,Avenida Paseo Centenario Tijuana,,"LINESTRING (-117.0203646 32.534168, -117.0195637 32.5336711, -117.0194381 32.533593, -117.0193956 32.5335659, -117.0193622 32.5335368, -117.0192902 32.533474)",,,
54144778,True,3,secondary,False,430.596,,Avenida Paseo Centenario Tijuana,,"LINESTRING (-117.0188443 32.5331794, -117.0187477 32.5331113, -117.0181649 32.5327331, -117.0181211 32.5327043, -117.0180618 32.5326641, -117.0175215 32.5322989, -117.0174904 32.5322787, -117.0174575 32.532258, -117.0166803 32.531764, -117.0166301 32.5317327, -117.0165802 32.5317008, -117.0160525 32.5313731, -117.0160011 32.5313402, -117.0157619 32.5311944, -117.0152606 32.5308837, -117.0151907 32.5308337)",,,
642319283,True,2,secondary,False,15.383,,,,"LINESTRING (-117.0188443 32.5331794, -117.0187942 32.5332118, -117.0187674 32.5332365, -117.0187344 32.53328)",circular,,
642319283,True,2,secondary,False,32.321,,,,"LINESTRING (-117.0187344 32.53328, -117.018707 32.5333489, -117.0187038 32.5334215, -117.0187097 32.533441, -117.018725 32.5334919, -117.0187691 32.5335544)",circular,,
571873762,True,2,secondary,False,67.979,MEX 1D,Vía Rápida Oriente,60,"LINESTRING (-117.023928 32.5339905, -117.0245075 32.534358)",,,
"[26103723, 510154774]",True,"['2', '1']",tertiary,False,210.845,,Boulevard Manuel Márquez de León,,"LINESTRING (-117.023928 32.5339905, -117.0239656 32.5340977, -117.0239702 32.5341796, -117.0239532 32.5342672, -117.0239093 32.5343558, -117.0238609 32.5344184, -117.0236813 32.534614, -117.0230265 32.5353558, -117.0229291 32.5354669, -117.0228131 32.5355566)",,,
26103577,False,,residential,True,129.177,,Calle Ferrocarril,,"LINESTRING (-117.0159689 32.53618, -117.0156612 32.5358841, -117.0156091 32.5358225, -117.0155715 32.5356951, -117.0152223 32.535319, -117.0151615 32.5352529)",,,
26103577,False,,residential,False,123.127,,Calle Ferrocarril,,"LINESTRING (-117.0143103 32.5344096, -117.0151615 32.5352529)",,,
26103577,False,,residential,True,123.127,,Calle Ferrocarril,,"LINESTRING (-117.0151615 32.5352529, -117.0143103 32.5344096)",,,
695614710,False,2,tertiary,False,67.087,,Calle Belisario Domínguez,,"LINESTRING (-117.0151615 32.5352529, -117.014727 32.5357323)",,,
695614710,False,2,tertiary,True,9.889,,Calle Belisario Domínguez,,"LINESTRING (-117.0151615 32.5352529, -117.0152255 32.5351822)",,,
26103577,False,,residential,False,129.17700000000002,,Calle Ferrocarril,,"LINESTRING (-117.0151615 32.5352529, -117.0152223 32.535319, -117.0155715 32.5356951, -117.0156091 32.5358225, -117.0156612 32.5358841, -117.0159689 32.53618)",,,
