osmid,name,highway,oneway,reversed,length,ref,geometry,tunnel,bridge
552408971,Calle Francisco I. Madero,residential,False,False,45.214,,"LINESTRING (-98.352242 19.469257, -98.3518135 19.4692109)",,
41821365,Avenida Tlaxcala,primary,False,False,64.834,MEX 136,"LINESTRING (-98.3498293 19.4696345, -98.3492164 19.4695567)",,
936150780,Calle Rayón,secondary,False,False,81.692,,"LINESTRING (-98.3498293 19.4696345, -98.3501029 19.4689466)",,
41821365,Avenida Tlaxcala,primary,False,True,72.717,MEX 136,"LINESTRING (-98.3498293 19.4696345, -98.3501733 19.4697059, -98.3505032 19.4697887)",,
552393628,Calle Rayón,residential,False,True,134.666,,"LINESTRING (-98.3498293 19.4696345, -98.3497335 19.4701321, -98.3496767 19.4701716, -98.3495999 19.4703751, -98.349349 19.47042, -98.3493266 19.4706008)",,
846474555,,residential,False,True,91.037,,"LINESTRING (-98.3515774 19.4698921, -98.3523653 19.4702363)",,
846477021,Calle Mina,residential,False,False,79.688,,"LINESTRING (-98.3515774 19.4698921, -98.3518135 19.4692109)",,
41821362,,residential,False,True,70.541,,"LINESTRING (-98.3515774 19.4698921, -98.3515003 19.4699525, -98.3513977 19.4699765, -98.3512422 19.4699872, -98.3509344 19.4700292)",,
41821365,Avenida Tlaxcala,primary,False,False,4.002,MEX 136,"LINESTRING (-98.3509344 19.4700292, -98.3509011 19.4700116)",,
41821362,,residential,False,False,70.541,,"LINESTRING (-98.3509344 19.4700292, -98.3512422 19.4699872, -98.3513977 19.4699765, -98.3515003 19.4699525, -98.3515774 19.4698921)",,
41821365,Avenida Tlaxcala,primary,False,True,29.462000000000003,MEX 136,"LINESTRING (-98.3509344 19.4700292, -98.3511077 19.4701472, -98.3511635 19.4701826)",,
137161914,Calle Ignacio López Rayón,secondary,False,True,25.846,,"LINESTRING (-98.3501029 19.4689466, -98.3500466 19.4687203)",,
552408971,Calle Francisco I. Madero,residential,False,False,81.765,,"LINESTRING (-98.3501029 19.4689466, -98.3493279 19.4688641)",,
