osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,width
33819581,Avenida Central,tertiary,False,False,73.673,"LINESTRING (-92.6902047 16.7867682, -92.6897312 16.7872514)",,,
553588248,Calle Las Artesanías,residential,False,False,90.611,"LINESTRING (-92.6902047 16.7867682, -92.6908103 16.7873408)",,,
33819581,Avenida Central,tertiary,False,True,116.624,"LINESTRING (-92.6902047 16.7867682, -92.6904665 16.786432, -92.6907226 16.7861337, -92.6908978 16.7859574)",,,
553588248,Calle Las Artesanías,residential,False,True,233.465,"LINESTRING (-92.6902047 16.7867682, -92.6899982 16.7865717, -92.6897746 16.7863036, -92.6896763 16.7861069, -92.6895895 16.7858271, -92.6894103 16.7848746)",,,
553588247,Avenida Central,residential,False,False,72.42,"LINESTRING (-92.6908103 16.7873408, -92.6902917 16.7877623)",,,
553588247,Avenida Central,residential,False,True,107.662,"LINESTRING (-92.6908103 16.7873408, -92.6914988 16.7866316)",,,
553588248,Calle Las Artesanías,residential,False,True,90.611,"LINESTRING (-92.6908103 16.7873408, -92.6902047 16.7867682)",,,
922580454,Calle Girasol,residential,False,True,30.185,"LINESTRING (-92.6929558 16.7869113, -92.6927537 16.7871017)",,,
922580455,Calle Tontyk,residential,False,False,147.42600000000002,"LINESTRING (-92.6929558 16.7869113, -92.6930639 16.7868285, -92.6930894 16.7868015, -92.6931001 16.7867604, -92.6930628 16.786063, -92.6931301 16.7856518)",,,
553588248,Calle Las Artesanías,residential,False,False,233.46500000000003,"LINESTRING (-92.6894103 16.7848746, -92.6895895 16.7858271, -92.6896763 16.7861069, -92.6897746 16.7863036, -92.6899982 16.7865717, -92.6902047 16.7867682)",,,
553588248,Calle Las Artesanías,residential,False,True,179.882,"LINESTRING (-92.6894103 16.7848746, -92.689325 16.7845969, -92.6892632 16.7844403, -92.6891613 16.7843171, -92.6890111 16.78405, -92.6889038 16.7837983, -92.6890111 16.7833823)",,,
922580447,Avenida Los Lirios,residential,False,False,302.18399999999997,"LINESTRING (-92.6894103 16.7848746, -92.689215 16.7850361, -92.6889268 16.7854332, -92.688641 16.7858835, -92.6879888 16.7865993, -92.6876359 16.7869816)",,,
922580447,Avenida Los Lirios,residential,False,True,185.86399999999998,"LINESTRING (-92.6894103 16.7848746, -92.6902723 16.7847345, -92.6909819 16.78425)",,,
922580447,Avenida Los Lirios,residential,False,False,110.83,"LINESTRING (-92.6917226 16.7835496, -92.6909819 16.78425)",,,
922580448,Calle Cementerio,residential,False,True,48.876,"LINESTRING (-92.6917226 16.7835496, -92.6918328 16.7831229)",,,
430598822,,residential,False,False,73.214,"LINESTRING (-92.6917226 16.7835496, -92.691806 16.7834324, -92.691903 16.7833436, -92.692286 16.7832164)",,,
