osmid,oneway,name,highway,maxspeed,reversed,length,geometry
417816436,False,Camino Los Vela,unclassified,60,False,60.276,"LINESTRING (-103.2365526 21.944343, -103.2359719 21.944282)"
696729455,False,,residential,,False,143.115,"LINESTRING (-103.2365526 21.944343, -103.2366196 21.9435083, -103.2366465 21.9434424, -103.2366975 21.9433652, -103.2367203 21.9432906, -103.2367203 21.9432123, -103.236719 21.9430791)"
417816436,False,Camino Los Vela,unclassified,60,False,69.049,"LINESTRING (-103.2337323 21.9437596, -103.2332177 21.9433624)"
417816436,False,Camino Los Vela,unclassified,60,True,241.13099999999997,"LINESTRING (-103.2337323 21.9437596, -103.2340086 21.9439312, -103.2342902 21.9440332, -103.2347193 21.9441054, -103.2359719 21.944282)"
696729455,False,,residential,,True,143.115,"LINESTRING (-103.236719 21.9430791, -103.2367203 21.9432123, -103.2367203 21.9432906, -103.2366975 21.9433652, -103.2366465 21.9434424, -103.2366196 21.9435083, -103.2365526 21.944343)"
696729456,False,,residential,,True,324.481,"LINESTRING (-103.2349178 21.9419913, -103.2350814 21.9419571, -103.2351793 21.941977, -103.2354435 21.9421076, -103.2355937 21.9422345, -103.2357788 21.9424708, -103.2359746 21.9427221, -103.2360859 21.9428801, -103.2361168 21.9429908, -103.236106 21.9431177, -103.2359719 21.944282)"
417816436,False,Camino Los Vela,unclassified,60,True,60.276,"LINESTRING (-103.2359719 21.944282, -103.2365526 21.944343)"
417816436,False,Camino Los Vela,unclassified,60,False,241.13099999999997,"LINESTRING (-103.2359719 21.944282, -103.2347193 21.9441054, -103.2342902 21.9440332, -103.2340086 21.9439312, -103.2337323 21.9437596)"
696729456,False,,residential,,False,324.481,"LINESTRING (-103.2359719 21.944282, -103.236106 21.9431177, -103.2361168 21.9429908, -103.2360859 21.9428801, -103.2359746 21.9427221, -103.2357788 21.9424708, -103.2355937 21.9422345, -103.2354435 21.9421076, -103.2351793 21.941977, -103.2350814 21.9419571, -103.2349178 21.9419913)"
417816436,False,Camino Los Vela,unclassified,60,True,69.049,"LINESTRING (-103.2332177 21.9433624, -103.2337323 21.9437596)"
920729487,False,,residential,,False,372.3710000000001,"LINESTRING (-103.2332177 21.9433624, -103.2332669 21.9429609, -103.2333112 21.9426848, -103.233346 21.9426001, -103.2333742 21.9425629, -103.2334124 21.9424677, -103.2334144 21.9423489, -103.2334332 21.9421213, -103.2335244 21.9418277, -103.2335874 21.9415764, -103.2336317 21.9411759, -103.2336169 21.9410589, -103.2335646 21.9409768, -103.2334279 21.940901, -103.2332227 21.9408276, -103.233043 21.9407778, -103.2329169 21.940733, -103.232756 21.940626, -103.2326937 21.9405923)"
920729487,False,,residential,,True,372.37100000000004,"LINESTRING (-103.2326937 21.9405923, -103.232756 21.940626, -103.2329169 21.940733, -103.233043 21.9407778, -103.2332227 21.9408276, -103.2334279 21.940901, -103.2335646 21.9409768, -103.2336169 21.9410589, -103.2336317 21.9411759, -103.2335874 21.9415764, -103.2335244 21.9418277, -103.2334332 21.9421213, -103.2334144 21.9423489, -103.2334124 21.9424677, -103.2333742 21.9425629, -103.233346 21.9426001, -103.2333112 21.9426848, -103.2332669 21.9429609, -103.2332177 21.9433624)"
