osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,tunnel
104544982,Calle 5 de Mayo,residential,False,False,16.819,,"LINESTRING (-98.1904323 19.1747116, -98.1904008 19.1745633)",,
32014878,Calle Xicohténcatl,residential,False,False,195.623,2,"LINESTRING (-98.1921844 19.176324, -98.1917855 19.1769853, -98.1912499 19.1778458)",,
104544961,,residential,False,False,16.976,,"LINESTRING (-98.1897732 19.1742499, -98.189794 19.1744013)",,
"[848541784, 848541785]",Carretera Puebla - Belem,trunk,True,False,55.494,2,"LINESTRING (-98.1897732 19.1742499, -98.1900273 19.1744963, -98.1901496 19.1745998)",MEX 121,
848530688,Avenida Máximo Rojas,secondary,False,True,6.842,2,"LINESTRING (-98.1922076 19.176202, -98.1922421 19.1761498)",,
"[848541771, 848541782]",Carretera Puebla - Belem,trunk,True,False,155.006,2,"LINESTRING (-98.1922076 19.176202, -98.1919258 19.1759593, -98.1911066 19.1752737)",MEX 121,
848530688,Avenida Máximo Rojas,secondary,False,False,20.069,2,"LINESTRING (-98.1923433 19.1759967, -98.1922421 19.1761498)",,
32014854,Calle Xochimilco,residential,False,True,44.788,,"LINESTRING (-98.1864023 19.1807309, -98.1868221 19.1808018)",,
95561777,Calle Melchor Ocampo,residential,False,False,69.146,,"LINESTRING (-98.1864023 19.1807309, -98.186519 19.1805535, -98.1866008 19.1804864, -98.186779 19.1804243, -98.1869128 19.1803888)",,
848473810,Calle Lázaro Cárdenas,residential,False,False,59.24,,"LINESTRING (-98.1864023 19.1807309, -98.1862678 19.1809428, -98.1860541 19.181145)",,
32014856,Calle Principal,residential,False,True,17.274,,"LINESTRING (-98.1922268 19.1791754, -98.1923532 19.179076)",,
32014856,Calle Principal,residential,False,False,62.916,,"LINESTRING (-98.1922268 19.1791754, -98.1921671 19.1792565, -98.1920262 19.1793356, -98.1919438 19.1793458, -98.1918358 19.179349, -98.1917005 19.1793172)",,
848956732,,residential,False,False,107.773,,"LINESTRING (-98.1922268 19.1791754, -98.1922046 19.1789935, -98.1921463 19.1783128, -98.1921248 19.178271, -98.1920698 19.1782482)",,
32014857,Calle México,residential,False,False,48.386,,"LINESTRING (-98.1922577 19.1811053, -98.1918356 19.1812797)",,
32014857,Calle México,residential,False,True,23.947,,"LINESTRING (-98.1922577 19.1811053, -98.1924673 19.1810205)",,
953254402,,residential,False,True,48.678,,"LINESTRING (-98.1922577 19.1811053, -98.1920363 19.1807207)",,
848961334,,residential,False,True,66.818,,"LINESTRING (-98.1922577 19.1811053, -98.1924847 19.1815422, -98.1925323 19.1816024, -98.192555 19.1816351)",,
32014857,Calle México,residential,False,True,94.23,,"LINESTRING (-98.1910104 19.1816124, -98.1918356 19.1812797)",,
