osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge
15093934,True,1,motorway_link,False,94.739,"LINESTRING (-117.0562617 32.3627831, -117.056243 32.3629133, -117.0562403 32.3630572, -117.0562457 32.3632192, -117.0562564 32.363388, -117.0562604 32.3636338)",,,,
761858670,True,2,motorway,False,573.546,"LINESTRING (-117.0562617 32.3627831, -117.0563395 32.3631773, -117.0564871 32.3639827, -117.0567124 32.3652242, -117.0568532 32.3659639, -117.0569685 32.3665937, -117.0570624 32.3671227, -117.0572032 32.3678794)",MEX 1D,Autopista Tijuana-Ensenada,,
1236081226,False,,secondary,True,56.463,"LINESTRING (-117.0505663 32.3663805, -117.0508292 32.3663433, -117.0511592 32.3662965)",,Calle Artículo 27 Constitucional,,
44077185,False,,residential,False,12.615,"LINESTRING (-117.0508786 32.3678375, -117.0507458 32.3678545)",,Calle Artículo Tercero,,
661608614,True,2,secondary,False,59.329,"LINESTRING (-117.0508786 32.3678375, -117.0507699 32.3673119)",,Calle Guerrero,40,
661608620,False,,residential,True,29.42,"LINESTRING (-117.0508786 32.3678375, -117.0510556 32.3678114, -117.0511882 32.3677978)",,Calle Artículo Tercero,,
43877491,False,,residential,False,10.69,"LINESTRING (-117.0511934 32.3695175, -117.0510811 32.3695332)",,Calle Ramón Ramírez,,
43877491,False,,residential,True,53.504,"LINESTRING (-117.0511934 32.3695175, -117.0512353 32.3695083, -117.0513267 32.3694957, -117.0514587 32.3694779, -117.0515976 32.3694587, -117.0517547 32.3694361)",,Calle Ramón Ramírez,,
661608614,True,2,secondary,False,189.15800000000002,"LINESTRING (-117.0511934 32.3695175, -117.0511843 32.369442, -117.0511682 32.3693429, -117.0510314 32.3686757, -117.0508786 32.3678375)",,Calle Guerrero,40,
15093916,True,,secondary,False,13.295,"LINESTRING (-117.0597053 32.3650939, -117.0598428 32.3650655)",,Calle Artículo 27 Constitucional,,
35974065,True,2,trunk,False,214.31400000000002,"LINESTRING (-117.0597053 32.3650939, -117.0597258 32.3651778, -117.0597834 32.365411, -117.0598505 32.365734, -117.059945 32.3661991, -117.0601258 32.3669881)",MEX 1,Boulevard Benito Juárez García,80,
44077184,False,,residential,True,7.877,"LINESTRING (-117.0540992 32.365841, -117.0541113 32.3659111)",,José Haros Aguilar,,
949941941,True,,secondary,False,11.275,"LINESTRING (-117.0540992 32.365841, -117.0539973 32.3658946)",,Calle Artículo 27 Constitucional,,
44077184,False,,residential,False,142.303,"LINESTRING (-117.0540992 32.365841, -117.0540704 32.3657272, -117.0540563 32.365615, -117.0540328 32.3654814, -117.0540208 32.3652831, -117.0540228 32.3652424, -117.0540261 32.3651766, -117.0540597 32.365052, -117.0541066 32.3649648, -117.0541455 32.3649104, -117.0542555 32.3647813, -117.0543846 32.3646586)",,José Haros Aguilar,,
473051823,False,,residential,True,164.521,"LINESTRING (-117.0529012 32.3660498, -117.0531673 32.3675122)",,Calle Chiapas,,
1236081226,False,,secondary,False,56.682,"LINESTRING (-117.0529012 32.3660498, -117.052306 32.3661341)",,Calle Artículo 27 Constitucional,,
1236081226,False,,secondary,True,52.32,"LINESTRING (-117.0529012 32.3660498, -117.0534506 32.365972)",,Calle Artículo 27 Constitucional,,
473051823,False,,residential,False,227.603,"LINESTRING (-117.0529012 32.3660498, -117.0527038 32.3651211, -117.0524826 32.3640337)",,Calle Chiapas,,
44121092,False,,residential,False,28.558,"LINESTRING (-117.052306 32.3661341, -117.0523548 32.3663876)",,Calle Chihuahua,,
1236081226,False,,secondary,False,55.548,"LINESTRING (-117.052306 32.3661341, -117.0517227 32.3662167)",,Calle Artículo 27 Constitucional,,
1236081226,False,,secondary,True,56.682,"LINESTRING (-117.052306 32.3661341, -117.0529012 32.3660498)",,Calle Artículo 27 Constitucional,,
44121092,False,,residential,True,191.852,"LINESTRING (-117.052306 32.3661341, -117.0522749 32.365993, -117.0521244 32.3652718, -117.0520704 32.3649613, -117.0520325 32.3647432, -117.0519782 32.3644313)",,Calle Chihuahua,,
15093931,True,1,motorway_link,False,82.551,"LINESTRING (-117.0573346 32.3680459, -117.0573588 32.3678375, -117.0573534 32.3677004, -117.0573293 32.3673051)",,,,
