osmid,name,highway,oneway,reversed,length,access,geometry,lanes
412167328,Calle José Villanueva,residential,False,False,61.243,,"LINESTRING (-106.8888822 23.9199712, -106.8885097 23.9195383)",
412167328,Calle José Villanueva,residential,False,True,65.491,,"LINESTRING (-106.8888822 23.9199712, -106.8892803 23.9204343)",
412167324,Calle Mar de Cortés,residential,False,False,70.548,,"LINESTRING (-106.8973146 23.9209378, -106.8967916 23.9213549)",
1067237679,Calle Ángel Flores,residential,False,True,74.134,,"LINESTRING (-106.8893395 23.9172472, -106.8898 23.9177642)",
116447092,Calle Gabriel Leyva Solano,secondary,True,False,75.036,,"LINESTRING (-106.8903784 23.9173449, -106.8898 23.9177642)",
905925828,Calle Josefa Ortiz de Domínguez,residential,True,False,59.395,,"LINESTRING (-106.8913859 23.9174305, -106.8917523 23.9178466)",
387045060,Calle 16 de septiembre,residential,True,False,76.278,permissive,"LINESTRING (-106.8923499 23.9174317, -106.8917523 23.9178466)",
412167334,Calle Sebastián Tolosa,residential,False,True,62.739,,"LINESTRING (-106.8877907 23.9176456, -106.8881779 23.918085)",
412167296,Calle Guadalupe Victoria,residential,False,True,75.437,,"LINESTRING (-106.888761 23.9176671, -106.8892262 23.9181957)",
412167320,Calle Miguel Hidalgo y Costilla,residential,True,False,75.085,,"LINESTRING (-106.888761 23.9176671, -106.8893395 23.9172472)",
116447092,Calle Gabriel Leyva Solano,secondary,True,False,75.524,,"LINESTRING (-106.8898 23.9177642, -106.8892262 23.9181957)",
1067237679,Calle Ángel Flores,residential,False,False,74.134,,"LINESTRING (-106.8898 23.9177642, -106.8893395 23.9172472)",
1067237679,Calle Ángel Flores,residential,False,True,70.744,,"LINESTRING (-106.8898 23.9177642, -106.890227 23.9182666)",
387045060,Calle 16 de septiembre,residential,True,False,74.035,permissive,"LINESTRING (-106.8917523 23.9178466, -106.8911823 23.9182611)",
905925828,Calle Josefa Ortiz de Domínguez,residential,True,False,64.366,,"LINESTRING (-106.8917523 23.9178466, -106.8921578 23.9182912)",
