osmid,name,highway,oneway,reversed,length,geometry,junction,ref,maxspeed
152724262,Calle Primero De Mayo,unclassified,False,True,117.1,"LINESTRING (-105.4913557 27.8518331, -105.4903659 27.8524189)",,,
805898147,Calle Juárez,residential,False,True,121.161,"LINESTRING (-105.4913557 27.8518331, -105.4916815 27.8522553, -105.4920638 27.8527248)",,,
152724330,Calle Jiménez,residential,False,False,120.933,"LINESTRING (-105.4930696 27.8520987, -105.4920638 27.8527248)",,,
152724250,Calle Victoria,residential,False,True,119.351,"LINESTRING (-105.4930696 27.8520987, -105.4934011 27.8525787, -105.493712 27.8530094)",,,
152724302,Calle Miguel Hidalgo,unclassified,False,False,82.385,"LINESTRING (-105.4970527 27.8521225, -105.4967804 27.8528232)",,,
152724262,Calle Primero De Mayo,unclassified,False,False,117.1,"LINESTRING (-105.4903659 27.8524189, -105.4913557 27.8518331)",,,
805898146,Calle Primero De Mayo,unclassified,False,True,121.668,"LINESTRING (-105.4903659 27.8524189, -105.4893547 27.8530497)",,,
326010072,Calle Morelos,tertiary,False,False,76.154,"LINESTRING (-105.4903659 27.8524189, -105.490036 27.8519914, -105.4899234 27.8518569)",,,
326010072,Calle Morelos,tertiary,False,True,122.67,"LINESTRING (-105.4903659 27.8524189, -105.4907012 27.8528564, -105.491074 27.8533272)",,,
326012263,Calle Terreros,residential,False,False,80.882,"LINESTRING (-105.4953387 27.8524817, -105.4954863 27.8526833, -105.4957584 27.853107)",,,
760558082,Calle Aldama,residential,False,False,177.489,"LINESTRING (-105.4953387 27.8524817, -105.4947326 27.8525019, -105.4945475 27.8525173, -105.4944348 27.852547, -105.4943208 27.852592, -105.4941304 27.8527177, -105.493712 27.8530094)",,,
152724330,Calle Jiménez,residential,False,False,118.136,"LINESTRING (-105.4920638 27.8527248, -105.491074 27.8533272)",,,
152724330,Calle Jiménez,residential,False,True,120.933,"LINESTRING (-105.4920638 27.8527248, -105.4930696 27.8520987)",,,
805898147,Calle Juárez,residential,False,True,116.851,"LINESTRING (-105.4920638 27.8527248, -105.4927397 27.8535892)",,,
805898147,Calle Juárez,residential,False,False,121.161,"LINESTRING (-105.4920638 27.8527248, -105.4916815 27.8522553, -105.4913557 27.8518331)",,,
152724250,Calle Victoria,residential,False,True,122.872,"LINESTRING (-105.493712 27.8530094, -105.4944362 27.85391)",,,
152724250,Calle Victoria,residential,False,False,119.351,"LINESTRING (-105.493712 27.8530094, -105.4934011 27.8525787, -105.4930696 27.8520987)",,,
760558082,Calle Aldama,residential,False,False,115.303,"LINESTRING (-105.493712 27.8530094, -105.4932587 27.8532845, -105.4927397 27.8535892)",,,
760558082,Calle Aldama,residential,False,True,177.489,"LINESTRING (-105.493712 27.8530094, -105.4941304 27.8527177, -105.4943208 27.852592, -105.4944348 27.852547, -105.4945475 27.8525173, -105.4947326 27.8525019, -105.4953387 27.8524817)",,,
152724323,Calle Vicente Guerrero,residential,False,False,47.552,"LINESTRING (-105.4893547 27.8530497, -105.4890931 27.85269)",,,
152724323,Calle Vicente Guerrero,residential,False,True,122.286,"LINESTRING (-105.4893547 27.8530497, -105.490036 27.8539698)",,,
805898146,Calle Primero De Mayo,unclassified,False,False,121.668,"LINESTRING (-105.4893547 27.8530497, -105.4903659 27.8524189)",,,
805898146,Calle Primero De Mayo,unclassified,False,True,120.902,"LINESTRING (-105.4893547 27.8530497, -105.4884133 27.8537493)",,,
152724248,Calle Allende,residential,False,False,157.701,"LINESTRING (-105.4957584 27.853107, -105.4944362 27.85391)",,,
326012263,Calle Terreros,residential,False,False,22.267,"LINESTRING (-105.4957584 27.853107, -105.4958713 27.8532806)",,,
326012263,Calle Terreros,residential,False,True,80.882,"LINESTRING (-105.4957584 27.853107, -105.4954863 27.8526833, -105.4953387 27.8524817)",,,
152724330,Calle Jiménez,residential,False,False,124.577,"LINESTRING (-105.491074 27.8533272, -105.490036 27.8539698)",,,
152724330,Calle Jiménez,residential,False,True,118.136,"LINESTRING (-105.491074 27.8533272, -105.4920638 27.8527248)",,,
