osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,bridge,junction
334847910,True,Calle Leona Vicario,residential,20,,False,68.958,"LINESTRING (-100.519428 21.2944951, -100.5195245 21.2938815)",,,
711093182,False,Privada Leona Vicario,residential,,,False,63.032,"LINESTRING (-100.519428 21.2944951, -100.5188217 21.2945421)",,,
711093182,False,Privada Leona Vicario,residential,,,True,43.029,"LINESTRING (-100.5184114 21.2946021, -100.5188217 21.2945421)",,,
711093183,False,Privada Dolores,residential,,,True,19.013,"LINESTRING (-100.5185347 21.2939222, -100.5186216 21.2940728)",,,
711093183,False,Privada Dolores,residential,,,False,19.013,"LINESTRING (-100.5186216 21.2940728, -100.5185347 21.2939222)",,,
711093183,False,Privada Dolores,residential,,,True,56.151,"LINESTRING (-100.5186216 21.2940728, -100.5188217 21.2945421)",,,
711093184,False,Callejón Dolores,residential,,,False,104.855,"LINESTRING (-100.5186216 21.2940728, -100.5195473 21.2936916)",,,
334847910,True,Calle Leona Vicario,residential,20,,False,30.521,"LINESTRING (-100.5195473 21.2936916, -100.5195835 21.2934192)",,,
711093184,False,Callejón Dolores,residential,,,True,104.855,"LINESTRING (-100.5195473 21.2936916, -100.5186216 21.2940728)",,,
435187077,True,Calle Galeana,residential,20,,False,82.566,"LINESTRING (-100.5179474 21.2935529, -100.5177932 21.2942814)",,,
711093185,False,Calle Rebeca Gamba,residential,,,False,187.705,"LINESTRING (-100.5179474 21.2935529, -100.5182333 21.2935806, -100.5196318 21.2930156)",,,
711093185,False,Calle Rebeca Gamba,residential,,,True,187.705,"LINESTRING (-100.5196318 21.2930156, -100.5182333 21.2935806, -100.5179474 21.2935529)",,,
184939436,True,Calle Aldama,residential,20,yes,False,83.554,"LINESTRING (-100.5177851 21.2932418, -100.5170955 21.2936314)",,,
711093187,False,,residential,,,False,71.288,"LINESTRING (-100.5157254 21.2932527, -100.5150884 21.2934951)",,,
437448908,True,Calle Giro,residential,20,,False,10.294,"LINESTRING (-100.5150884 21.2934951, -100.515067 21.2934047)",,,
711093187,False,,residential,,,True,71.288,"LINESTRING (-100.5150884 21.2934951, -100.5157254 21.2932527)",,,
"[711093188, 711093189]",False,Privada Giro,residential,,,"[False, True]",93.096,"LINESTRING (-100.5159035 21.2936904, -100.5159746 21.293884, -100.5153352 21.2940968)",,,
437315450,False,Calle Juventino Rosas,residential,20,,False,39.593,"LINESTRING (-100.5134933 21.2935999, -100.5135895 21.2939445)",,,
437315450,False,Calle Juventino Rosas,residential,20,,True,29.777,"LINESTRING (-100.5134933 21.2935999, -100.5134211 21.2933407)",,,
711093190,False,,residential,,,False,40.658,"LINESTRING (-100.5134933 21.2935999, -100.5131219 21.293718)",,,
711093190,False,,residential,,,True,40.658,"LINESTRING (-100.5131219 21.293718, -100.5134933 21.2935999)",,,
711100552,False,Privada 20 de Noviembre,residential,,,False,50.59,"LINESTRING (-100.5123414 21.2932073, -100.5126567 21.2935547)",,,
316976160,False,Calle 20 de Noviembre,residential,,,False,38.056,"LINESTRING (-100.5126567 21.2935547, -100.5124257 21.2938208)",,,
316976160,False,Calle 20 de Noviembre,residential,,,True,50.086,"LINESTRING (-100.5126567 21.2935547, -100.5129586 21.2932029)",,,
711100552,False,Privada 20 de Noviembre,residential,,,True,50.59,"LINESTRING (-100.5126567 21.2935547, -100.5123414 21.2932073)",,,
