osmid,name,highway,oneway,reversed,length,ref,geometry,maxspeed,lanes
394253920,Calle Aldama,residential,False,False,11.063,,"LINESTRING (-91.1780625 18.9698474, -91.178154 18.9697983)",,
394253920,Calle Aldama,residential,False,True,108.451,,"LINESTRING (-91.1780625 18.9698474, -91.1771938 18.9703731)",,
957157150,Calle Manuel J. López Hernández,primary,True,False,84.05,MEX 259,"LINESTRING (-91.1780625 18.9698474, -91.1782234 18.9700544, -91.1785081 18.9704745)",,
394253917,Calle Hidalgo,residential,False,False,29.925,,"LINESTRING (-91.1800786 18.9738172, -91.1798234 18.9739363)",,
394253917,Calle Hidalgo,residential,False,True,82.29,,"LINESTRING (-91.1800786 18.9738172, -91.1807799 18.9734888)",,
31355388,Calle Manuel J. López Hernández,primary,False,False,26.452,MEX 259,"LINESTRING (-91.1800786 18.9738172, -91.1800265 18.9737701, -91.1799702 18.9737268, -91.1798814 18.9736705)",,
31355388,Calle Manuel J. López Hernández,primary,False,True,81.163,MEX 259,"LINESTRING (-91.1800786 18.9738172, -91.1802628 18.9743251, -91.1803079 18.9745133)",,
394253917,Calle Hidalgo,residential,False,False,5.852,,"LINESTRING (-91.1821063 18.9729732, -91.1820544 18.9729922)",,
957157147,Calle Héctor Pérez Martínez,residential,False,True,91.181,,"LINESTRING (-91.1821063 18.9729732, -91.1818279 18.9721966)",,
394253917,Calle Hidalgo,residential,False,False,89.924,,"LINESTRING (-91.1792963 18.9741806, -91.1785442 18.9745655)",,
394253917,Calle Hidalgo,residential,False,True,61.747,,"LINESTRING (-91.1792963 18.9741806, -91.179696 18.9739883, -91.1798234 18.9739363)",,
394253949,Calle José Ortiz Ávila,residential,False,False,70.221,,"LINESTRING (-91.1792963 18.9741806, -91.1795551 18.9746064, -91.1796245 18.9747305)",,
394253949,Calle José Ortiz Ávila,residential,False,True,139.388,,"LINESTRING (-91.1792963 18.9741806, -91.1790818 18.9738008, -91.1786659 18.9730779)",,
