osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes
31831530,Avenida Reforma,residential,40,False,False,135.783,,"LINESTRING (-98.271304 19.3107361, -98.2705835 19.3117504)",
"[38331457, 847354011, 847354012]",Calle Allende,residential,40,False,True,42.821,yes,"LINESTRING (-98.271304 19.3107361, -98.2710671 19.3105423, -98.2710154 19.3105001, -98.2709961 19.3104834)",
31831530,Avenida Reforma,residential,40,False,False,106.768,,"LINESTRING (-98.2705835 19.3117504, -98.2700268 19.3125541)",
31831530,Avenida Reforma,residential,40,False,True,135.783,,"LINESTRING (-98.2705835 19.3117504, -98.271304 19.3107361)",
847360672,Calle Melchor Ocampo,residential,40,False,True,69.849,,"LINESTRING (-98.2705835 19.3117504, -98.2711459 19.3120864)",
31831530,Avenida Reforma,residential,40,False,True,32.858,,"LINESTRING (-98.2689109 19.3141723, -98.2690522 19.3139086)",
847360905,Avenida Venustiano Carranza,residential,40,False,False,26.461,,"LINESTRING (-98.2689109 19.3141723, -98.2686646 19.3142233)",
847360905,Avenida Venustiano Carranza,residential,40,False,True,70.863,,"LINESTRING (-98.2689109 19.3141723, -98.2695294 19.3144281)",
31831577,20 de Noviembre,residential,40,False,False,10.076,,"LINESTRING (-98.2680145 19.314358, -98.2679286 19.3143175)",
847360905,Avenida Venustiano Carranza,residential,40,False,True,69.844,,"LINESTRING (-98.2680145 19.314358, -98.2686646 19.3142233)",
847728182,Calle 20 de Noviembre,residential,40,False,True,140.771,,"LINESTRING (-98.2680145 19.314358, -98.2691273 19.315065)",
31845970,Calle 5 de Mayo,residential,40,True,False,128.833,,"LINESTRING (-98.26764 19.3151888, -98.2665083 19.3147396)",
31846995,Calle Nicolás Bravo,residential,40,False,False,165.463,,"LINESTRING (-98.26764 19.3151888, -98.2665296 19.3162453)",
847804020,Calle Nicolás Bravo,residential,40,False,True,101.507,,"LINESTRING (-98.26764 19.3151888, -98.2679286 19.3143175)",
915002232,Avenida Emiliano Zapata,residential,,False,True,124.716,,"LINESTRING (-98.26764 19.3151888, -98.2685159 19.3159469)",2
31831535,Avenida Zahuapan,residential,40,False,False,55.269,,"LINESTRING (-98.264533 19.3183787, -98.2640098 19.3183215)",
31831535,Avenida Zahuapan,residential,40,False,True,233.501,,"LINESTRING (-98.264533 19.3183787, -98.2667452 19.3186055)",
31846995,Calle Nicolás Bravo,residential,40,False,True,140.728,,"LINESTRING (-98.264533 19.3183787, -98.2648958 19.3179005, -98.2651037 19.317598, -98.2653552 19.317388)",
31831535,Avenida Zahuapan,residential,40,False,False,233.501,,"LINESTRING (-98.2667452 19.3186055, -98.264533 19.3183787)",
