osmid,oneway,name,highway,reversed,length,lanes,maxspeed,bridge,geometry,junction
389369290,False,Calle Coral,residential,True,91.403,,,,"LINESTRING (-105.3849006 20.7486429, -105.3844493 20.7493483)",
"[389369290, 245393970]",False,Calle Coral,residential,"[False, True]",216.533,,,,"LINESTRING (-105.3849006 20.7486429, -105.3850279 20.7479714, -105.385171 20.7472724, -105.3852019 20.7472374, -105.3852542 20.7472235, -105.3854728 20.747275, -105.3855157 20.74727, -105.3855466 20.7472387, -105.3856149 20.7470881)",
245393965,False,Calle Guachinango,residential,True,98.1,,,,"LINESTRING (-105.3831646 20.7480589, -105.383811 20.7487015)",
245393965,False,Calle Guachinango,residential,False,92.945,,,,"LINESTRING (-105.3831646 20.7480589, -105.3828219 20.7477105, -105.3825495 20.7474526)",
377261200,False,Calle Camarón,residential,False,95.968,,,,"LINESTRING (-105.3831646 20.7480589, -105.3830591 20.7482123, -105.3828537 20.7485805, -105.3827165 20.7488128)",
377261200,False,Calle Camarón,residential,True,70.122,,,,"LINESTRING (-105.3831646 20.7480589, -105.3832816 20.7478687, -105.3835117 20.7475183)",
245393953,False,Calle Pelícanos,residential,False,145.3,,,,"LINESTRING (-105.3782016 20.7522339, -105.3795863 20.7520583)",
245393956,False,,residential,True,59.743,,,,"LINESTRING (-105.3782016 20.7522339, -105.3784691 20.7527094)",
245393953,False,Calle Pelícanos,residential,True,145.3,,,,"LINESTRING (-105.3795863 20.7520583, -105.3782016 20.7522339)",
245393959,False,Calle Atún,residential,False,25.904,,,,"LINESTRING (-105.3795863 20.7520583, -105.3796972 20.7522669)",
245393956,False,,residential,False,59.743,,,,"LINESTRING (-105.3784691 20.7527094, -105.3782016 20.7522339)",
245393958,False,Calle Flamingos,residential,False,146.023,,,,"LINESTRING (-105.3784691 20.7527094, -105.3785693 20.7527031, -105.3792913 20.7526302, -105.3794844 20.7526151, -105.3798653 20.75257)",
245393959,False,Calle Atún,residential,False,62.706,,,,"LINESTRING (-105.3798653 20.75257, -105.3801289 20.7530772)",
245393959,False,Calle Atún,residential,True,37.966,,,,"LINESTRING (-105.3798653 20.75257, -105.3796972 20.7522669)",
245393958,False,Calle Flamingos,residential,True,146.02300000000002,,,,"LINESTRING (-105.3798653 20.75257, -105.3794844 20.7526151, -105.3792913 20.7526302, -105.3785693 20.7527031, -105.3784691 20.7527094)",
245393959,False,Calle Atún,residential,True,10.139,,,,"LINESTRING (-105.3808713 20.7545379, -105.3808291 20.7544557)",
245393960,False,Calle Pino,residential,False,7.531,,,,"LINESTRING (-105.3808713 20.7545379, -105.3809002 20.7546)",
919072715,True,Carretera a Punta de Mita,trunk,False,267.765,2,80,,"LINESTRING (-105.3808713 20.7545379, -105.3782975 20.7546166)",
245255139,False,Calle Sierra,residential,True,108.281,,,,"LINESTRING (-105.3805608 20.7539375, -105.381112 20.7531113)",
245393959,False,Calle Atún,residential,False,64.019,,,,"LINESTRING (-105.3805608 20.7539375, -105.3808291 20.7544557)",
245393959,False,Calle Atún,residential,True,9.678,,,,"LINESTRING (-105.3805608 20.7539375, -105.3805166 20.7538609)",
245393959,False,Calle Atún,residential,False,37.966,,,,"LINESTRING (-105.3796972 20.7522669, -105.3798653 20.75257)",
245393959,False,Calle Atún,residential,True,25.904,,,,"LINESTRING (-105.3796972 20.7522669, -105.3795863 20.7520583)",
245393963,False,Calle Tiburón,residential,False,60.536,,,,"LINESTRING (-105.3796972 20.7522669, -105.379983 20.7517926)",
245393963,False,Calle Tiburón,residential,False,90.006,,,,"LINESTRING (-105.3815331 20.7499612, -105.3819723 20.7492637)",
917693805,False,Calle Delfín,residential,True,48.802,,,,"LINESTRING (-105.3815331 20.7499612, -105.3818267 20.7503036)",
245393963,False,Calle Tiburón,residential,True,177.72199999999998,,,,"LINESTRING (-105.3815331 20.7499612, -105.3811622 20.7504233, -105.3810521 20.7505036, -105.3809448 20.7505826, -105.3805268 20.7508505, -105.3804262 20.7509483, -105.3803699 20.7510198, -105.3803471 20.75108)",
245393963,False,Calle Tiburón,residential,True,105.649,,,,"LINESTRING (-105.3822605 20.7483612, -105.3820084 20.7489808, -105.3819749 20.7490936, -105.3819723 20.7492637)",
"[1058678257, 1058678258, 245393964]",False,"['Calle Marlín', 'Calle Tiburón']",residential,False,115.735,,,,"LINESTRING (-105.3822605 20.7483612, -105.3821428 20.7482219, -105.3821403 20.7481852, -105.3825495 20.7474526)",
245393964,False,Calle Marlín,residential,True,69.065,,,,"LINESTRING (-105.3822605 20.7483612, -105.3826467 20.748745, -105.3827165 20.7488128)",
245393966,False,Calle Pescador,residential,True,54.362,,,,"LINESTRING (-105.3824507 20.7466462, -105.3828402 20.7469723)",
"[245393965, 245393967]",False,Calle Guachinango,residential,True,118.713,,,,"LINESTRING (-105.3824507 20.7466462, -105.3821482 20.7469727, -105.3821364 20.747035, -105.3821616 20.7470881, -105.3825495 20.7474526)",
1058657983,False,,residential,False,43.763,,,,"LINESTRING (-105.385728 20.7513811, -105.3855443 20.751027)",
245393969,False,Calle Arroyo Seco,residential,True,52.149,,,,"LINESTRING (-105.385728 20.7513811, -105.3857655 20.7514457, -105.3859459 20.7518034)",
738973279,False,,residential,False,90.798,,,,"LINESTRING (-105.385728 20.7513811, -105.3852304 20.7515211, -105.3850081 20.751581, -105.3848861 20.7515881)",
"[738973257, 738973278, 738973279]",False,,residential,True,24.499,,,,"LINESTRING (-105.385728 20.7513811, -105.3858005 20.7513623, -105.3858938 20.7513304, -105.3859265 20.7513221, -105.3859523 20.7513142)",
245393960,False,Calle Pino,residential,True,37.512,,,,"LINESTRING (-105.3810909 20.7549811, -105.3809365 20.7546762)",
376619918,False,Calle Mar Caribe,residential,False,164.731,,,,"LINESTRING (-105.3810909 20.7549811, -105.3807544 20.7549909, -105.3802896 20.7549996, -105.3795071 20.7550166)",
376619914,False,Calle Mar Rojo,residential,False,43.981,,,,"LINESTRING (-105.3795071 20.7550166, -105.37978 20.7547144)",
376619918,False,Calle Mar Caribe,residential,False,86.669,,,,"LINESTRING (-105.3795071 20.7550166, -105.3793025 20.7550297, -105.3786744 20.7550491)",
376619918,False,Calle Mar Caribe,residential,True,164.731,,,,"LINESTRING (-105.3795071 20.7550166, -105.3802896 20.7549996, -105.3807544 20.7549909, -105.3810909 20.7549811)",
917253515,False,Calle Mar de Cortés,residential,False,33.223,,,,"LINESTRING (-105.3786744 20.7550491, -105.3786632 20.7547505)",
376619918,False,Calle Mar Caribe,residential,True,86.669,,,,"LINESTRING (-105.3786744 20.7550491, -105.3793025 20.7550297, -105.3795071 20.7550166)",
245393966,False,Calle Pescador,residential,False,54.362,,,,"LINESTRING (-105.3828402 20.7469723, -105.3824507 20.7466462)",
