osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,access
193501422,False,Avenida Lomas de San Francisco,tertiary,30,False,40.053,"LINESTRING (-101.2862991 20.9708109, -101.2862734 20.9711703)",,,
"[296334688, 296334774, 738338127]",False,"['Calle Lomas de San Pedro', 'Calle Lomas de San Juan', 'Lomas de San Pedro']",residential,,True,311.332,"LINESTRING (-101.2862991 20.9708109, -101.2875521 20.9709143, -101.2875818 20.9709234, -101.2876097 20.9709457, -101.287591 20.9712725, -101.2862734 20.9711703)",,,
193501422,False,Avenida Lomas de San Francisco,tertiary,30,True,36.338,"LINESTRING (-101.2862991 20.9708109, -101.2863367 20.970486)",,,
296334815,False,Lomas de San Juan,residential,30,False,190.44299999999998,"LINESTRING (-101.2862991 20.9708109, -101.2858743 20.9708367, -101.285833 20.9708482, -101.2858033 20.9708793, -101.2855994 20.9720978)",,,
193501422,False,Avenida Lomas de San Francisco,tertiary,30,False,42.25,"LINESTRING (-101.2862734 20.9711703, -101.2862342 20.9715485)",,,
193501422,False,Avenida Lomas de San Francisco,tertiary,30,True,40.053,"LINESTRING (-101.2862734 20.9711703, -101.2862991 20.9708109)",,,
"[296334688, 296334774, 738338127]",False,"['Calle Lomas de San Pedro', 'Calle Lomas de San Juan', 'Lomas de San Pedro']",residential,,False,311.332,"LINESTRING (-101.2862734 20.9711703, -101.287591 20.9712725, -101.2876097 20.9709457, -101.2875818 20.9709234, -101.2875521 20.9709143, -101.2862991 20.9708109)",,,
301388128,True,Euquerio Guerrero,secondary,,False,45.510999999999996,"LINESTRING (-101.2796122 20.9732449, -101.2796551 20.9734109, -101.2797262 20.97364)",GTO 67,,
301398582,True,,secondary_link,,False,43.663,"LINESTRING (-101.2796122 20.9732449, -101.2796846 20.9733607, -101.2796994 20.9733746, -101.2797235 20.9733871, -101.2797563 20.9733921, -101.2797805 20.9733839, -101.2797967 20.9733707, -101.279806 20.9733526, -101.279814 20.9733389, -101.2798123 20.9732365)",,,
301388131,True,Euquerio Guerrero,secondary,60,False,31.405,"LINESTRING (-101.2798945 20.9735083, -101.2798123 20.9732365)",GTO 67,2,
