osmid,oneway,ref,name,highway,reversed,length,geometry,width,lanes,junction
291069928,True,MEX 15,Avenida Benito Juárez Oriente,primary,False,17.258,"LINESTRING (-102.2794613 19.9867152, -102.2793449 19.9866051)",,,
291069929,True,,,primary_link,False,41.190999999999995,"LINESTRING (-102.2794613 19.9867152, -102.2793911 19.9866914, -102.2793371 19.9866819, -102.2792889 19.9867007, -102.2792539 19.9867417, -102.2792186 19.9867899, -102.2792219 19.9868784)",,,
153133536,False,,Calle Vasco de Quiroga,residential,True,93.406,"LINESTRING (-102.2795911 19.9869007, -102.2798999 19.9861124)",,,
200754578,True,MEX 15,Avenida Benito Juárez Oriente,primary,False,24.687,"LINESTRING (-102.2795911 19.9869007, -102.2794613 19.9867152)",,,
200754578,True,MEX 15,Avenida Benito Juárez Oriente,primary,False,7.789,"LINESTRING (-102.2796228 19.9869641, -102.2795911 19.9869007)",,,
291070490,True,MEX 15,Avenida Benito Juárez Oriente,primary,False,20.346,"LINESTRING (-102.2792219 19.9868784, -102.2793484 19.9870175)",,,
127168173,True,,,primary_link,False,27.191,"LINESTRING (-102.2794505 19.9871267, -102.2795238 19.9870935, -102.2795646 19.9870688, -102.2796096 19.9870227, -102.2796228 19.9869641)",,,
153133536,False,,Calle Vasco de Quiroga,residential,False,81.71,"LINESTRING (-102.2808973 19.9837432, -102.280603 19.984424)",,,
933629293,True,,Calle Melchor Ocampo Oriente,residential,False,94.68,"LINESTRING (-102.2808973 19.9837432, -102.2800537 19.9834326)",4,,
153213100,True,,Avenida Cristóbal Colón Oriente,residential,False,93.323,"LINESTRING (-102.2795714 19.9846116, -102.2804013 19.9849216)",,1,
291036773,False,,Avenida Niños Héroes,residential,False,70.074,"LINESTRING (-102.2795714 19.9846116, -102.279325 19.9851977)",,,
291036773,False,,Avenida Niños Héroes,residential,True,56.832,"LINESTRING (-102.2795714 19.9846116, -102.2797727 19.9841368)",,,
153213100,True,,Avenida Cristóbal Colón Oriente,residential,False,129.40200000000002,"LINESTRING (-102.2838922 19.9862046, -102.284434 19.9863684, -102.2850576 19.9865965)",,1,
203319905,False,,Calle Leona Vicario,residential,False,115.546,"LINESTRING (-102.2796637 19.9818097, -102.2807682 19.9817615)",,,
"[153213088, 291034444]",True,,Calle Ejército Nacional,residential,False,51.075,"LINESTRING (-102.2796637 19.9818097, -102.27961 19.981812, -102.2794363 19.9821868)",,,
