osmid,oneway,name,highway,reversed,length,geometry
641531564,False,Avenida del Olimpo,residential,False,67.766,"LINESTRING (-103.7914623 28.0431527, -103.7916631 28.0437358)"
641531564,False,Avenida del Olimpo,residential,True,64.34,"LINESTRING (-103.7914623 28.0431527, -103.7912716 28.0425991)"
642526920,False,Calle Teseo,residential,False,213.529,"LINESTRING (-103.7914623 28.0431527, -103.7935415 28.042587)"
642526920,False,Calle Teseo,residential,True,93.0,"LINESTRING (-103.7914623 28.0431527, -103.7905547 28.0433932)"
641899226,False,Calle Troya,residential,False,65.029,"LINESTRING (-103.7935415 28.042587, -103.7933457 28.0420283)"
641899226,False,Calle Troya,residential,True,65.321,"LINESTRING (-103.7935415 28.042587, -103.7937386 28.0431481)"
642526920,False,Calle Teseo,residential,False,91.537,"LINESTRING (-103.7935415 28.042587, -103.7944353 28.0423517)"
642526920,False,Calle Teseo,residential,True,213.529,"LINESTRING (-103.7935415 28.042587, -103.7914623 28.0431527)"
642514548,False,Calle Aquiles,residential,False,66.235,"LINESTRING (-103.7944353 28.0423517, -103.7942313 28.0417839)"
642514548,False,Calle Aquiles,residential,True,62.135,"LINESTRING (-103.7944353 28.0423517, -103.7946342 28.0428822)"
642526920,False,Calle Teseo,residential,True,91.537,"LINESTRING (-103.7944353 28.0423517, -103.7935415 28.042587)"
761829914,False,Prolongación Teseo,residential,False,122.173,"LINESTRING (-103.7944353 28.0423517, -103.7956239 28.0420251)"
761829908,False,Calle Neptuno,residential,False,58.878,"LINESTRING (-103.787309 28.0430706, -103.7872032 28.0425494)"
766092745,False,Calle Poseidón,residential,True,44.59,"LINESTRING (-103.787309 28.0430706, -103.7877523 28.0429827)"
761829908,False,Calle Neptuno,residential,True,51.394000000000005,"LINESTRING (-103.787309 28.0430706, -103.7873956 28.0433246, -103.7874864 28.0435045)"
642514548,False,Calle Aquiles,residential,False,16.316,"LINESTRING (-103.7946861 28.0430216, -103.7946342 28.0428822)"
642514548,False,Calle Aquiles,residential,True,65.593,"LINESTRING (-103.7946861 28.0430216, -103.794892 28.0435828)"
625875393,True,Boulevard Hércules,residential,False,116.61900000000001,"LINESTRING (-103.7946861 28.0430216, -103.7952726 28.0428529, -103.7954898 28.0427957, -103.7956231 28.0427756, -103.7958323 28.0427653)"
642201624,False,Calle Atenea,residential,False,98.253,"LINESTRING (-103.795107 28.0441686, -103.7960594 28.0438962)"
642201624,False,Calle Atenea,residential,True,91.301,"LINESTRING (-103.795107 28.0441686, -103.7942255 28.0444311)"
642514548,False,Calle Aquiles,residential,False,68.47,"LINESTRING (-103.795107 28.0441686, -103.794892 28.0435828)"
642507242,False,Calle Júpiter,residential,False,66.485,"LINESTRING (-103.7910294 28.0446908, -103.7912354 28.0452604)"
642507242,False,Calle Júpiter,residential,True,65.283,"LINESTRING (-103.7910294 28.0446908, -103.7908271 28.0441315)"
642566530,False,Calle Prometeo,residential,False,90.915,"LINESTRING (-103.7910294 28.0446908, -103.7919115 28.044441)"
784792580,False,Carretera a Hércules,secondary,False,69.36,"LINESTRING (-103.7967347 28.0428758, -103.7960402 28.0427602)"
642566530,False,Calle Prometeo,residential,True,54.514,"LINESTRING (-103.7967347 28.0428758, -103.7967078 28.0429409, -103.7966649 28.0430096, -103.7965965 28.04307, -103.7965254 28.0431137, -103.796335 28.04318)"
642514548,False,Calle Aquiles,residential,False,65.593,"LINESTRING (-103.794892 28.0435828, -103.7946861 28.0430216)"
642514548,False,Calle Aquiles,residential,True,68.47,"LINESTRING (-103.794892 28.0435828, -103.795107 28.0441686)"
642566530,False,Calle Prometeo,residential,False,148.53,"LINESTRING (-103.794892 28.0435828, -103.796335 28.04318)"
642566530,False,Calle Prometeo,residential,True,91.724,"LINESTRING (-103.794892 28.0435828, -103.7940055 28.0438441)"
641899226,False,Calle Troya,residential,False,64.059,"LINESTRING (-103.7940055 28.0438441, -103.7937923 28.0432996)"
641899226,False,Calle Troya,residential,True,68.75,"LINESTRING (-103.7940055 28.0438441, -103.7942255 28.0444311)"
642566530,False,Calle Prometeo,residential,False,91.724,"LINESTRING (-103.7940055 28.0438441, -103.794892 28.0435828)"
642566530,False,Calle Prometeo,residential,True,215.956,"LINESTRING (-103.7940055 28.0438441, -103.7919115 28.044441)"
641531564,False,Avenida del Olimpo,residential,False,66.605,"LINESTRING (-103.7919115 28.044441, -103.7921208 28.0450108)"
641531564,False,Avenida del Olimpo,residential,True,64.839,"LINESTRING (-103.7919115 28.044441, -103.7917078 28.0438863)"
642566530,False,Calle Prometeo,residential,False,215.956,"LINESTRING (-103.7919115 28.044441, -103.7940055 28.0438441)"
642566530,False,Calle Prometeo,residential,True,90.915,"LINESTRING (-103.7919115 28.044441, -103.7910294 28.0446908)"
761119439,False,Calle Estadio,residential,False,180.063,"LINESTRING (-103.7929077 28.0464247, -103.7947165 28.0466964)"
766098800,False,,residential,False,13.265,"LINESTRING (-103.7929077 28.0464247, -103.792873 28.0463094)"
761119439,False,Calle Estadio,residential,True,251.06300000000002,"LINESTRING (-103.7929077 28.0464247, -103.7919697 28.0462894, -103.790803 28.0460823, -103.7906997 28.0460799, -103.7906541 28.0460906, -103.7906219 28.0461119, -103.7905468 28.0462456, -103.7905414 28.0462965)"
641899226,False,Calle Troya,residential,False,23.961,"LINESTRING (-103.7944119 28.0449555, -103.7943363 28.0447506)"
641899226,False,Calle Troya,residential,True,46.937,"LINESTRING (-103.7944119 28.0449555, -103.7945379 28.0453627)"
739033150,False,Calle Cronos,residential,True,184.237,"LINESTRING (-103.7944119 28.0449555, -103.7962045 28.0444634)"
739033150,False,Calle Cronos,residential,False,91.22500000000001,"LINESTRING (-103.7944119 28.0449555, -103.7937379 28.045151, -103.7935291 28.0452124)"
642201624,False,Calle Atenea,residential,False,91.217,"LINESTRING (-103.7912354 28.0452604, -103.7921208 28.0450108)"
642507242,False,Calle Júpiter,residential,True,66.485,"LINESTRING (-103.7912354 28.0452604, -103.7910294 28.0446908)"
"[642507242, 739033150]",False,"['Calle Júpiter', 'Calle Cronos']",residential,"[False, True]",153.454,"LINESTRING (-103.7912354 28.0452604, -103.7914161 28.0457413, -103.7914309 28.045774, -103.7914609 28.0457996, -103.7914811 28.045808, -103.79151 28.0458125, -103.7915835 28.0458053, -103.7923261 28.045588)"
761829912,False,Prolongación Poseidón,residential,False,120.847,"LINESTRING (-103.7963486 28.0405192, -103.7951957 28.0409009)"
761829912,False,Prolongación Poseidón,residential,True,25.042,"LINESTRING (-103.7963486 28.0405192, -103.7966002 28.0404817)"
761119424,False,Calle del Beso,residential,False,158.927,"LINESTRING (-103.7963486 28.0405192, -103.7962344 28.0404552, -103.7961124 28.0404032, -103.7959776 28.0403582, -103.7958723 28.0403274, -103.7957382 28.0402954, -103.7955974 28.0402765, -103.795466 28.0402682, -103.7953547 28.040267, -103.7952353 28.0402931, -103.7951522 28.040344, -103.7950596 28.0404114, -103.7949859 28.0404588, -103.7948665 28.0405121)"
761119424,False,Calle del Beso,residential,False,102.033,"LINESTRING (-103.7948665 28.0405121, -103.7938827 28.0408088)"
761119423,False,Calle Segunda,residential,True,54.964000000000006,"LINESTRING (-103.7948665 28.0405121, -103.7950447 28.0407904, -103.7950818 28.0408293, -103.7951173 28.0408571, -103.7951957 28.0409009)"
761119424,False,Calle del Beso,residential,True,158.927,"LINESTRING (-103.7948665 28.0405121, -103.7949859 28.0404588, -103.7950596 28.0404114, -103.7951522 28.040344, -103.7952353 28.0402931, -103.7953547 28.040267, -103.795466 28.0402682, -103.7955974 28.0402765, -103.7957382 28.0402954, -103.7958723 28.0403274, -103.7959776 28.0403582, -103.7961124 28.0404032, -103.7962344 28.0404552, -103.7963486 28.0405192)"
761119423,False,Calle Segunda,residential,False,69.607,"LINESTRING (-103.7956239 28.0420251, -103.795419 28.0414258)"
761829914,False,Prolongación Teseo,residential,True,122.173,"LINESTRING (-103.7956239 28.0420251, -103.7944353 28.0423517)"
761119423,False,Calle Segunda,residential,True,76.284,"LINESTRING (-103.7956239 28.0420251, -103.7957728 28.0424482, -103.79582 28.0426876)"
761119426,False,,residential,True,16.199,"LINESTRING (-103.7969533 28.0409317, -103.796983 28.041075)"
761829913,False,Prolongación Perseo,residential,True,160.289,"LINESTRING (-103.7969533 28.0409317, -103.795419 28.0414258)"
761119426,False,,residential,False,63.32900000000001,"LINESTRING (-103.7969533 28.0409317, -103.7968922 28.040779, -103.7968473 28.040718, -103.796732 28.040663, -103.7967085 28.0406494, -103.7966797 28.0406227, -103.7966002 28.0404817)"
761119423,False,Calle Segunda,residential,True,69.607,"LINESTRING (-103.795419 28.0414258, -103.7956239 28.0420251)"
761829913,False,Prolongación Perseo,residential,False,160.289,"LINESTRING (-103.795419 28.0414258, -103.7969533 28.0409317)"
761829913,False,Prolongación Perseo,residential,True,123.176,"LINESTRING (-103.795419 28.0414258, -103.7942313 28.0417839)"
761119423,False,Calle Segunda,residential,False,63.31700000000001,"LINESTRING (-103.795419 28.0414258, -103.7952896 28.0410139, -103.7952434 28.0409394, -103.7951957 28.0409009)"
761829912,False,Prolongación Poseidón,residential,False,119.29,"LINESTRING (-103.7951957 28.0409009, -103.7940352 28.0412199)"
761829912,False,Prolongación Poseidón,residential,True,120.847,"LINESTRING (-103.7951957 28.0409009, -103.7963486 28.0405192)"
761119423,False,Calle Segunda,residential,False,54.964,"LINESTRING (-103.7951957 28.0409009, -103.7951173 28.0408571, -103.7950818 28.0408293, -103.7950447 28.0407904, -103.7948665 28.0405121)"
761119423,False,Calle Segunda,residential,True,63.31700000000001,"LINESTRING (-103.7951957 28.0409009, -103.7952434 28.0409394, -103.7952896 28.0410139, -103.795419 28.0414258)"
642514548,False,Calle Aquiles,residential,True,48.1,"LINESTRING (-103.7938827 28.0408088, -103.7940352 28.0412199)"
761119424,False,Calle del Beso,residential,True,102.033,"LINESTRING (-103.7938827 28.0408088, -103.7948665 28.0405121)"
642514548,False,Calle Aquiles,residential,False,49.906000000000006,"LINESTRING (-103.7938827 28.0408088, -103.7937821 28.0405894, -103.7936938 28.0403921)"
761829912,False,Prolongación Poseidón,residential,False,25.042,"LINESTRING (-103.7966002 28.0404817, -103.7963486 28.0405192)"
761119426,False,,residential,True,63.32900000000001,"LINESTRING (-103.7966002 28.0404817, -103.7966797 28.0406227, -103.7967085 28.0406494, -103.796732 28.040663, -103.7968473 28.040718, -103.7968922 28.040779, -103.7969533 28.0409317)"
"[761829912, 641899225, 805289743]",False,"['Prolongación Poseidón', 'Calle Ulises']",residential,"[False, True]",413.69000000000005,"LINESTRING (-103.7966002 28.0404817, -103.7969044 28.0404117, -103.7969512 28.0403978, -103.796976 28.0403811, -103.7969851 28.0403308, -103.7969516 28.0402435, -103.7968433 28.040125, -103.7967682 28.0400611, -103.7966207 28.0399948, -103.7964973 28.0399463, -103.7962814 28.0398776, -103.796158 28.0398669, -103.7959018 28.039874, -103.7955129 28.0398575, -103.7952608 28.0398764, -103.7950543 28.0398788, -103.7945581 28.0398362, -103.7944159 28.0398433, -103.7943247 28.0398669, -103.7942067 28.0399498, -103.7939599 28.0402221, -103.7939183 28.0402836, -103.7938754 28.0403209, -103.7936938 28.0403921)"
625875391,True,Boulevard Hércules,residential,False,66.626,"LINESTRING (-103.7878943 28.041127, -103.7879541 28.0411877, -103.7880374 28.0413311, -103.7881601 28.0416719)"
739033150,False,Calle Cronos,residential,False,184.237,"LINESTRING (-103.7962045 28.0444634, -103.7944119 28.0449555)"
